Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,AG.LND.FRST.K2,Forest area (sq. km),1.35000000000000E+04,,,,,,,,,,1.35000000000000E+04,,,,,1.35000000000000E+04,,,,,1.35000000000000E+04,
AFG,Afghanistan,AG.LND.FRST.ZS,Forest area (% of land area),2.06982199530840E+00,,,,,,,,,,2.06982199530840E+00,,,,,2.06982199530840E+00,,,,,2.06982199530840E+00,
AFG,Afghanistan,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,6.53769691250640E+08
AFG,Afghanistan,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.01824276909223E+07
AFG,Afghanistan,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
AFG,Afghanistan,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,6.73952118941563E+08
AFG,Afghanistan,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.21720000000000E+08,5.07530000000000E+08,2.02000000000000E+08,2.23800000000000E+08,2.26420000000000E+08,2.12530000000000E+08,1.69370000000000E+08,2.29740000000000E+08,1.54200000000000E+08,1.42490000000000E+08,1.35970000000000E+08,4.04640000000000E+08,1.28773000000000E+09,1.59070000000000E+09,2.30310000000000E+09,2.81789000000000E+09,2.95578000000000E+09,3.96460000000000E+09,4.86508000000000E+09,6.23528000000000E+09,,
AFG,Afghanistan,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.21720000000000E+08,5.07530000000000E+08,2.02000000000000E+08,2.23800000000000E+08,2.26420000000000E+08,2.12530000000000E+08,1.69370000000000E+08,2.29740000000000E+08,1.54200000000000E+08,1.42490000000000E+08,1.35970000000000E+08,4.04640000000000E+08,1.28773000000000E+09,1.59070000000000E+09,2.30310000000000E+09,2.81789000000000E+09,2.95578000000000E+09,3.96460000000000E+09,4.86508000000000E+09,6.23528000000000E+09,,
AFG,Afghanistan,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,1.64376462223947E+01,3.19740135981611E+01,3.34248160839526E+01,4.03165473455339E+01,4.12823311425855E+01,3.60049319880714E+01,3.89300007067549E+01,4.57067987310778E+01,,,
AFG,Afghanistan,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),6.39834210818749E+00,2.58037976167309E+01,9.93321127846065E+00,1.06442430012039E+01,1.04156380495310E+01,9.45600581393305E+00,7.32211045850765E+00,9.65047534920430E+00,6.29373949533552E+00,5.65094494448020E+00,5.23952705840786E+00,1.51565149553932E+01,4.68853221356643E+01,5.62965683156509E+01,7.92296955165902E+01,9.42281745687639E+01,9.61177336288843E+01,1.25373418054184E+02,1.49613488509204E+02,1.86471042013163E+02,,
AFG,Afghanistan,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,2.49315837561585E-01,1.24273215609507E-01,1.76194827867231E-01,3.75194654289246E-01,,
AFG,Afghanistan,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,3.80000000000000E+00,3.60000000000000E+00,3.30000000000000E+00,6.00000000000000E-01,1.10000000000000E+00,,
AFG,Afghanistan,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,EN.ATM.CO2E.KT,CO2 emissions (kt),2.67472000000000E+03,2.49152000000000E+03,1.42529600000000E+03,1.37400000000000E+03,1.31904000000000E+03,1.26774400000000E+03,1.19812800000000E+03,1.11385600000000E+03,1.05523200000000E+03,8.31728000000000E+02,7.80432000000000E+02,6.44864000000000E+02,3.59072000000000E+02,5.82576000000000E+02,7.03488000000000E+02,6.99824000000000E+02,6.96160000000000E+02,7.14480000000000E+02,,,,
AFG,Afghanistan,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.40599520239987E-01,1.26673650499552E-01,7.00879519918062E-02,6.53493739216003E-02,6.06776928400907E-02,5.64051881361631E-02,5.17968091127759E-02,4.67887171174515E-02,4.30697491254338E-02,3.29851157048398E-02,3.00735057825061E-02,2.41545345497100E-02,1.30735529885125E-02,2.06179855303066E-02,2.42009205156420E-02,2.34016012120454E-02,2.26381264651240E-02,2.25941582332022E-02,,,,
AFG,Afghanistan,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,2.49614526799143E-02,3.46787659848983E-02,3.72098099897071E-02,3.12808455691925E-02,2.71046521545854E-02,2.43162723008962E-02,,,,
AFG,Afghanistan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),9.85000000000000E+01,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,4.20363636363636E+01,,,,,,,,,,,
AFG,Afghanistan,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,2.70458722928384E+03,,,,,2.31033404808147E+03,,,,,2.00251040005400E+03,,,,,1.73927710058521E+03,,,,
AFG,Afghanistan,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
