Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,Albania,AG.LND.FRST.K2,Forest area (sq. km),7.89000000000000E+03,,,,,,,,,,7.69000000000000E+03,,,,,7.82000000000000E+03,,,,,7.76000000000000E+03,
ALB,Albania,AG.LND.FRST.ZS,Forest area (% of land area),2.87956204379562E+01,,,,,,,,,,2.80656934306569E+01,,,,,2.85401459854015E+01,,,,,2.83211678832117E+01,
ALB,Albania,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.10500000000000E+07,3.31950000000000E+08,4.03340000000000E+08,2.95320000000000E+08,1.63100000000000E+08,1.80210000000000E+08,2.26470000000000E+08,1.65800000000000E+08,2.68450000000000E+08,4.87630000000000E+08,3.17440000000000E+08,2.68120000000000E+08,3.07010000000000E+08,3.53730000000000E+08,2.99340000000000E+08,3.18210000000000E+08,3.20450000000000E+08,3.06090000000000E+08,3.61480000000000E+08,3.57940000000000E+08,,
ALB,Albania,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.10500000000000E+07,3.31950000000000E+08,4.03340000000000E+08,2.95320000000000E+08,1.63100000000000E+08,1.80210000000000E+08,2.26470000000000E+08,1.65800000000000E+08,2.68450000000000E+08,4.87630000000000E+08,3.17440000000000E+08,2.68120000000000E+08,3.07010000000000E+08,3.53730000000000E+08,2.99340000000000E+08,3.18210000000000E+08,3.20450000000000E+08,3.06090000000000E+08,3.61480000000000E+08,3.57940000000000E+08,,
ALB,Albania,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),5.26259401136042E-01,2.97055837448384E+01,5.92567521059861E+01,2.42847596507304E+01,8.19320964943234E+00,7.30157110555158E+00,7.34096238085199E+00,7.38259191852091E+00,9.62830893584598E+00,1.39503640603650E+01,8.37465435544111E+00,6.32870704663969E+00,6.70771452852034E+00,6.07805657907463E+00,3.91481058806779E+00,3.72574182717368E+00,3.42853162040268E+00,2.78110578074792E+00,2.75199334929491E+00,2.99888799799655E+00,,
ALB,Albania,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.35919048677254E+00,1.00844701589910E+02,1.23459473159181E+02,9.15749041598486E+01,5.12983095775925E+01,5.73715848768999E+01,7.27591782681793E+01,5.36239505650567E+01,8.71863507973435E+01,1.58696271225053E+02,1.03338177310395E+02,8.71261184033941E+01,9.93631257650226E+01,1.13860329655155E+02,9.57930608753477E+01,1.01282704182316E+02,1.01517230367924E+02,9.65685648167866E+01,1.13623040444182E+02,1.12111197870908E+02,,
ALB,Albania,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,4.29879518072289E+00,2.17545748116254E+00,3.17630853994490E+00,6.63629764065336E+00,2.77322331647591E+00,4.65330705212440E+00,8.50236098386074E+00,5.64365279529214E+00,3.67423400539768E+00,3.33402489626556E+00,3.77649056226905E+00,5.57549999529859E+00,4.15580425351120E+00,4.12146164441439E+00,3.89947075638947E+00,7.78351430158949E+00,4.46523383977979E+00,3.79904848739396E+00,6.89496523720327E+00,,
ALB,Albania,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",8.82918552036199E-01,4.29879518072289E+00,2.17545748116254E+00,3.17630853994490E+00,6.63629764065336E+00,1.97471386744743E+00,4.35698642137538E+00,7.78455141306646E+00,4.89570197562001E+00,2.83124305445309E+00,3.02514034659507E+00,3.23549385798462E+00,4.85740613628457E+00,3.76019172256588E+00,3.65286769384870E+00,3.55994467179426E+00,3.56782760228998E+00,2.98274168813887E+00,2.73300530935230E+00,4.26118517863726E+00,,
ALB,Albania,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.83655310382351E+00,4.86599528187916E+00,6.22236987204935E+00,6.95868520561794E+00,7.08194276803660E+00,8.54502721315823E+00,8.72924691239733E+00,9.18322557572207E+00,9.58698444756209E+00,7.81894067619438E+00,8.30941630902816E+00,8.79696378850829E+00,8.07578327553836E+00,8.22146437508618E+00,9.08942667928475E+00,8.26724672056762E+00,9.39286415867567E+00,9.84151639481574E+00,1.10054171096003E+01,,,
ALB,Albania,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.06758817391968E+02,2.05507803043701E+02,1.60710472145342E+02,1.43705307892455E+02,1.41204191103233E+02,1.17027128767961E+02,1.14557419447008E+02,1.08894199729094E+02,1.04308086183898E+02,1.27894562884280E+02,1.20345396452637E+02,1.13675584444979E+02,1.23826998060858E+02,1.21632832592493E+02,1.10017940106063E+02,1.20959254489425E+02,1.06463798805858E+02,1.01610357579323E+02,9.08643434447998E+01,,,
ALB,Albania,EN.ATM.CO2E.KT,CO2 emissions (kt),7.48188800000000E+03,3.96811200000000E+03,2.38526400000000E+03,2.34129600000000E+03,1.92726400000000E+03,2.08481600000000E+03,2.01520000000000E+03,1.54254400000000E+03,1.75139200000000E+03,2.98982400000000E+03,3.02646400000000E+03,3.22798400000000E+03,3.74827200000000E+03,4.16596800000000E+03,5.05265600000000E+03,4.48840000000000E+03,4.18062400000000E+03,4.23924800000000E+03,,,,
ALB,Albania,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2.27448751065137E+00,1.20549200335997E+00,7.30112155465762E-01,7.26005542495723E-01,6.06164226301345E-01,6.63721203577598E-01,6.47433638212721E-01,4.98898089266736E-01,5.68811612202127E-01,9.73020364660033E-01,9.85223265673912E-01,1.04893971426325E+00,1.21312016591483E+00,1.34096200438987E+00,1.61692184068347E+00,1.42860780444331E+00,1.32440433668176E+00,1.33744354687325E+00,,,,
ALB,Albania,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),8.05322813358297E-01,5.86656746733494E-01,3.72168471688183E-01,3.26159591319827E-01,2.42959019808649E-01,2.26695048489200E-01,1.97351489037785E-01,1.65041330782273E-01,1.63965667781933E-01,2.50558511809059E-01,2.31367962549448E-01,2.25516953254483E-01,2.50417593543911E-01,2.57758773861409E-01,2.87066269293244E-01,2.33913622511992E-01,1.94683224017513E-01,1.86173494987677E-01,,,,
ALB,Albania,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",4.46096654275093E+00,,,,,,,,,,6.83271375464684E+00,,,,,,,,,,,
ALB,Albania,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,8.23389653389687E+03,,,,,8.70014638238858E+03,,,,,8.70612710686658E+03,,,,,8.48670127600235E+03,,,,
ALB,Albania,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.32027188279661E-01,1.32310808987842E-01,1.32596023674530E-01,1.32881853191197E-01,8.74645099759045E-01,8.74989572261049E-01,8.75334100391788E-01,8.75678383160069E-01,8.76022469241034E-01,8.76022469241034E-01,8.76022469241034E-01,8.76022469241034E-01,8.76022469241034E-01,8.76022469241034E-01,1.52276651785207E+00,1.53370664182932E+00,1.53370664182932E+00,1.53370664182932E+00,1.53370664182932E+00,1.53370664298825E+00,,
