Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DZA,Algeria,AG.LND.FRST.K2,Forest area (sq. km),1.66700000000000E+04,,,,,,,,,,1.57900000000000E+04,,,,,1.53600000000000E+04,,,,,1.49200000000000E+04,
DZA,Algeria,AG.LND.FRST.ZS,Forest area (% of land area),6.99908470278032E-01,,,,,,,,,,6.62960692602887E-01,,,,,6.44906664875259E-01,,,,,6.26432776037687E-01,
DZA,Algeria,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.31650000000000E+08,2.11170000000000E+08,2.72460000000000E+08,2.24470000000000E+08,2.93650000000000E+08,2.93900000000000E+08,3.05040000000000E+08,2.47810000000000E+08,4.19730000000000E+08,1.37830000000000E+08,1.99590000000000E+08,1.98500000000000E+08,1.89900000000000E+08,2.37590000000000E+08,3.15010000000000E+08,3.46320000000000E+08,2.08740000000000E+08,3.90220000000000E+08,3.19410000000000E+08,3.19330000000000E+08,,
DZA,Algeria,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.31650000000000E+08,2.11170000000000E+08,2.72460000000000E+08,2.24470000000000E+08,2.93650000000000E+08,2.93900000000000E+08,3.05040000000000E+08,2.47810000000000E+08,4.19730000000000E+08,1.37830000000000E+08,1.99590000000000E+08,1.98500000000000E+08,1.89900000000000E+08,2.37590000000000E+08,3.15010000000000E+08,3.46320000000000E+08,2.08740000000000E+08,3.90220000000000E+08,3.19410000000000E+08,3.19330000000000E+08,,
DZA,Algeria,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.19580994776191E-01,4.85499938347821E-01,5.94329001401936E-01,4.65739612084926E-01,7.19593786498258E-01,7.42658297372650E-01,6.87313449325547E-01,5.39211327312234E-01,9.08746882681754E-01,2.97363927573178E-01,3.83236891370071E-01,3.71090539823516E-01,3.46388657185421E-01,3.63739177796441E-01,3.86922233996863E-01,3.56079790320746E-01,1.85267825374952E-01,2.91201226819554E-01,1.88232291123327E-01,2.28784888107825E-01,,
DZA,Algeria,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),5.20372555919002E+00,8.14367294805820E+00,1.02590676267451E+01,8.26171517800413E+00,1.05815678708934E+01,1.03882457511845E+01,1.05965031609045E+01,8.47418880955002E+00,1.41448516655864E+01,4.57922037967362E+00,6.53668470709551E+00,6.40690171464183E+00,6.03972132935698E+00,7.44482062146689E+00,9.72371691756970E+00,1.05301408406337E+01,6.25120650321931E+00,1.15086721304006E+01,9.27761531970405E+00,9.13672289071686E+00,,
DZA,Algeria,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",6.50500965226192E+01,7.16506347628434E+01,,,,,,,,,,,,,1.63528950370793E+01,1.18926715735031E+01,2.24592199531302E+01,2.00121058893516E+00,1.43531246416695E+00,,,
DZA,Algeria,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",6.37268509147703E+01,7.08705454283930E+01,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),7.08101188551666E+00,6.61283384485443E+00,6.55078238642569E+00,6.41348172859374E+00,6.59381124749453E+00,6.60302666097236E+00,7.08993408228584E+00,6.96033443042181E+00,7.07314320775322E+00,6.83076257483856E+00,6.87201313750123E+00,7.03194785952480E+00,6.93160686309964E+00,6.94551782397794E+00,7.24158318626021E+00,7.30844010663254E+00,6.93900706336151E+00,6.73132526161079E+00,6.84229942720677E+00,,,
DZA,Algeria,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.41222754059399E+02,1.51221098769648E+02,1.52653521520142E+02,1.55921548125976E+02,1.51657359069836E+02,1.51445700789089E+02,1.41045034889463E+02,1.43671257465627E+02,1.41379860498774E+02,1.46396539045808E+02,1.45517766044844E+02,1.42208107906474E+02,1.44266693098752E+02,1.43977745841744E+02,1.38091350230892E+02,1.36828103591145E+02,1.44112837884267E+02,1.48559156055505E+02,1.46149698743633E+02,,,
DZA,Algeria,EN.ATM.CO2E.KT,CO2 emissions (kt),7.88309600000000E+04,8.13920960000000E+04,8.21945120000000E+04,8.24070240000000E+04,8.62798720000000E+04,9.46154720000000E+04,9.64877760000000E+04,8.81228640000000E+04,1.06992464000000E+05,1.17156400000000E+05,1.16768016000000E+05,1.13668272000000E+05,1.20904672000000E+05,1.21952576000000E+05,1.21853648000000E+05,1.38741024000000E+05,1.33420896000000E+05,1.40005104000000E+05,,,,
DZA,Algeria,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),3.11594896625511E+00,3.13884837041699E+00,3.09490955426599E+00,3.03302606564330E+00,3.10906290297972E+00,3.34429661449581E+00,3.35179984058696E+00,3.01347721227674E+00,3.60563346107161E+00,3.89236722403827E+00,3.82421816957304E+00,3.66882340945679E+00,3.84534242389315E+00,3.82135213033296E+00,3.76137385646546E+00,4.21853350396670E+00,3.99560013768586E+00,4.12913955850195E+00,,,,
DZA,Algeria,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),6.95196951987268E-01,7.02616282383052E-01,6.82624646383303E-01,6.84072205740816E-01,7.08304466339829E-01,7.31286762004929E-01,7.03914363100136E-01,6.23870164492920E-01,7.10713217529247E-01,7.43205325652987E-01,7.09446567772070E-01,6.58190482866552E-01,6.57975941739421E-01,6.07741611722065E-01,5.61321489795287E-01,5.88476741505118E-01,5.37337793002326E-01,5.31791649835652E-01,,,,
DZA,Algeria,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),1.18000000000000E+01,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,5.46133333333000E+01,,,,,,,,,
DZA,Algeria,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,4.23601669239090E+02,,,,,3.84708543268785E+02,,,,,3.57803396288920E+02,,,,,3.31793761127072E+02,,,,
