Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ADO,Andorra,AG.LND.FRST.K2,Forest area (sq. km),1.60000000000000E+02,,,,,,,,,,1.60000000000000E+02,,,,,1.60000000000000E+02,,,,,1.60000000000000E+02,
ADO,Andorra,AG.LND.FRST.ZS,Forest area (% of land area),3.40425531914894E+01,,,,,,,,,,3.40425531914894E+01,,,,,3.40425531914894E+01,,,,,3.40425531914894E+01,
ADO,Andorra,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,4.06704000000000E+02,4.25024000000000E+02,4.58000000000000E+02,4.83648000000000E+02,5.12960000000000E+02,5.23952000000000E+02,5.23952000000000E+02,5.31280000000000E+02,5.34944000000000E+02,5.64256000000000E+02,5.75248000000000E+02,5.45936000000000E+02,5.38608000000000E+02,,,,
ADO,Andorra,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,6.28609406636888E+00,6.51607463167093E+00,7.05646714428781E+00,7.52806400398469E+00,8.01687895600531E+00,8.10644552402760E+00,7.89203193251996E+00,7.69491476326347E+00,7.40888882733405E+00,7.49423577538118E+00,7.38557929334429E+00,6.83496506998523E+00,6.61761887209731E+00,,,,
ADO,Andorra,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,1.33294095244690E+00,1.28564364595352E+00,1.24225570819667E+00,4.36637351427379E+00,8.41369371579254E+00,1.32778676527232E+01,2.19733524266102E+01,3.21950457138392E+01,3.64251013398521E+01,4.43274589546619E+01,4.74921425778138E+01,7.18709748902400E+01,7.75195239866121E+01,8.28882497945768E+01,8.63910659288379E+01,7.80230986607691E+01,7.77480412221321E+01,,,
ADO,Andorra,IT.MLT.MAIN.P2,Telephone lines (per 100 people),4.07443200121274E+01,4.25776420103280E+01,4.38000934789759E+01,4.41074666227130E+01,4.49398678518800E+01,4.60517164098363E+01,4.74711392521502E+01,4.92720129419921E+01,5.12810136039598E+01,5.25232476361647E+01,5.29365349506452E+01,5.19731887332430E+01,5.05800732876613E+01,4.87112723848040E+01,4.65388089040004E+01,4.55063681183237E+01,4.57057365350427E+01,4.56481140189212E+01,4.52607869019218E+01,,,
ADO,Andorra,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,1.53310745550156E+00,3.08142670056236E+00,7.00432711764157E+00,7.81433148394155E+00,1.08302132004827E+01,,1.15869820256941E+01,1.39177042505159E+01,2.75248366360304E+01,3.85168447000822E+01,5.00788742269074E+01,7.24794200761764E+01,7.15998401491941E+01,,,
ADO,Andorra,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,NE.TRD.GNFS.ZS,Trade (% of GDP),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",9.20224345492027E+08,1.03498691149731E+09,1.18635316212278E+09,1.14244890191598E+09,1.12133630115685E+09,1.13883715257934E+09,1.22062135310979E+09,1.29483753201165E+09,1.24032991330660E+09,1.23500714865874E+09,1.21425042528930E+09,1.30242436971425E+09,1.36051569838393E+09,1.64056664153120E+09,2.09603783617310E+09,2.54292251217580E+09,2.84517422554148E+09,3.03890027320668E+09,3.44732361789982E+09,,,
ADO,Andorra,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",1.74400000000000E+04,1.88200000000000E+04,2.05400000000000E+04,1.88300000000000E+04,1.77700000000000E+04,1.76000000000000E+04,1.87100000000000E+04,1.99500000000000E+04,1.93100000000000E+04,1.93000000000000E+04,1.87900000000000E+04,1.96200000000000E+04,1.97100000000000E+04,2.27200000000000E+04,2.78400000000000E+04,3.26500000000000E+04,3.56200000000000E+04,3.73400000000000E+04,4.17500000000000E+04,,,
ADO,Andorra,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.ENR.PRIM.FM.ZS,Ratio of female to male primary enrollment (%),,,,,,,,,,,,,9.71570000000000E+01,9.67120000000000E+01,9.69020000000000E+01,9.65190000000000E+01,9.93700000000000E+01,9.89540000000000E+01,9.93070000000000E+01,1.01168000000000E+02,,
ADO,Andorra,SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (%),,,,,,,,,,,,,1.01457000000000E+02,1.01432000000000E+02,1.01340000000000E+02,1.02830000000000E+02,1.04081000000000E+02,1.03246000000000E+02,1.03437000000000E+02,1.04224000000000E+02,,
ADO,Andorra,SE.ENR.SECO.FM.ZS,Ratio of female to male secondary enrollment (%),,,,,,,,,,,,,1.07561000000000E+02,1.08044000000000E+02,1.07592000000000E+02,1.10200000000000E+02,1.09660000000000E+02,1.08433000000000E+02,1.08418000000000E+02,1.07763000000000E+02,,
ADO,Andorra,SE.ENR.TERT.FM.ZS,Ratio of female to male tertiary enrollment (%),,,,,,,,,,,,,1.05447000000000E+02,1.00267000000000E+02,9.97150000000000E+01,1.08847000000000E+02,1.19236000000000E+02,,1.44070000000000E+02,,,
ADO,Andorra,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,,1.00299400000000E+02,1.03030300000000E+02,1.01241380000000E+02,,,,,,,
ADO,Andorra,SE.PRM.NENR,"School enrollment, primary (% net)",,,,,,,,,,,,,8.73469400000000E+01,8.44907400000000E+01,8.27808700000000E+01,8.08277900000000E+01,8.30939000000000E+01,8.25927400000000E+01,8.33668100000000E+01,8.18941500000000E+01,,
ADO,Andorra,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SE.PRM.TENR,"Total enrollment, primary (% net)",,,,,,,,,,,,,8.73949600000000E+01,8.96990700000000E+01,8.28253600000000E+01,8.30581200000000E+01,8.44680400000000E+01,8.40195700000000E+01,8.50140600000000E+01,8.36450500000000E+01,,
ADO,Andorra,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),,,,,,,,4.00000000000000E+00,7.00000000000000E+00,7.00000000000000E+00,7.00000000000000E+00,7.00000000000000E+00,1.40000000000000E+01,1.40000000000000E+01,1.40000000000000E+01,2.86000000000000E+01,2.86000000000000E+01,2.86000000000000E+01,2.50000000000000E+01,3.57000000000000E+01,3.57000000000000E+01,5.36000000000000E+01
ADO,Andorra,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
