Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AGO,Angola,AG.LND.FRST.K2,Forest area (sq. km),6.09760000000000E+05,,,,,,,,,,5.97280000000000E+05,,,,,5.91040000000000E+05,,,,,5.84800000000000E+05,
AGO,Angola,AG.LND.FRST.ZS,Forest area (% of land area),4.89099221945937E+01,,,,,,,,,,4.79088794417262E+01,,,,,4.74083580652924E+01,,,,,4.69078366888586E+01,
AGO,Angola,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.65770000000000E+08,2.77080000000000E+08,3.43590000000000E+08,2.89390000000000E+08,4.47070000000000E+08,4.16420000000000E+08,4.59310000000000E+08,3.54650000000000E+08,3.35270000000000E+08,3.87540000000000E+08,3.02210000000000E+08,2.82730000000000E+08,4.14030000000000E+08,4.93730000000000E+08,1.14442000000000E+09,4.14550000000000E+08,1.63510000000000E+08,2.47710000000000E+08,3.68820000000000E+08,2.39490000000000E+08,,
AGO,Angola,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.65770000000000E+08,2.77080000000000E+08,3.43590000000000E+08,2.89390000000000E+08,4.47070000000000E+08,4.16420000000000E+08,4.59310000000000E+08,3.54650000000000E+08,3.35270000000000E+08,3.87540000000000E+08,3.02210000000000E+08,2.82730000000000E+08,4.14030000000000E+08,4.93730000000000E+08,1.14442000000000E+09,4.14550000000000E+08,1.63510000000000E+08,2.47710000000000E+08,3.68820000000000E+08,2.39490000000000E+08,,
AGO,Angola,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.23552180456016E+00,2.81168050899446E+00,9.78729722432640E+00,8.93332792546345E+00,2.30094864015873E+01,1.12925799573058E+01,7.80838445647252E+00,5.53004647335034E+00,6.41007845047196E+00,8.21502828440035E+00,4.05681726545217E+00,3.83359827569266E+00,4.22887279076519E+00,4.03711029980576E+00,6.61719312369353E+00,1.55837191007097E+00,4.12080995871739E-01,4.79374608056140E-01,5.23441737023520E-01,3.48750230281560E-01,,
AGO,Angola,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.57154003676034E+01,2.60083174426469E+01,3.12271935333471E+01,2.54481500208851E+01,3.80713210297915E+01,3.44003624916926E+01,3.68842964090189E+01,2.77238453290070E+01,2.55185901639219E+01,2.86820744435789E+01,2.17005533314381E+01,1.96500698764908E+01,2.78050248769784E+01,3.20189251023820E+01,7.17169273806734E+01,2.51409710740256E+01,9.61237400770801E+00,1.41343687695670E+01,2.04468752681844E+01,1.29069531501152E+01,,
AGO,Angola,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",8.14214339245566E+00,1.06865441742766E+01,6.23144895049320E+00,5.12161983032874E+00,8.14919177306749E+00,1.20448945787434E+01,1.83895520513415E+01,1.92277025086402E+01,4.14158311188726E+01,2.67780225549108E+01,2.07393619350162E+01,3.30086585530024E+01,1.68766042525873E+01,1.52509805539979E+01,1.35645427982707E+01,1.07031354465047E+01,1.31995362043451E+01,9.78260872648968E+00,2.54124248717666E+00,8.43510583696454E+00,,
AGO,Angola,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",7.06495128653510E+00,9.23423919022995E+00,4.87351275295007E+00,2.93445121951220E+00,6.41952324045537E+00,1.06754956915017E+01,1.74826891384923E+01,1.83460930530697E+01,4.01983688232766E+01,2.59397598267603E+01,2.04267996049796E+01,3.26783968141022E+01,1.66602898486054E+01,1.51844786022045E+01,1.35030856691125E+01,1.04705384266831E+01,1.29502939907584E+01,9.55247143129795E+00,2.43618677750842E+00,8.36055509843842E+00,,
AGO,Angola,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.78122594828781E+00,5.57815750775762E+00,5.16411789199198E+00,3.75470550220507E+00,3.85356695148787E+00,4.20844214894909E+00,4.52075546518085E+00,4.74809523196478E+00,5.05632464706715E+00,4.95502869554454E+00,4.93269403175151E+00,4.84779736083388E+00,5.28548753133133E+00,5.14698068227013E+00,5.31314881565189E+00,6.61606220269142E+00,7.19536437241532E+00,8.11103063992067E+00,9.05536987546708E+00,,,
AGO,Angola,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.72973692594763E+02,1.79270663944015E+02,1.93643913813568E+02,2.66332472523536E+02,2.59499838095170E+02,2.37617618255657E+02,2.21201966729247E+02,2.10610771508514E+02,1.97772111128196E+02,2.01815178366006E+02,2.02728973977110E+02,2.06279249227527E+02,1.89197305654814E+02,1.94288663923825E+02,1.88212307747549E+02,1.51147309285151E+02,1.38978368327485E+02,1.23288894395026E+02,1.10431712205286E+02,,,
