Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ATG,Antigua and Barbuda,AG.LND.FRST.K2,Forest area (sq. km),1.00000000000000E+02,,,,,,,,,,1.00000000000000E+02,,,,,1.00000000000000E+02,,,,,1.00000000000000E+02,
ATG,Antigua and Barbuda,AG.LND.FRST.ZS,Forest area (% of land area),2.27272727272727E+01,,,,,,,,,,2.27272727272727E+01,,,,,2.27272727272727E+01,,,,,2.27272727272727E+01,
ATG,Antigua and Barbuda,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.61000000000000E+06,7.23000000000000E+06,4.67000000000000E+06,3.00000000000000E+06,4.03000000000000E+06,2.27000000000000E+06,3.87000000000000E+06,4.30000000000000E+06,9.88000000000000E+06,1.07400000000000E+07,9.79000000000000E+06,8.54000000000000E+06,1.34700000000000E+07,6.16000000000000E+06,1.63000000000000E+06,7.79000000000000E+06,3.28000000000000E+06,7.38000000000000E+06,8.75000000000000E+06,5.94000000000000E+06,,
ATG,Antigua and Barbuda,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.61000000000000E+06,7.23000000000000E+06,4.67000000000000E+06,3.00000000000000E+06,4.03000000000000E+06,2.27000000000000E+06,3.87000000000000E+06,4.30000000000000E+06,9.88000000000000E+06,1.07400000000000E+07,9.79000000000000E+06,8.54000000000000E+06,1.34700000000000E+07,6.16000000000000E+06,1.63000000000000E+06,7.79000000000000E+06,3.28000000000000E+06,7.38000000000000E+06,8.75000000000000E+06,5.94000000000000E+06,,
ATG,Antigua and Barbuda,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.33132966455614E+00,1.91224877010631E+00,1.18508984391452E+00,6.91822856155043E-01,8.50949001220771E-01,4.85576875097261E-01,7.77143107371309E-01,7.71028998377537E-01,1.64941575458654E+00,1.70908236648336E+00,1.57991001373664E+00,1.27184977011054E+00,2.00421026006953E+00,8.62248642691039E-01,2.18168302279066E-01,9.64104508663610E-01,3.46843906787762E-01,6.77513145030035E-01,7.71055946840384E-01,5.76284584980237E-01,,
