Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ARB,Arab World,AG.LND.FRST.K2,Forest area (sq. km),9.59062000000000E+05,,,,,,,,,,8.93774600000000E+05,,,,,8.88304800000000E+05,,,,,8.82750000000000E+05,
ARB,Arab World,AG.LND.FRST.ZS,Forest area (% of land area),7.11772354441202E+00,,,,,,,,,,6.63318020231107E+00,,,,,6.59267395570174E+00,,,,,6.55140449792604E+00,
ARB,Arab World,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.12900400000000E+10,1.06082100000000E+10,8.01730000000000E+09,6.91801000000000E+09,7.46353000000000E+09,5.89228000000000E+09,6.24348000000000E+09,5.70889000000000E+09,5.64208000000000E+09,5.30928000000000E+09,4.84450000000000E+09,5.15114000000000E+09,5.00094000000000E+09,8.41518000000000E+09,1.14913000000000E+10,2.92181000000000E+10,1.73528700000000E+10,1.86091600000000E+10,2.14643800000000E+10,1.42947300000000E+10,,
ARB,Arab World,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.12900400000000E+10,1.06082100000000E+10,8.01730000000000E+09,6.91801000000000E+09,7.46353000000000E+09,5.89228000000000E+09,6.23268000000000E+09,5.70635000000000E+09,5.63151000000000E+09,5.29382000000000E+09,4.82426000000000E+09,5.13700000000000E+09,4.98347000000000E+09,8.39600000000000E+09,1.14687300000000E+10,2.92181000000000E+10,1.73528700000000E+10,1.86091600000000E+10,2.14643800000000E+10,1.42947300000000E+10,,
ARB,Arab World,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.50079613919053E+00,2.44393650610176E+00,1.72862572735951E+00,1.47321852356824E+00,1.55578983942034E+00,1.12162285551366E+00,1.07596689121390E+00,9.28089800202462E-01,9.33479925969294E-01,8.26048094338399E-01,6.62210788577413E-01,7.17968659029551E-01,6.85740476222173E-01,1.02908452681636E+00,1.20553419661873E+00,2.51542172128771E+00,1.26132780860870E+00,1.17658761980002E+00,1.07773325009450E+00,8.32277841441503E-01,,
