Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ARM,Armenia,AG.LND.FRST.K2,Forest area (sq. km),3.47000000000000E+03,,,,,,,,,,3.04000000000000E+03,,,,,2.83000000000000E+03,,,,,2.62000000000000E+03,
ARM,Armenia,AG.LND.FRST.ZS,Forest area (% of land area),1.21839887640449E+01,,,,,,,,,,1.06741573033708E+01,,,,,9.93679775280899E+00,,,,,9.19943820224719E+00,
ARM,Armenia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,2.72000000000000E+06,2.24600000000000E+07,1.09710000000000E+08,1.91270000000000E+08,2.17590000000000E+08,2.92160000000000E+08,1.66130000000000E+08,1.94200000000000E+08,2.09180000000000E+08,2.15890000000000E+08,2.11630000000000E+08,2.99590000000000E+08,2.53800000000000E+08,2.53410000000000E+08,1.70340000000000E+08,2.15510000000000E+08,3.50060000000000E+08,3.02630000000000E+08,5.27600000000000E+08,,
ARM,Armenia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,2.72000000000000E+06,2.24600000000000E+07,1.09710000000000E+08,1.91270000000000E+08,2.17590000000000E+08,2.92160000000000E+08,1.66130000000000E+08,1.94200000000000E+08,2.09180000000000E+08,2.15890000000000E+08,2.11630000000000E+08,2.99590000000000E+08,2.53800000000000E+08,2.53410000000000E+08,1.70340000000000E+08,2.15510000000000E+08,3.50060000000000E+08,3.02630000000000E+08,5.27600000000000E+08,,
