Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,AG.LND.FRST.K2,Forest area (sq. km),4.00000000000000E+00,,,,,,,,,,4.00000000000000E+00,,,,,4.00000000000000E+00,,,,,,
ABW,Aruba,AG.LND.FRST.ZS,Forest area (% of land area),2.22222222222222E+00,,,,,,,,,,2.22222222222222E+00,,,,,2.22222222222222E+00,,,,,,
ABW,Aruba,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.99800000000000E+07,2.49700000000000E+07,2.99800000000000E+07,2.48600000000000E+07,1.82600000000000E+07,2.58000000000000E+07,1.95300000000000E+07,2.50700000000000E+07,1.12600000000000E+07,-7.38000000000000E+06,1.15000000000000E+07,-1.70000000000000E+06,1.04900000000000E+07,7.62200000000000E+07,-1.13200000000000E+07,,,,,,,
ABW,Aruba,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.99800000000000E+07,2.49700000000000E+07,2.99800000000000E+07,2.48600000000000E+07,1.82600000000000E+07,2.58000000000000E+07,1.95300000000000E+07,2.50700000000000E+07,1.12600000000000E+07,-7.38000000000000E+06,,,,,,,,,,,,
ABW,Aruba,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.46623182251326E+00,2.62456238220335E+00,2.91764257007599E+00,2.21964280989795E+00,1.48300359819846E+00,,,,,,,,,,,,,,,,,
ABW,Aruba,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.82404621301109E+02,3.86281365056774E+02,4.39035819933808E+02,3.42551637661389E+02,2.37878116776530E+02,3.21203142312912E+02,2.35105755456307E+02,2.94383579337960E+02,1.29683163071395E+02,-8.34445173107799E+01,,,,,,,,,,,,
ABW,Aruba,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
