Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,Australia,AG.LND.FRST.K2,Forest area (sq. km),1.54500000000000E+06,,,,,,,,,,1.54920000000000E+06,,,,,1.53920000000000E+06,,,,,1.49300000000000E+06,
AUS,Australia,AG.LND.FRST.ZS,Forest area (% of land area),2.01111646251774E+01,,,,,,,,,,2.01658357523138E+01,,,,,2.00356664019890E+01,,,,,1.94342840034885E+01,
AUS,Australia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),4.71880000000000E+08,4.54790000000000E+08,7.43000000000000E+08,7.60040000000000E+08,9.31560000000000E+08,,4.12760000000000E+08,3.02790000000000E+08,1.87460000000000E+08,3.23710000000000E+08,3.79680000000000E+08,2.25790000000000E+08,2.79710000000000E+08,3.29640000000000E+08,5.79860000000000E+08,6.92110000000000E+08,1.30521000000000E+09,4.62340000000000E+08,3.17772000000000E+09,1.12237000000000E+09,,
AUS,Australia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,2.26764226490000E+08,1.28824446323000E+09,5.48770132960000E+08,4.76206949870000E+08,6.62037761770001E+08,8.29766372070001E+08,6.08051001440000E+08,4.90664700880001E+08,8.85897626930001E+08,9.59702766270004E+08,1.04959399741000E+09,1.51159172208000E+09,1.45528787753000E+09,3.16018260358999E+09,1.84423358560000E+09,,
AUS,Australia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.83446947300000E+07,9.87156394500000E+07,7.59786239600000E+07,1.10729949250000E+08,1.75073977280000E+08,1.81089761500000E+08,1.28721501180000E+08,6.27455010300000E+07,1.93789547110000E+08,9.87058564000000E+07,1.16460999340000E+08,1.36994129690000E+08,1.32723795500000E+08,5.80893798670000E+08,2.81426225510000E+08,,
AUS,Australia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,8.08976575095233E+00,7.66280331626588E+00,1.38452549431181E+01,2.32524849291318E+01,2.64447116750453E+01,2.18241866139066E+01,2.11695237529679E+01,1.27878571491829E+01,2.18749369248860E+01,1.02850444813900E+01,1.10958141555098E+01,9.06290552461425E+00,9.12010589446169E+00,1.83816529465766E+01,1.52597928867260E+01,,
AUS,Australia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.04510000000000E+08,9.68700000000000E+07,1.07940000000000E+08,1.03150000000000E+08,1.40040000000000E+08,1.39380000000000E+08,1.43000000000000E+08,1.25660000000000E+08,1.11390000000000E+08,1.62110000000000E+08,2.05750000000000E+08,1.51670000000000E+08,1.72810000000000E+08,2.04410000000000E+08,2.96480000000000E+08,3.30440000000000E+08,3.50720000000000E+08,5.26280000000000E+08,6.46700000000000E+08,5.87660000000000E+08,,
AUS,Australia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),3.72169379622738E-02,3.46287074737523E-02,3.89349428270628E-02,3.75487642506934E-02,4.38264592389518E-02,3.99737443223904E-02,3.64356840490104E-02,3.20343227654569E-02,3.14670617069673E-02,4.24369150428196E-02,5.55767012636021E-02,4.37742317516983E-02,4.46739400835628E-02,4.14656665761594E-02,4.97758859538554E-02,4.86907128609761E-02,4.87413422516796E-02,6.36209200884832E-02,6.91799584023809E-02,6.24818645925514E-02,,
AUS,Australia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",9.55180000000000E+08,1.04980000000000E+09,1.01493000000000E+09,9.53460000000000E+08,1.09136000000000E+09,1.19434000000000E+09,1.07438000000000E+09,1.06071000000000E+09,9.60370000000000E+08,9.81900000000000E+08,9.87140000000000E+08,8.72780000000000E+08,9.88740000000000E+08,1.21860000000000E+09,1.46013000000000E+09,1.68016000000000E+09,2.12322000000000E+09,2.66852000000000E+09,2.95407000000000E+09,2.76161000000000E+09,3.84891000000000E+09,
AUS,Australia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",3.40000000000000E-01,3.80000000000000E-01,3.70000000000000E-01,3.50000000000000E-01,3.40000000000000E-01,3.40000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,2.60000000000000E-01,2.70000000000000E-01,2.50000000000000E-01,2.60000000000000E-01,2.50000000000000E-01,2.50000000000000E-01,2.50000000000000E-01,3.00000000000000E-01,3.20000000000000E-01,3.20000000000000E-01,2.90000000000000E-01,3.20000000000000E-01,
