Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,Austria,AG.LND.FRST.K2,Forest area (sq. km),3.77600000000000E+04,,,,,,,,,,3.83800000000000E+04,,,,,3.86200000000000E+04,,,,,3.88700000000000E+04,
AUT,Austria,AG.LND.FRST.ZS,Forest area (% of land area),4.57974530018193E+01,,,,,,,,,,4.65494238932686E+01,,,,,4.68405093996361E+01,,,,,4.71437234687689E+01,
AUT,Austria,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),3.26620000000000E+08,4.85890000000000E+08,1.32575000000000E+09,5.70460000000000E+08,,3.83810000000000E+08,,2.18900000000000E+08,3.98970000000000E+08,4.38480000000000E+08,2.70830000000000E+08,,3.38360000000000E+08,1.30860000000000E+08,1.95540000000000E+08,1.05457000000000E+09,8.89790000000000E+08,1.11438000000000E+09,1.02010000000000E+09,2.82100000000000E+08,,
AUT,Austria,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,5.09002082600000E+07,2.29045022970000E+08,1.71578333960000E+08,1.69575501750000E+08,1.46953386950000E+08,1.47755280730000E+08,1.32265092850000E+08,2.04733210440000E+08,1.91080296020000E+08,2.01718046370000E+08,2.44891607630000E+08,2.65920221030000E+08,3.59736839240000E+08,4.31301994010000E+08,3.62984089140000E+08,,
AUT,Austria,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,8.97350929000000E+06,6.52498941000000E+06,1.57014707500000E+07,1.31207151300000E+07,5.03186882000000E+06,4.71147975000000E+06,8.55168222000000E+06,1.90302904000000E+07,3.04693703600000E+07,3.13843424400000E+07,3.39280030600000E+07,3.23316367800000E+07,2.00766851800000E+07,2.28893766400000E+07,,
AUT,Austria,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,3.91779274382021E+00,3.80292153409134E+00,9.25928013655428E+00,8.92848773500147E+00,3.40554245854330E+00,3.56214905118104E+00,4.17698828715735E+00,9.95931595061384E+00,1.51049303264180E+01,1.28156055422764E+01,1.27587149742074E+01,8.98758015673502E+00,4.65490200806596E+00,6.30588979650063E+00,,
AUT,Austria,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",5.74900000000000E+07,4.99800000000000E+07,6.86700000000000E+07,6.13500000000000E+07,6.39500000000000E+07,6.62200000000000E+07,6.31000000000000E+07,4.90300000000000E+07,6.04300000000000E+07,5.22700000000000E+07,6.06900000000000E+07,6.98900000000000E+07,1.23660000000000E+08,6.13900000000000E+07,5.28000000000000E+07,1.11780000000000E+08,6.97100000000000E+07,5.02100000000000E+07,1.06700000000000E+08,9.79600000000000E+07,,
AUT,Austria,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),3.64058480115055E-02,3.07712975335124E-02,3.75106620246744E-02,3.38229063496925E-02,3.26394494319485E-02,2.85798704661177E-02,2.74389664545807E-02,2.40730465493573E-02,2.88259028045700E-02,2.52844574016875E-02,3.23582131505719E-02,3.77066501388278E-02,6.06517071547630E-02,2.45196540264435E-02,1.81478865084797E-02,3.70710955825369E-02,2.18126052827433E-02,1.38280745385269E-02,2.66686421957005E-02,2.59136656969940E-02,,
AUT,Austria,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",1.68060000000000E+08,2.94180000000000E+08,2.04100000000000E+08,2.06070000000000E+08,3.23430000000000E+08,6.20040000000000E+08,5.26700000000000E+08,4.94860000000000E+08,4.59050000000000E+08,4.92290000000000E+08,4.39700000000000E+08,6.33090000000000E+08,5.20160000000000E+08,5.04780000000000E+08,6.77630000000000E+08,1.57332000000000E+09,1.49843000000000E+09,1.80846000000000E+09,1.71351000000000E+09,1.14178000000000E+09,1.19894000000000E+09,
AUT,Austria,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",1.10000000000000E-01,1.80000000000000E-01,1.10000000000000E-01,1.10000000000000E-01,1.70000000000000E-01,2.70000000000000E-01,2.30000000000000E-01,2.40000000000000E-01,2.20000000000000E-01,2.40000000000000E-01,2.30000000000000E-01,3.40000000000000E-01,2.60000000000000E-01,2.00000000000000E-01,2.30000000000000E-01,5.20000000000000E-01,4.70000000000000E-01,5.00000000000000E-01,4.30000000000000E-01,3.00000000000000E-01,3.20000000000000E-01,
