Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BHS,"Bahamas, The",AG.LND.FRST.K2,Forest area (sq. km),5.15000000000000E+03,,,,,,,,,,5.15000000000000E+03,,,,,5.15000000000000E+03,,,,,5.15000000000000E+03,
BHS,"Bahamas, The",AG.LND.FRST.ZS,Forest area (% of land area),5.14485514485514E+01,,,,,,,,,,5.14485514485514E+01,,,,,5.14485514485514E+01,,,,,5.14485514485514E+01,
BHS,"Bahamas, The",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.15000000000000E+06,2.76000000000000E+06,2.70000000000000E+06,1.03000000000000E+06,7.10000000000000E+05,4.26000000000000E+06,1.45000000000000E+06,3.47000000000000E+06,2.26100000000000E+07,1.15600000000000E+07,5.47000000000000E+06,8.68000000000000E+06,5.32000000000000E+06,4.07000000000000E+06,4.75000000000000E+06,,,,,,,
BHS,"Bahamas, The",DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.15000000000000E+06,2.76000000000000E+06,2.70000000000000E+06,1.03000000000000E+06,7.10000000000000E+05,4.26000000000000E+06,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.04149446189453E-01,9.27556493567597E-02,8.85884900584028E-02,3.45012393649092E-02,2.26021074077611E-02,1.28607656080184E-01,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.22985382308846E+01,1.05809963771588E+01,1.01595042161943E+01,3.80493607337985E+00,2.57782489670547E+00,1.52265757361299E+01,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.37133758965696E+00,,,,,,,,,,,,,,1.22572367767892E+01,1.20912709730758E+01,1.15759806304192E+01,1.16883770347349E+01,,,,
BHS,"Bahamas, The",EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.06708353042760E+02,,,,,,,,,,,,,,8.15844564489155E+01,8.27042915692439E+01,8.63857699772069E+01,8.55550772385466E+01,,,,
BHS,"Bahamas, The",EN.ATM.CO2E.KT,CO2 emissions (kt),1.94924800000000E+03,1.78070400000000E+03,1.79169600000000E+03,1.71475200000000E+03,1.71841600000000E+03,1.72940800000000E+03,1.72940800000000E+03,1.74040000000000E+03,1.79169600000000E+03,1.79536000000000E+03,1.79536000000000E+03,1.79536000000000E+03,2.08115200000000E+03,1.86864000000000E+03,2.00787200000000E+03,2.10680000000000E+03,2.13611200000000E+03,2.14710400000000E+03,,,,
BHS,"Bahamas, The",EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),7.61044477761119E+00,6.82667484521459E+00,6.74175669116236E+00,6.33448712786432E+00,6.23912048971412E+00,6.18144645320866E+00,6.09639836856707E+00,6.05952990247792E+00,6.16612118896931E+00,6.10691592854130E+00,6.03176203002846E+00,5.95266672413679E+00,6.80557617535587E+00,6.02396510649547E+00,6.37948268247659E+00,6.59698520156063E+00,6.59159553918029E+00,6.52891039071219E+00,,,,
BHS,"Bahamas, The",EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),4.46678437478600E-01,4.11863605927046E-01,4.22004806622519E-01,3.94004260524764E-01,3.75154086224935E-01,3.53491631277207E-01,3.39484303686419E-01,3.10641234531186E-01,3.01207645889876E-01,2.77744224939397E-01,2.61154914343392E-01,2.48894174544304E-01,2.76438059466428E-01,2.46173499315225E-01,2.54930255929693E-01,2.50346841204142E-01,2.53140029361895E-01,2.43760464063818E-01,,,,
BHS,"Bahamas, The",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,7.52555867866241E+01,,,,,6.96337612327961E+01,,,,,6.54020098037613E+01,,,,,6.08159678405162E+01,,,,
BHS,"Bahamas, The",ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),2.08129419130248E-01,2.08159236240398E-01,2.08189058676342E-01,2.08218881182826E-01,2.20210083618715E-01,2.20240498946029E-01,2.20270914590775E-01,2.20301331011465E-01,2.20331747961207E-01,2.20331747961207E-01,2.20331747961207E-01,2.20331747961207E-01,4.05432066576056E-01,4.05432066576056E-01,4.05432066576056E-01,4.05432066576056E-01,4.05432066576056E-01,4.05432066576056E-01,4.05432066576056E-01,4.05432066576056E-01,,
BHS,"Bahamas, The",IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),7.50406046976512E-01,7.74406256589162E-01,9.78322628226113E-01,8.86956457493692E-01,,1.46546855676367E+00,1.74423728395323E+00,2.15864659821668E+00,2.77797853192507E+00,5.41212566499313E+00,1.05909269580818E+01,2.00775183517569E+01,3.98164165584808E+01,3.94028388045171E+01,5.90988088543206E+01,7.13215263121638E+01,7.80665049712096E+01,1.13725555781926E+02,1.07309514747004E+02,1.06045076516589E+02,,
