Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BHR,Bahrain,AG.LND.FRST.K2,Forest area (sq. km),2.00000000000000E+00,,,,,,,,,,4.60000000000000E+00,,,,,4.80000000000000E+00,,,,,1.00000000000000E+01,
BHR,Bahrain,AG.LND.FRST.ZS,Forest area (% of land area),2.89855072463768E-01,,,,,,,,,,6.47887323943662E-01,,,,,6.48648648648649E-01,,,,,1.31578947368421E+00,
BHR,Bahrain,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.36900000000000E+08,4.41000000000000E+07,6.61700000000000E+07,9.69600000000000E+07,4.45900000000000E+07,4.90500000000000E+07,8.14700000000000E+07,9.20400000000000E+07,4.70900000000000E+07,3.98000000000000E+06,4.90700000000000E+07,1.78300000000000E+07,6.05300000000000E+07,7.80500000000000E+07,5.74300000000000E+07,,,,,,,
BHR,Bahrain,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.36900000000000E+08,4.41000000000000E+07,6.61700000000000E+07,9.69600000000000E+07,4.45900000000000E+07,4.90500000000000E+07,8.14700000000000E+07,9.20400000000000E+07,4.70900000000000E+07,3.98000000000000E+06,4.90700000000000E+07,1.78300000000000E+07,6.05300000000000E+07,7.80500000000000E+07,5.74300000000000E+07,,,,,,,
BHR,Bahrain,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.86473436449822E+00,9.17377545707838E-01,1.38352436775620E+00,1.93662466780337E+00,8.37287226624123E-01,8.47087924133206E-01,1.34071774120737E+00,1.50563573502768E+00,7.81935653730049E-01,6.26728765543662E-02,6.33405275205565E-01,2.34377574369265E-01,7.59838237934626E-01,8.43373369389134E-01,5.38709824420353E-01,,,,,,,
BHR,Bahrain,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.77749035790875E+02,8.70363243435270E+01,1.27324435824020E+02,1.82131707372051E+02,8.17671534064757E+01,8.77351453935024E+01,1.41708151132169E+02,1.55214457002358E+02,7.70404932947449E+01,6.35006740963519E+00,7.68889661904784E+01,2.77505408476133E+01,9.42732100861277E+01,1.20603123783152E+02,8.54918423246397E+01,,,,,,,
BHR,Bahrain,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.02930459357571E+00,2.42919356707201E+00,2.42268219219473E+00,2.53949705958028E+00,2.38365772946712E+00,2.48638033087538E+00,2.57032296734088E+00,2.43006490226806E+00,2.37086188843134E+00,2.54322323177717E+00,2.58166932151037E+00,2.60965548474355E+00,2.59149353202393E+00,2.64682990220656E+00,2.70763180024129E+00,2.71256330029347E+00,2.62450584096221E+00,2.68650623874827E+00,2.70965631667944E+00,,,
