Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BRB,Barbados,AG.LND.FRST.K2,Forest area (sq. km),8.00000000000000E+01,,,,,,,,,,8.00000000000000E+01,,,,,8.00000000000000E+01,,,,,8.00000000000000E+01,
BRB,Barbados,AG.LND.FRST.ZS,Forest area (% of land area),1.86046511627907E+01,,,,,,,,,,1.86046511627907E+01,,,,,1.86046511627907E+01,,,,,1.86046511627907E+01,
BRB,Barbados,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.63000000000000E+06,2.12000000000000E+06,3.00000000000000E+04,3.60000000000000E+06,-1.03000000000000E+06,-1.16000000000000E+06,4.23000000000000E+06,4.32000000000000E+06,1.56600000000000E+07,-2.13000000000000E+06,2.40000000000000E+05,-1.15000000000000E+06,3.31000000000000E+06,1.98800000000000E+07,2.88100000000000E+07,-1.81000000000000E+06,-2.08000000000000E+06,1.75100000000000E+07,7.12000000000000E+06,1.22100000000000E+07,,
BRB,Barbados,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.63000000000000E+06,2.12000000000000E+06,3.00000000000000E+04,3.60000000000000E+06,-1.03000000000000E+06,-1.16000000000000E+06,4.23000000000000E+06,4.32000000000000E+06,1.56600000000000E+07,-2.13000000000000E+06,2.40000000000000E+05,-1.15000000000000E+06,3.31000000000000E+06,1.98800000000000E+07,2.88100000000000E+07,-1.81000000000000E+06,-2.08000000000000E+06,1.75100000000000E+07,7.12000000000000E+06,1.22100000000000E+07,,
BRB,Barbados,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.54710870617032E-01,1.29990740429891E-01,1.92876438436474E-03,2.25805540373789E-01,-6.10742656127463E-02,-6.41157526012849E-02,2.19058634010689E-01,2.01405065357435E-01,6.78287540490958E-01,-8.88460852417552E-02,9.68972668304222E-03,-4.67254189775328E-02,1.39420912367075E-01,7.68196445355555E-01,1.06192406929598E+00,-6.33487330253395E-02,-7.26005667404778E-02,5.72593160234349E-01,2.18063389970531E-01,3.47144145047026E-01,,
BRB,Barbados,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.01348357039087E+01,8.14285330188860E+00,1.14882666503278E-01,1.37464917807435E+01,-3.92176273716194E+00,-4.40368086980290E+00,1.60083561348335E+01,1.62964751327861E+01,5.88852414633321E+01,-7.98476521791286E+00,8.97159369147437E-01,-4.28797279560912E+00,1.23133925814600E+01,7.37966286670948E+01,1.06724653357881E+02,-6.69123817480767E+00,-7.67352118703470E+00,6.44655361573975E+01,2.61591593798222E+01,4.47662694775435E+01,,
BRB,Barbados,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.29726914800349E+01,,,,,,,,,,,,,,1.25590940088099E+01,1.24603647407919E+01,1.26273888708246E+01,1.25927871441062E+01,,,,
BRB,Barbados,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",7.70850059557042E+01,,,,,,,,,,,,,,7.96235778869499E+01,8.02544725457571E+01,7.91929361034002E+01,7.94105378385615E+01,,,,
BRB,Barbados,EN.ATM.CO2E.KT,CO2 emissions (kt),1.07355200000000E+03,1.20545600000000E+03,9.78288000000000E+02,1.11385600000000E+03,7.47456000000000E+02,8.28064000000000E+02,8.50048000000000E+02,9.01344000000000E+02,1.13950400000000E+03,1.20912000000000E+03,1.18713600000000E+03,1.22011200000000E+03,1.22744000000000E+03,1.19080000000000E+03,1.27140800000000E+03,1.31537600000000E+03,1.33736000000000E+03,1.34468800000000E+03,,,,
BRB,Barbados,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),4.13698598463975E+00,4.63011857069879E+00,3.74627780160529E+00,4.25322565248105E+00,2.84596610530885E+00,3.14355999635557E+00,3.21699080749479E+00,3.40016900048286E+00,4.28480001203274E+00,4.53264756820789E+00,4.43770910355088E+00,4.54939744660542E+00,4.56614821455808E+00,4.42037351191029E+00,4.70984304326405E+00,4.86270392564962E+00,4.93377898783304E+00,4.95065864559786E+00,,,,
BRB,Barbados,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),3.56168648652369E-01,3.98382749711893E-01,3.33231701195239E-01,3.67636243621598E-01,2.32537599785729E-01,2.48061879838588E-01,2.45708063632078E-01,2.40245722867365E-01,2.87684829778311E-01,2.93248320208530E-01,2.75451334980771E-01,2.91562412543677E-01,2.99233868372240E-01,2.78582532713791E-01,2.78959640197057E-01,2.70678992511148E-01,2.57721708134245E-01,2.50533570919166E-01,,,,
BRB,Barbados,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,7.61250000000000E+01,,,,,,,,,,,
BRB,Barbados,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,3.06353777342075E+02,,,,,3.01786576533076E+02,,,,,2.97604654536797E+02,,,,,2.94531290267950E+02,,,,
BRB,Barbados,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),6.49487690596398E-02,6.49842377538505E-02,6.50191318721221E-02,6.50540684123293E-02,6.50890472061312E-02,6.51240651111620E-02,6.51591222396493E-02,6.51942219584132E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293610970313E-02,6.52293654738976E-02,,
BRB,Barbados,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,1.86671070977258E-01,3.04822008455364E-01,5.95681310498883E-01,1.12969612050092E+00,1.75160202873022E+00,2.37778963581936E+00,3.02276979719942E+00,4.51227903933579E+00,7.61326745589636E+00,1.06414315673000E+01,1.98033498389214E+01,3.61563614854936E+01,5.19694568078132E+01,7.41397385412692E+01,7.62246629427400E+01,8.74777726129077E+01,9.48376028098285E+01,1.06055551473290E+02,1.23578735105408E+02,,
BRB,Barbados,IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.77998928713184E+01,2.99507203736494E+01,3.06717572452668E+01,3.15050499264945E+01,3.25072248007706E+01,3.42166003583685E+01,3.65380321453846E+01,4.09135834138098E+01,4.25022843412637E+01,4.31102347446000E+01,4.62904329167772E+01,4.80834625939625E+01,4.94767738167425E+01,4.97421943731927E+01,5.02809810814715E+01,4.98619238973320E+01,4.95314725044455E+01,4.94300819533315E+01,5.51105885810860E+01,4.97525206232814E+01,,
