Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BLR,Belarus,AG.LND.FRST.K2,Forest area (sq. km),7.78000000000000E+04,,,,,,,,,,8.27300000000000E+04,,,,,8.43600000000000E+04,,,,,8.63000000000000E+04,
BLR,Belarus,AG.LND.FRST.ZS,Forest area (% of land area),3.83553539735752E+01,,,,,,,,,,4.07858410569907E+01,,,,,4.15914805502145E+01,,,,,4.25332676195170E+01,
BLR,Belarus,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,1.87030000000000E+08,2.72540000000000E+08,1.85870000000000E+08,1.18820000000000E+08,2.22520000000000E+08,7.63700000000000E+07,5.48800000000000E+07,3.89800000000000E+07,3.82500000000000E+07,3.44900000000000E+07,3.94500000000000E+07,3.92800000000000E+07,4.84100000000000E+07,4.80700000000000E+07,5.78100000000000E+07,7.65200000000000E+07,8.37600000000000E+07,1.10180000000000E+08,9.80500000000000E+07,,
BLR,Belarus,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,5.78100000000000E+07,7.65200000000000E+07,8.37600000000000E+07,1.10180000000000E+08,9.80500000000000E+07,,
BLR,Belarus,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,1.91009094200342E-01,2.05666129946222E-01,1.83900784482229E-01,1.80184299902307E-01,1.98053483978557E-01,,
BLR,Belarus,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,5.91370865244736E+00,7.86231697919342E+00,8.63327149041435E+00,1.14746927723391E+01,1.03134532449774E+01,,
BLR,Belarus,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,6.79597234467078E-01,4.30174879611861E+00,3.44412824890913E+00,2.30526269159210E+00,2.43171044772326E+00,2.83338480110047E+00,3.90561482750565E+00,4.80757842561795E+00,3.99209727873556E+00,3.94856110107049E+00,3.58415012433453E+00,2.34842585522538E+00,3.70704472503937E+00,3.25973552292713E+00,3.86992939321171E+00,3.14090199099186E+00,4.97670531828752E+00,,
BLR,Belarus,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,6.44007238643218E-01,4.15261233209023E+00,3.35922974767596E+00,1.60408729807153E+00,1.70081461994993E+00,1.92197018612616E+00,3.07500973444436E+00,3.06441009587165E+00,2.62899546063927E+00,2.05439048647724E+00,1.73652188031413E+00,1.47183956281118E+00,1.22470967144235E+00,9.61391507021141E-01,1.07985376868213E+00,8.73141493865827E-01,9.68937340561225E-01,,
