Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,Belgium,AG.LND.FRST.K2,Forest area (sq. km),6.77000000000000E+03,,,,,,,,,,6.67000000000000E+03,,,,,6.73000000000000E+03,,,,,6.78000000000000E+03,
BEL,Belgium,AG.LND.FRST.ZS,Forest area (% of land area),2.23579920739762E+01,,,,,,,,,,2.20277410832232E+01,,,,,2.22258916776750E+01,,,,,2.23910171730515E+01,
BEL,Belgium,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,4.93380000000000E+08,5.45080000000000E+08,4.53980000000000E+08,,,,4.37940000000000E+08,5.36640000000000E+08,1.41650000000000E+08,2.41530000000000E+08,3.03110000000000E+08,2.62850000000000E+08,1.16183000000000E+09,7.81590000000000E+08,9.33630000000000E+08,8.62340000000000E+08,8.19540000000000E+08,9.13220000000000E+08,1.17571000000000E+09,,
BEL,Belgium,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,3.36990426079999E+08,3.18527804290000E+08,2.88029945230001E+08,3.00581856520000E+08,3.01171268840000E+08,3.24193637850000E+08,3.86461401210000E+08,6.95963960959999E+08,5.42516531500000E+08,7.13672534550001E+08,8.06047000880001E+08,8.55235195130001E+08,1.07632629682000E+09,1.25935851021000E+09,1.41361073511000E+09,,
BEL,Belgium,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,2.66120174300000E+07,3.68962566900000E+07,3.67868808400000E+07,3.49576831600000E+07,3.84020706700000E+07,5.81273263000000E+07,6.97248450700000E+07,1.50683347490000E+08,9.27129917000000E+07,1.01087819640000E+08,1.55233488590000E+08,1.81588728600000E+08,2.22412474930000E+08,2.07562171820000E+08,1.79265902040000E+08,,
BEL,Belgium,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,7.89696542408077E+00,1.15833708056482E+01,1.27718945370852E+01,1.16300044070271E+01,1.27509077535552E+01,1.79298170949594E+01,1.80418652035348E+01,2.16510273437364E+01,1.70894316240758E+01,1.41644542484376E+01,1.92586149964610E+01,2.12326070809559E+01,2.06640379954589E+01,1.64815793229037E+01,1.26814191196737E+01,,
BEL,Belgium,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",2.69900000000000E+08,1.67620000000000E+08,2.15540000000000E+08,1.74260000000000E+08,1.72030000000000E+08,1.54360000000000E+08,1.63150000000000E+08,1.67800000000000E+08,1.91910000000000E+08,1.29880000000000E+08,1.53460000000000E+08,1.90640000000000E+08,2.52130000000000E+08,9.59220000000000E+08,4.57250000000000E+08,3.49860000000000E+08,4.79960000000000E+08,4.93020000000000E+08,5.40800000000000E+08,6.13740000000000E+08,,
BEL,Belgium,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),1.38341085867323E-01,8.35288002938109E-02,9.68244769977854E-02,8.39969150679649E-02,7.51466425377348E-02,5.71721236488289E-02,6.11822335044036E-02,6.82072453166662E-02,7.65716520101505E-02,5.18723075364855E-02,6.69775701518688E-02,8.09604979529276E-02,1.01751893748310E-01,3.11439402841033E-01,1.28006970521947E-01,9.36785080842095E-02,1.21210933490867E-01,1.07694249773201E-01,1.08493948713899E-01,1.29347400068575E-01,,
BEL,Belgium,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",8.89340000000000E+08,8.31020000000000E+08,8.70000000000000E+08,8.10240000000000E+08,7.27460000000000E+08,1.03394000000000E+09,9.13280000000000E+08,7.63760000000000E+08,8.82630000000000E+08,7.59780000000000E+08,8.19660000000000E+08,8.67320000000000E+08,1.07159000000000E+09,1.85340000000000E+09,1.46331000000000E+09,1.96336000000000E+09,1.97694000000000E+09,1.95070000000000E+09,2.38564000000000E+09,2.60960000000000E+09,3.00023000000000E+09,
BEL,Belgium,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",4.60000000000000E-01,4.10000000000000E-01,3.90000000000000E-01,3.90000000000000E-01,3.20000000000000E-01,3.80000000000000E-01,3.40000000000000E-01,3.10000000000000E-01,3.50000000000000E-01,3.00000000000000E-01,3.60000000000000E-01,3.70000000000000E-01,4.30000000000000E-01,6.00000000000000E-01,4.10000000000000E-01,5.30000000000000E-01,5.00000000000000E-01,4.30000000000000E-01,4.80000000000000E-01,5.50000000000000E-01,6.40000000000000E-01,
