Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BLZ,Belize,AG.LND.FRST.K2,Forest area (sq. km),1.58600000000000E+04,,,,,,,,,,1.48900000000000E+04,,,,,1.44100000000000E+04,,,,,1.39300000000000E+04,
BLZ,Belize,AG.LND.FRST.ZS,Forest area (% of land area),6.95309074967120E+01,,,,,,,,,,6.52783866725121E+01,,,,,6.31740464708461E+01,,,,,6.10697062691802E+01,
BLZ,Belize,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.03200000000000E+07,2.17700000000000E+07,2.55600000000000E+07,3.05100000000000E+07,2.91700000000000E+07,1.82300000000000E+07,2.06300000000000E+07,1.40600000000000E+07,1.51900000000000E+07,4.60600000000000E+07,1.46600000000000E+07,2.21700000000000E+07,2.23800000000000E+07,1.17800000000000E+07,7.58000000000000E+06,1.21700000000000E+07,8.63000000000000E+06,2.17700000000000E+07,2.38600000000000E+07,2.78600000000000E+07,,
BLZ,Belize,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.03200000000000E+07,2.17700000000000E+07,2.55600000000000E+07,3.05100000000000E+07,2.91700000000000E+07,1.82300000000000E+07,2.06300000000000E+07,1.40600000000000E+07,1.51900000000000E+07,4.60600000000000E+07,1.46600000000000E+07,2.21700000000000E+07,2.23800000000000E+07,1.17800000000000E+07,7.58000000000000E+06,1.21700000000000E+07,8.63000000000000E+06,2.17700000000000E+07,2.38600000000000E+07,2.78600000000000E+07,,
BLZ,Belize,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),7.46338490932716E+00,5.01704543531667E+00,5.09931618034720E+00,5.65042217746588E+00,5.21861832241684E+00,3.04527772447283E+00,3.34104579197811E+00,2.22856900815565E+00,2.30230895720837E+00,6.66616623847427E+00,1.89085356411954E+00,2.78197033870778E+00,2.61083953159408E+00,1.30446950808146E+00,8.03857066303456E-01,1.21642267633807E+00,7.93341133914158E-01,1.94757270972198E+00,1.99273395414874E+00,2.25404530744337E+00,,
BLZ,Belize,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.60423280423280E+02,1.12216494845361E+02,1.28442211055276E+02,1.48829268292683E+02,1.38246445497630E+02,8.42032332563510E+01,9.29279279279279E+01,6.11304347826087E+01,6.36897274633124E+01,1.89469354175237E+02,5.86869495596477E+01,8.61640108822386E+01,8.43891402714932E+01,4.30398246255024E+01,2.68223637650389E+01,4.17066483893077E+01,2.86343758502386E+01,6.98876404494382E+01,7.40763737969575E+01,8.36134453781513E+01,,
BLZ,Belize,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",7.16206153243190E+00,6.36717230649553E+00,5.57123145912384E+00,6.27323162274619E+00,8.85343506007344E+00,1.21948253777361E+01,1.27686284455293E+01,1.17169092680622E+01,1.37578263083790E+01,1.10630257165663E+01,1.72572271148681E+01,2.16699308214467E+01,3.85035955444162E+01,2.94311131222978E+01,6.08667334442524E+01,3.67293115580168E+01,1.76270607106513E+01,7.59584828686374E+01,1.22507560147243E+01,1.36205256785393E+01,,
BLZ,Belize,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",7.01077797374094E+00,6.19175418125243E+00,5.42393928941014E+00,5.99063800277392E+00,8.52187243752005E+00,1.17444236973914E+01,1.21802532929671E+01,1.02799019752576E+01,1.20164165243702E+01,1.03781809203246E+01,1.64905614561390E+01,2.11476199914573E+01,3.80795570285105E+01,2.86526809634138E+01,6.00091316911542E+01,3.62973059604041E+01,1.69622871324671E+01,7.51972414399100E+01,1.17339610923259E+01,1.32503447282391E+01,,
BLZ,Belize,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),7.43952041581561E+00,,,,,,,,,,,,,,1.14282569320066E+01,1.13355094208875E+01,1.11042786689640E+01,1.08607481523820E+01,,,,
BLZ,Belize,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.34417266719789E+02,,,,,,,,,,,,,,8.75024079305871E+01,8.82183555118695E+01,9.00553768337027E+01,9.20746882230829E+01,,,,
BLZ,Belize,EN.ATM.CO2E.KT,CO2 emissions (kt),3.11440000000000E+02,3.59072000000000E+02,3.55408000000000E+02,3.77392000000000E+02,3.73728000000000E+02,3.77392000000000E+02,3.07776000000000E+02,3.88384000000000E+02,3.70064000000000E+02,6.00896000000000E+02,6.88832000000000E+02,7.10816000000000E+02,3.59072000000000E+02,3.73728000000000E+02,3.81056000000000E+02,3.95712000000000E+02,4.06704000000000E+02,4.25024000000000E+02,,,,
BLZ,Belize,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.64783068783069E+00,1.85088659793814E+00,1.78596984924623E+00,1.84093658536585E+00,1.77122274881517E+00,1.74315011547344E+00,1.38637837837838E+00,1.68862608695652E+00,1.55163102725367E+00,2.47180584121761E+00,2.75753402722178E+00,2.76259619121648E+00,1.35396681749623E+00,1.36546583850932E+00,1.34839348903043E+00,1.35610692254969E+00,1.34944556150584E+00,1.36444301765650E+00,,,,
BLZ,Belize,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),5.46177923579666E-01,5.51153415238860E-01,4.76883680769107E-01,4.66253064789907E-01,4.51799468420954E-01,4.43003762205270E-01,3.49994501836980E-01,4.18472704627428E-01,3.79027501601722E-01,5.57601545288976E-01,5.53495954981937E-01,5.32120627647400E-01,2.51673907233078E-01,2.34555731485694E-01,2.22291636882853E-01,2.16826471405670E-01,2.06233372411249E-01,2.06844674247713E-01,,,,
BLZ,Belize,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,4.73000000000000E+01,,,,,,
BLZ,Belize,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,7.18750000000000E-01,,,,9.37500000000000E-01,,,,,,,,,,,
