Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEN,Benin,AG.LND.FRST.K2,Forest area (sq. km),5.76100000000000E+04,,,,,,,,,,5.06100000000000E+04,,,,,4.81100000000000E+04,,,,,4.56100000000000E+04,
BEN,Benin,AG.LND.FRST.ZS,Forest area (% of land area),5.20791900198879E+01,,,,,,,,,,4.57512203941421E+01,,,,,4.34912312420900E+01,,,,,4.12312420900380E+01,
BEN,Benin,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,3.85252622715683E+08
BEN,Benin,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,7.53676252873200E+08
BEN,Benin,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
BEN,Benin,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.13892887558888E+09
BEN,Benin,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.66880000000000E+08,2.65660000000000E+08,2.69040000000000E+08,2.87260000000000E+08,2.55880000000000E+08,2.80060000000000E+08,2.87790000000000E+08,2.20660000000000E+08,2.05150000000000E+08,2.10880000000000E+08,2.43450000000000E+08,2.77750000000000E+08,2.19000000000000E+08,2.99730000000000E+08,3.93670000000000E+08,3.46870000000000E+08,3.78060000000000E+08,4.74330000000000E+08,6.41380000000000E+08,6.82910000000000E+08,,
BEN,Benin,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.66880000000000E+08,2.65660000000000E+08,2.69040000000000E+08,2.87260000000000E+08,2.55880000000000E+08,2.80060000000000E+08,2.87790000000000E+08,2.20660000000000E+08,2.05150000000000E+08,2.10880000000000E+08,2.43450000000000E+08,2.77750000000000E+08,2.19000000000000E+08,2.99730000000000E+08,3.93670000000000E+08,3.46870000000000E+08,3.78060000000000E+08,4.74330000000000E+08,6.41380000000000E+08,6.82910000000000E+08,,
BEN,Benin,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.47765246482622E+01,1.43835467438530E+01,1.70422679335017E+01,1.39012058521412E+01,1.75054963446635E+01,1.42526306964372E+01,1.33110032867799E+01,1.03745629600125E+01,8.83819823911733E+00,8.89131886018803E+00,1.08556100687176E+01,1.18166108955154E+01,7.87413649188419E+00,8.52599653778218E+00,9.82765211371616E+00,8.14492468637858E+00,8.17711475165717E+00,8.73929086027520E+00,9.61329376443418E+00,1.03389188899933E+01,,
BEN,Benin,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),5.59129142951480E+01,5.38418836998288E+01,5.26668669928656E+01,5.42966890852049E+01,4.67512981853268E+01,4.95581334813624E+01,4.94315942071304E+01,3.68497950850129E+01,3.33322068244342E+01,3.33171339933985E+01,3.73515030355288E+01,4.13236235588247E+01,3.15653608360352E+01,4.18326593138623E+01,5.32131384424272E+01,4.54389627545126E+01,4.80277022506046E+01,5.84685031493707E+01,7.67570051627697E+01,7.93917903650306E+01,,
BEN,Benin,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",9.86427894421291E+00,5.41892772877880E+00,5.13018570650926E+00,5.44843271481889E+00,7.08268441004551E+00,7.51405322064096E+00,6.32511018580064E+00,9.16212036329071E+00,9.96896868582212E+00,1.09154888472988E+01,1.34703150523122E+01,8.60402409267423E+00,8.95545625397011E+00,5.21212440372561E+00,4.97750082609723E+00,5.93330527493748E+00,4.16936365652838E+00,2.14760989734055E+00,,,,
BEN,Benin,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",8.90997151171574E+00,4.95902620038328E+00,4.80492520705432E+00,5.20269600871284E+00,6.85025698864673E+00,7.22255436969832E+00,6.08508482045376E+00,8.41046003698414E+00,1.60681955829492E+01,1.70984455958549E+01,1.37500444817781E+01,1.19000000000000E+01,1.25000000000000E+01,1.03000000000000E+01,4.90000000000000E+00,5.10000000000000E+00,1.47000000000000E+01,1.20000000000000E+00,2.70000000000000E+00,7.30000000000000E+00,,
BEN,Benin,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),3.20990182413785E+00,3.30968254604728E+00,3.36072283822556E+00,3.39836568496131E+00,3.47236756839832E+00,3.55358187912961E+00,3.22062652150656E+00,3.29604634342425E+00,3.49267714255314E+00,3.50543387947273E+00,4.29414412815482E+00,4.21946776613382E+00,4.12694326204826E+00,4.05166616341531E+00,4.01634577989442E+00,4.02461389617754E+00,3.84274019685179E+00,3.87908074233153E+00,3.92224890842282E+00,,,
BEN,Benin,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",3.11536007886656E+02,3.02143781491759E+02,2.97555034478235E+02,2.94259091782050E+02,2.87987944911392E+02,2.81406207599453E+02,3.10498591911308E+02,3.03393792382513E+02,2.86313323329107E+02,2.85271391326432E+02,2.32875276226393E+02,2.36996715089560E+02,2.42310091635155E+02,2.46812042174043E+02,2.48982546524240E+02,2.48471039905162E+02,2.60230967687917E+02,2.57793035624968E+02,2.54955772402041E+02,,,
BEN,Benin,EN.ATM.CO2E.KT,CO2 emissions (kt),7.14480000000000E+02,8.28064000000000E+02,9.05008000000000E+02,1.13217600000000E+03,1.26408000000000E+03,1.32636800000000E+03,1.26408000000000E+03,1.21644800000000E+03,1.21278400000000E+03,1.56086400000000E+03,1.61582400000000E+03,1.73673600000000E+03,2.05184000000000E+03,2.27900800000000E+03,2.38526400000000E+03,2.56480000000000E+03,3.72628800000000E+03,3.87284800000000E+03,,,,
BEN,Benin,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.49687721094115E-01,1.67825512248795E-01,1.77163009082216E-01,2.13999193280411E-01,2.30957405854729E-01,2.34707999676526E-01,2.17121823570483E-01,2.03144473541076E-01,1.97049803175065E-01,2.46602404369651E-01,2.47909036931116E-01,2.58391448011013E-01,2.95740045560779E-01,3.18076152662619E-01,3.22420767276495E-01,3.35981352301364E-01,4.73377375453634E-01,4.77388369879692E-01,,,,
BEN,Benin,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.85708381634259E-01,1.98768320532321E-01,2.04555717499805E-01,2.41898347530475E-01,2.53602808769404E-01,2.48603106751805E-01,2.20567857765311E-01,1.96181634039631E-01,1.84501955389784E-01,2.23526333942757E-01,2.14079909568571E-01,2.14284252179841E-01,2.38388303139017E-01,2.49465520176807E-01,2.46265363269521E-01,2.49034202090176E-01,3.36612694436838E-01,3.24910821072868E-01,,,,
BEN,Benin,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),7.93000000000000E+01,,,,,7.68000000000000E+01,,,,,7.43000000000000E+01,,,,,7.18000000000000E+01,,7.08000000000000E+01,,,,
BEN,Benin,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,1.26213592233010E+00,,,,,,,,,,
