Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BMU,Bermuda,AG.LND.FRST.K2,Forest area (sq. km),1.00000000000000E+01,,,,,,,,,,1.00000000000000E+01,,,,,1.00000000000000E+01,,,,,1.00000000000000E+01,
BMU,Bermuda,AG.LND.FRST.ZS,Forest area (% of land area),2.00000000000000E+01,,,,,,,,,,2.00000000000000E+01,,,,,2.00000000000000E+01,,,,,2.00000000000000E+01,
BMU,Bermuda,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.21900000000000E+07,-4.72000000000000E+06,-5.00000000000000E+06,-4.82000000000000E+06,-1.24800000000000E+07,-2.08000000000000E+06,-4.07000000000000E+06,-8.22000000000000E+06,5.50000000000000E+05,8.00000000000000E+04,6.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,3.00000000000000E+04,9.00000000000000E+04,,,,,,,
BMU,Bermuda,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.21900000000000E+07,-4.72000000000000E+06,-5.00000000000000E+06,-4.82000000000000E+06,-1.24800000000000E+07,-2.08000000000000E+06,-4.07000000000000E+06,,,,,,,,,,,,,,,
BMU,Bermuda,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.62147373693655E+00,-2.86251445909422E-01,-2.97282829232980E-01,-2.64487840565518E-01,-6.67651001086183E-01,-1.02310343852788E-01,,,,,,,,,,,,,,,,
