Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BOL,Bolivia,AG.LND.FRST.K2,Forest area (sq. km),6.27950000000000E+05,,,,,,,,,,6.00910000000000E+05,,,,,5.87340000000000E+05,,,,,5.71960000000000E+05,
BOL,Bolivia,AG.LND.FRST.ZS,Forest area (% of land area),5.79663989661220E+01,,,,,,,,,,5.54703221637589E+01,,,,,5.42176682359457E+01,,,,,5.27979322440690E+01,
BOL,Bolivia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.94873260106966E+09
BOL,Bolivia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.95288531495092E+09
BOL,Bolivia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
BOL,Bolivia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,3.90161791602058E+09
BOL,Bolivia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.45440000000000E+08,5.02890000000000E+08,6.66930000000000E+08,5.58990000000000E+08,5.61280000000000E+08,7.11460000000000E+08,8.27500000000000E+08,6.97760000000000E+08,6.33050000000000E+08,5.78550000000000E+08,4.81710000000000E+08,7.43720000000000E+08,6.89330000000000E+08,9.38410000000000E+08,7.85440000000000E+08,6.43060000000000E+08,8.49970000000000E+08,4.76750000000000E+08,6.27870000000000E+08,7.25830000000000E+08,,
BOL,Bolivia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.45440000000000E+08,5.02890000000000E+08,6.66930000000000E+08,5.58990000000000E+08,5.61280000000000E+08,7.11460000000000E+08,8.27500000000000E+08,6.97760000000000E+08,6.33050000000000E+08,5.78550000000000E+08,4.81710000000000E+08,7.43720000000000E+08,6.89330000000000E+08,9.38410000000000E+08,7.85440000000000E+08,6.43060000000000E+08,8.49970000000000E+08,4.76750000000000E+08,6.27870000000000E+08,7.25830000000000E+08,,
BOL,Bolivia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.17895176022144E+01,9.85912002154064E+00,1.22285766056230E+01,1.01081290498074E+01,9.68823424554602E+00,1.09557113452939E+01,1.14411698221003E+01,9.02719385295859E+00,7.59479552903824E+00,7.15232453047500E+00,5.89440350250017E+00,9.37814468912094E+00,8.95142490755184E+00,1.20609160132978E+01,9.36302180926737E+00,7.01047647101151E+00,7.68921536056350E+00,3.77441997567874E+00,3.89047653102961E+00,4.35510614894385E+00,,
BOL,Bolivia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),8.19168150242503E+01,7.38042635027504E+01,9.56286111834415E+01,7.83096140149539E+01,7.68431443150065E+01,9.52305102781784E+01,1.08345241490087E+02,8.94067436640646E+01,7.94167831165978E+01,7.10854005294637E+01,5.79867123263926E+01,8.77368799613152E+01,7.97221215731995E+01,1.06445040109865E+02,8.74370763973440E+01,7.03054832613671E+01,9.13292201498712E+01,5.03777831809954E+01,6.52775608917264E+01,7.42655529408731E+01,,
BOL,Bolivia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.86992466097438E+01,3.50369465973033E+01,3.64101429113444E+01,3.68634808520031E+01,2.89664944157360E+01,2.94679502416607E+01,3.07767996243096E+01,3.14148435226581E+01,2.92293943072980E+01,2.84597043395327E+01,3.94158887212994E+01,3.31507524007474E+01,2.88023508281547E+01,2.12795250071990E+01,1.96758646142742E+01,1.55790132364481E+01,9.22918190823215E+00,1.39136693115755E+01,1.29717966627134E+01,1.43989500671469E+01,,
BOL,Bolivia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",3.35018583626318E+01,2.90505361503344E+01,3.35033514607310E+01,3.33517271824302E+01,2.51643607267878E+01,2.52574280960304E+01,2.51636564221449E+01,2.33398587338959E+01,2.85766961651917E+01,1.90327035433491E+01,1.82513050713217E+01,1.91000000000000E+01,2.11000000000000E+01,1.75000000000000E+01,1.33000000000000E+01,1.18000000000000E+01,7.80000000000000E+00,6.10000000000000E+00,4.70000000000000E+00,5.40000000000000E+00,,
BOL,Bolivia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),7.37886073523939E+00,7.48938545677794E+00,7.29571375638759E+00,7.23369729128693E+00,6.85871902087322E+00,6.31999678641185E+00,5.94673478663240E+00,6.09558741428913E+00,5.94958535072754E+00,6.10882692536608E+00,6.00079002754562E+00,6.87918785878559E+00,7.79201734809646E+00,8.01137158683009E+00,7.25849409154073E+00,7.83058011985053E+00,8.00810137437834E+00,6.61538108969111E+00,7.04802590905860E+00,,,
