Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BIH,Bosnia and Herzegovina,AG.LND.FRST.K2,Forest area (sq. km),2.21000000000000E+04,,,,,,,,,,2.18500000000000E+04,,,,,2.18500000000000E+04,,,,,2.18500000000000E+04,
BIH,Bosnia and Herzegovina,AG.LND.FRST.ZS,Forest area (% of land area),4.31640625000000E+01,,,,,,,,,,4.26757812500000E+01,,,,,4.26757812500000E+01,,,,,4.26757812500000E+01,
BIH,Bosnia and Herzegovina,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,9.68000000000000E+06,4.11700000000000E+07,3.94600000000000E+08,9.24520000000000E+08,8.36580000000000E+08,8.61450000000000E+08,9.05200000000000E+08,1.04033000000000E+09,7.36850000000000E+08,6.38920000000000E+08,5.53130000000000E+08,5.40290000000000E+08,6.83830000000000E+08,5.32670000000000E+08,4.90290000000000E+08,4.52540000000000E+08,4.63110000000000E+08,4.15150000000000E+08,,
BIH,Bosnia and Herzegovina,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,9.68000000000000E+06,4.11700000000000E+07,3.94600000000000E+08,9.24520000000000E+08,8.36580000000000E+08,8.61450000000000E+08,9.05200000000000E+08,1.04033000000000E+09,7.36850000000000E+08,6.38920000000000E+08,5.53130000000000E+08,5.40290000000000E+08,6.83830000000000E+08,5.32670000000000E+08,4.90290000000000E+08,4.52540000000000E+08,4.63110000000000E+08,4.15150000000000E+08,,
BIH,Bosnia and Herzegovina,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,3.61752024314537E+01,5.69084925196730E+01,3.26273474970138E+01,2.50143987217299E+01,1.83760336004205E+01,1.92167874369136E+01,1.20876746174016E+01,1.01617700516179E+01,7.72530538881206E+00,6.06867177822064E+00,6.50917385283325E+00,4.74899555217426E+00,3.85550193875969E+00,2.87831585967556E+00,2.42070452053951E+00,2.35479908376370E+00,,
BIH,Bosnia and Herzegovina,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,2.46224473288206E+00,1.11954737327863E+01,1.13979304639587E+02,2.77458826241005E+02,2.53074110196051E+02,2.55956116205770E+02,2.60093641756350E+02,2.88865169968218E+02,1.99488425962274E+02,1.70452756798288E+02,1.46490238177401E+02,1.42831197787199E+02,1.80842438087058E+02,1.40880682126241E+02,1.29651881696261E+02,1.19750179543238E+02,1.22705319641648E+02,1.10187083148980E+02,,
BIH,Bosnia and Herzegovina,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,8.15077393278405E+00,1.41500829040002E+01,1.38219683756563E+01,7.75722029520898E+00,7.57864338957161E+00,6.84869289382848E+00,6.76084359952964E+00,7.06028089872342E+00,6.46409138240370E+00,5.52741418502610E+00,1.05428067654934E+01,,
BIH,Bosnia and Herzegovina,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,2.15991416407137E+00,7.98992134693453E+00,1.26019571658575E+01,1.19150238795099E+01,5.79660319519142E+00,5.20199765039807E+00,4.09274038304235E+00,3.55886423386030E+00,3.31621796534202E+00,2.49929450058301E+00,2.15665948636894E+00,2.77555668681293E+00,,
BIH,Bosnia and Herzegovina,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,3.06899322734144E+00,3.56214762004752E+00,5.78016638393489E+00,5.06876621283289E+00,4.72562104919438E+00,5.23331191386551E+00,4.25142032405894E+00,4.59455206448314E+00,4.61232356292145E+00,4.80443395451682E+00,4.66565604415952E+00,4.67471557045886E+00,4.64517490398971E+00,4.78195922354572E+00,4.71123700042731E+00,,,
BIH,Bosnia and Herzegovina,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,3.25839754578495E+02,2.80729522373545E+02,1.73005400463791E+02,1.97286668591706E+02,2.11612397521904E+02,1.91083584632234E+02,2.35215510059300E+02,2.17649073503860E+02,2.16810461442692E+02,2.08141064996817E+02,2.14332130473227E+02,2.13916758127349E+02,2.15277146860736E+02,2.09119307223729E+02,2.12258479017146E+02,,,
BIH,Bosnia and Herzegovina,EN.ATM.CO2E.KT,CO2 emissions (kt),,,4.72289600000000E+03,3.85452800000000E+03,4.17696000000000E+03,4.18428800000000E+03,5.41172800000000E+03,1.27910240000000E+04,1.66785280000000E+04,1.93788960000000E+04,2.26838240000000E+04,2.02692480000000E+04,2.21159040000000E+04,2.27900800000000E+04,2.41604160000000E+04,2.55893760000000E+04,2.74616800000000E+04,2.90005600000000E+04,,,,
BIH,Bosnia and Herzegovina,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,1.20133530991216E+00,1.04817262512240E+00,1.20650531248700E+00,1.25575178161026E+00,1.63710374169004E+00,3.80050011647199E+00,4.79228798790904E+00,5.38087730512090E+00,6.14122324023242E+00,5.40748325272052E+00,5.85714758640562E+00,6.02479117523198E+00,6.38934901165137E+00,6.76788395454008E+00,7.26194392408692E+00,7.67406697055385E+00,,,,
BIH,Bosnia and Herzegovina,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,1.16391139304650E+00,9.43249597465869E-01,6.34379603052049E-01,1.09461708246901E+00,1.21757333075278E+00,1.27214665994522E+00,1.38157941578437E+00,1.15627360754411E+00,1.17896413285698E+00,1.14352900036286E+00,1.11109507838860E+00,1.08460399374317E+00,1.02486063843555E+00,9.74223272939578E-01,,,,
BIH,Bosnia and Herzegovina,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,9.02992644806953E+03,,,,,1.05478462189388E+04,,,,,9.40177436641972E+03,,,,,9.39393506382848E+03,,,,
BIH,Bosnia and Herzegovina,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),6.65313575061320E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65028015265381E-01,6.65031463298043E-01,,
BIH,Bosnia and Herzegovina,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.53765527856363E-02,2.67410185832252E-01,7.23532699189865E-01,1.46072207823653E+00,2.52825217437917E+00,1.18641169361616E+01,1.98305932678528E+01,2.84131749744958E+01,3.72205170734958E+01,4.21678544914429E+01,4.99213557902130E+01,6.48426290951603E+01,8.42315278297392E+01,8.64520449305316E+01,,
BIH,Bosnia and Herzegovina,IT.MLT.MAIN.P2,Telephone lines (per 100 people),,,1.52618475178640E+01,1.63159685199703E+01,7.22119264062262E+00,7.13793531882916E+00,8.23584433059299E+00,8.99951153072721E+00,9.57341137291917E+00,1.02159470744741E+01,2.11170485513434E+01,2.25971822418811E+01,2.39105925686786E+01,2.47974934418832E+01,2.51636052444651E+01,2.56243518581455E+01,2.61530341221730E+01,2.81673041311616E+01,2.73267139424784E+01,2.65055207670072E+01,,
BIH,Bosnia and Herzegovina,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,1.51255175952121E-02,5.94244857405004E-02,1.43666395137180E-01,1.94366805703722E-01,1.08292556673556E+00,1.20052182682072E+00,2.64838714547034E+00,3.96540370321121E+00,1.54706325082153E+01,2.13282408547366E+01,2.51217213509245E+01,2.79171873023635E+01,3.46456857730613E+01,3.77298196265450E+01,,
