Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BWA,Botswana,AG.LND.FRST.K2,Forest area (sq. km),1.37180000000000E+05,,,,,,,,,,1.25350000000000E+05,,,,,1.19430000000000E+05,,,,,1.13510000000000E+05,
BWA,Botswana,AG.LND.FRST.ZS,Forest area (% of land area),2.42055299701798E+01,,,,,,,,,,2.21181162105412E+01,,,,,2.10735270763856E+01,,,,,2.00289379422300E+01,
BWA,Botswana,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.45220000000000E+08,1.31070000000000E+08,1.11260000000000E+08,1.28890000000000E+08,8.51800000000000E+07,8.95400000000000E+07,7.44500000000000E+07,1.21500000000000E+08,1.06250000000000E+08,6.08900000000000E+07,3.06200000000000E+07,2.91700000000000E+07,3.71900000000000E+07,2.78500000000000E+07,5.01800000000000E+07,4.79800000000000E+07,6.88100000000000E+07,1.07670000000000E+08,7.20260000000000E+08,2.79600000000000E+08,,
BWA,Botswana,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.45220000000000E+08,1.31070000000000E+08,1.11260000000000E+08,1.28890000000000E+08,8.51800000000000E+07,8.95400000000000E+07,7.44500000000000E+07,1.21500000000000E+08,1.06250000000000E+08,6.08900000000000E+07,3.06200000000000E+07,2.91700000000000E+07,3.71900000000000E+07,2.78500000000000E+07,5.01800000000000E+07,4.79800000000000E+07,6.88100000000000E+07,1.07670000000000E+08,7.20260000000000E+08,2.79600000000000E+08,,
BWA,Botswana,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.94010776472929E+00,3.27273050503144E+00,2.61276478752252E+00,2.89352327770677E+00,2.06974586161265E+00,1.88851383107245E+00,1.63732608724471E+00,2.41322142506820E+00,2.00089989337700E+00,1.08640895349471E+00,5.79899659290668E-01,4.94726245016896E-01,6.89866368897053E-01,3.77962765451794E-01,5.52088270160110E-01,5.09580237740396E-01,6.56418816340214E-01,9.25131482848927E-01,5.60894100163957E+00,2.42839099884953E+00,,
BWA,Botswana,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.05051393583922E+02,9.20713417675281E+01,7.59493325251003E+01,8.55822267314814E+01,5.50822742163483E+01,5.64694189149219E+01,4.58519533116874E+01,7.31690572573467E+01,6.26626649060178E+01,3.52336187397255E+01,1.74182630089452E+01,1.63467826763331E+01,2.05685184970104E+01,1.52175231554969E+01,2.70914777380722E+01,2.55801517641934E+01,3.61985475339378E+01,5.58587629828694E+01,3.68452984466105E+02,1.41099811463199E+02,,
BWA,Botswana,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",4.34871445646383E+00,3.42921686395936E+00,3.90546170601865E+00,3.61820259105046E+00,4.01071050018697E+00,3.14761754486654E+00,5.24362766166267E+00,2.82514673589977E+00,2.59536589179827E+00,2.15822414194039E+00,2.03311036890791E+00,1.72954603867224E+00,1.95794872059809E+00,1.24664539448352E+00,1.02606755345877E+00,9.23847457240005E-01,9.72683412653709E-01,7.80685275874770E-01,1.14744568688919E+00,1.21681877444589E+00,,
