Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BRA,Brazil,AG.LND.FRST.K2,Forest area (sq. km),5.74839000000000E+06,,,,,,,,,,5.45943000000000E+06,,,,,5.30494000000000E+06,,,,,5.19522000000000E+06,
BRA,Brazil,AG.LND.FRST.ZS,Forest area (% of land area),6.79525310245856E+01,,,,,,,,,,6.45366940050263E+01,,,,,6.27104458698114E+01,,,,,6.14134302351698E+01,
BRA,Brazil,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.51060000000000E+08,1.61560000000000E+08,-2.57790000000000E+08,1.99830000000000E+08,2.51340000000000E+08,2.71310000000000E+08,2.70080000000000E+08,2.59850000000000E+08,2.82220000000000E+08,1.23100000000000E+08,2.31370000000000E+08,2.19530000000000E+08,2.07730000000000E+08,1.98280000000000E+08,1.54380000000000E+08,2.43070000000000E+08,1.13430000000000E+08,3.21200000000000E+08,4.60360000000000E+08,3.38460000000000E+08,,
BRA,Brazil,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.51060000000000E+08,1.61560000000000E+08,-2.57790000000000E+08,1.99830000000000E+08,2.51340000000000E+08,2.71310000000000E+08,2.70080000000000E+08,2.59850000000000E+08,2.82220000000000E+08,1.23100000000000E+08,2.31370000000000E+08,2.19530000000000E+08,2.07730000000000E+08,1.98280000000000E+08,1.54380000000000E+08,2.43070000000000E+08,1.13430000000000E+08,3.21200000000000E+08,4.60360000000000E+08,3.38460000000000E+08,,
BRA,Brazil,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.35933896677532E-02,4.05716128625971E-02,-6.72731519291350E-02,4.67297330647013E-02,4.67943496564498E-02,3.57982390248493E-02,3.26373750296973E-02,3.03909148411842E-02,3.41868038596391E-02,2.16699106707161E-02,3.69147797003925E-02,4.10922254946353E-02,4.26988350384744E-02,3.70929799623785E-02,2.39807319951270E-02,2.83667695441188E-02,1.06808464234714E-02,2.40086536340391E-02,2.85316024400159E-02,2.16626612278952E-02,,
BRA,Brazil,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.00942059511766E+00,1.06186858755776E+00,-1.66765747778706E+00,1.27291748330091E+00,1.57680221925220E+00,1.67632425754702E+00,1.64339693358975E+00,1.55720797984682E+00,1.66590211979168E+00,7.15962951179743E-01,1.32646975293797E+00,1.24114402915900E+00,1.15863068560165E+00,1.09165140265148E+00,8.39599525057942E-01,1.30691955378120E+00,6.03485207677360E-01,1.69232490088018E+00,2.40342602124866E+00,1.75144081440808E+00,,
BRA,Brazil,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.24512676521596E+01,2.32199542436248E+01,2.10804946462109E+01,2.42327884551144E+01,3.11200480356167E+01,3.84553388712610E+01,4.35852720547566E+01,6.39212811134187E+01,8.06527991080542E+01,1.20185502908550E+02,9.50714218002866E+01,7.69955229746908E+01,7.09995910827374E+01,6.71012358246614E+01,4.78367273435649E+01,4.56868032238152E+01,3.79780294414730E+01,2.80145671886813E+01,2.34367796835406E+01,2.33802677543117E+01,,
BRA,Brazil,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.84108101412173E+01,1.64315551587523E+01,1.45659455108661E+01,1.21489566398682E+01,1.71103296102476E+01,2.35393757353203E+01,2.24891800331858E+01,2.47841929884381E+01,2.72174447637443E+01,4.62603016774892E+01,4.57171128492926E+01,2.88818423985646E+01,3.67964658229825E+01,3.89970145168883E+01,2.32040795661167E+01,2.98233430188333E+01,1.93753965865001E+01,1.07843837609804E+01,9.26949808566442E+00,6.98765268716712E+00,,
BRA,Brazil,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),7.65586179608356E+00,7.62701880389814E+00,7.51374848489525E+00,7.67285602080567E+00,7.67743649298612E+00,7.75123702150967E+00,7.51821914157811E+00,7.39580495358747E+00,7.22439004723768E+00,7.08210949435835E+00,7.29302622843458E+00,7.34521793369470E+00,7.32628421370336E+00,7.28939267044314E+00,7.31500017771078E+00,7.34592291948628E+00,7.37879064904672E+00,7.41512959525629E+00,7.38588751097005E+00,,,
BRA,Brazil,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.30618867821198E+02,1.31112827398420E+02,1.33089363053645E+02,1.30329566629219E+02,1.30251810081864E+02,1.29011665779927E+02,1.33010222390258E+02,1.35211786448604E+02,1.38419990263726E+02,1.41200866888122E+02,1.37117291050062E+02,1.36142999299272E+02,1.36494841154205E+02,1.37185640177511E+02,1.36705396542170E+02,1.36129933700684E+02,1.35523563082684E+02,1.34859409691199E+02,1.35393342846710E+02,,,
