Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BRN,Brunei Darussalam,AG.LND.FRST.K2,Forest area (sq. km),4.13000000000000E+03,,,,,,,,,,3.97000000000000E+03,,,,,3.89000000000000E+03,,,,,3.80000000000000E+03,
BRN,Brunei Darussalam,AG.LND.FRST.ZS,Forest area (% of land area),7.83681214421252E+01,,,,,,,,,,7.53320683111954E+01,,,,,7.38140417457305E+01,,,,,7.21062618595825E+01,
BRN,Brunei Darussalam,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.88000000000000E+06,3.62000000000000E+06,5.37000000000000E+06,5.07000000000000E+06,5.26000000000000E+06,4.29000000000000E+06,3.17000000000000E+06,3.80000000000000E+05,3.30000000000000E+05,1.43000000000000E+06,6.30000000000000E+05,3.50000000000000E+05,-1.82000000000000E+06,4.70000000000000E+05,7.70000000000000E+05,,,,,,,
BRN,Brunei Darussalam,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.88000000000000E+06,3.62000000000000E+06,5.37000000000000E+06,5.07000000000000E+06,5.26000000000000E+06,4.29000000000000E+06,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.10209998432848E-01,9.77937763878030E-02,1.28359941305943E-01,1.23486674706060E-01,1.28690116930963E-01,9.06206557377049E-02,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.53891918691125E+01,1.39575951294933E+01,2.01278889330345E+01,1.84786293012017E+01,1.86524822695035E+01,1.48128198222462E+01,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
