Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KHM,Cambodia,AG.LND.FRST.K2,Forest area (sq. km),1.29440000000000E+05,,,,,,,,,,1.15460000000000E+05,,,,,1.07310000000000E+05,,,,,1.00940000000000E+05,
KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),7.33288012689780E+01,,,,,,,,,,6.54090188080671E+01,,,,,6.07919782460911E+01,,,,,5.71833220031724E+01,
KHM,Cambodia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.13100000000000E+07,8.97100000000000E+07,2.00520000000000E+08,3.00510000000000E+08,3.13350000000000E+08,5.51000000000000E+08,4.16530000000000E+08,3.35330000000000E+08,3.37440000000000E+08,2.77220000000000E+08,3.95720000000000E+08,4.20880000000000E+08,4.85240000000000E+08,5.18300000000000E+08,4.85340000000000E+08,5.35580000000000E+08,5.29340000000000E+08,6.74520000000000E+08,7.42810000000000E+08,7.22290000000000E+08,,
KHM,Cambodia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.13100000000000E+07,8.97100000000000E+07,2.00520000000000E+08,3.00510000000000E+08,3.13350000000000E+08,5.51000000000000E+08,4.16530000000000E+08,3.35330000000000E+08,3.37440000000000E+08,2.77220000000000E+08,3.95720000000000E+08,4.20880000000000E+08,4.85240000000000E+08,5.18300000000000E+08,4.85340000000000E+08,5.35580000000000E+08,5.29340000000000E+08,6.74520000000000E+08,7.42810000000000E+08,7.22290000000000E+08,,
KHM,Cambodia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.70589213540943E+00,5.49272310441211E+00,1.01263359806178E+01,,,1.62996694173265E+01,1.21741064843795E+01,9.85184382260606E+00,1.10056953519541E+01,8.10311878408684E+00,1.11978237062315E+01,1.09529026325330E+01,1.18454015641830E+01,1.15656341631786E+01,9.47236054534929E+00,8.91783304384310E+00,7.59550181844866E+00,8.16323651987549E+00,7.55590515018715E+00,7.25080334288622E+00,,
KHM,Cambodia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.33385564809134E+00,9.09079301588756E+00,1.96477379674507E+01,2.85134439023539E+01,2.88480951465140E+01,4.93319460700659E+01,3.63500446554098E+01,2.85844902139911E+01,2.81525443412585E+01,2.26775696569177E+01,3.17925300408960E+01,3.32614596666078E+01,3.77759138767707E+01,3.97952391749156E+01,3.67850109606963E+01,4.00956041868082E+01,3.91642899569129E+01,4.93436032286219E+01,5.37386335060065E+01,5.16737024144466E+01,,
KHM,Cambodia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,4.14640356460853E+00,9.88962053827944E+00,3.53522415370540E-01,7.46347941567065E-01,1.07802197802198E+00,9.70298114861903E-01,1.14144607145683E+00,2.20225875999243E+00,1.66519467057075E+00,1.02428748143335E+00,8.85796568897349E-01,9.50855578461673E-01,8.08743074248984E-01,7.57846620954668E-01,6.02207213381988E-01,5.26525218071310E-01,6.51547972955141E-01,8.26663143100613E-01,,
