Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CMR,Cameroon,AG.LND.FRST.K2,Forest area (sq. km),2.43160000000000E+05,,,,,,,,,,2.21160000000000E+05,,,,,2.10160000000000E+05,,,,,1.99160000000000E+05,
CMR,Cameroon,AG.LND.FRST.ZS,Forest area (% of land area),5.14395718305092E+01,,,,,,,,,,4.67855556260710E+01,,,,,4.44585475238518E+01,,,,,4.21315394216327E+01,
CMR,Cameroon,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.86111661595471E+09
CMR,Cameroon,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,6.46338649541320E+08
CMR,Cameroon,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
CMR,Cameroon,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.50745526549603E+09
CMR,Cameroon,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.44380000000000E+08,5.16260000000000E+08,7.14780000000000E+08,5.43720000000000E+08,7.30080000000000E+08,4.42800000000000E+08,4.10200000000000E+08,4.98740000000000E+08,4.97310000000000E+08,4.34290000000000E+08,3.76730000000000E+08,4.57760000000000E+08,6.53750000000000E+08,9.01960000000000E+08,7.90600000000000E+08,4.12760000000000E+08,1.70400000000000E+09,1.92566000000000E+09,5.48820000000000E+08,6.49390000000000E+08,,
CMR,Cameroon,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.44380000000000E+08,5.16260000000000E+08,7.14780000000000E+08,5.43720000000000E+08,7.30080000000000E+08,4.42800000000000E+08,4.10200000000000E+08,4.98740000000000E+08,4.97310000000000E+08,4.34290000000000E+08,3.76730000000000E+08,4.57760000000000E+08,6.53750000000000E+08,9.01960000000000E+08,7.90600000000000E+08,4.12760000000000E+08,1.70400000000000E+09,1.92566000000000E+09,5.48820000000000E+08,6.49390000000000E+08,,
CMR,Cameroon,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),4.16332046472091E+00,4.42773475664090E+00,6.64872310611498E+00,4.24712426718343E+00,8.41752361343202E+00,5.39651299385733E+00,4.48713934592439E+00,5.40267260379800E+00,5.42894147494435E+00,4.33476961150414E+00,3.98049215705793E+00,4.98790312783740E+00,6.40461744464612E+00,6.88700781072225E+00,5.14259179800984E+00,2.55955492781131E+00,9.62398501217372E+00,9.34444056882202E+00,2.34465831139096E+00,2.94389301901287E+00,,
CMR,Cameroon,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.64819475603406E+01,4.12022310785462E+01,5.54845462521034E+01,4.10770975236566E+01,5.37230441969318E+01,3.17639379880128E+01,2.87104614356281E+01,3.40857802003676E+01,3.32066879448725E+01,2.83404172956616E+01,2.40288006284367E+01,2.85391213085352E+01,3.98431626847374E+01,5.37413055283428E+01,4.60581242342458E+01,2.35142796154108E+01,9.49388510783276E+01,1.04940473640849E+02,2.92567031818384E+01,3.38664433762496E+01,,
CMR,Cameroon,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.05242980837395E+01,1.76499141419586E+01,1.65118005441827E+01,2.45657266747755E+01,2.13007881889176E+01,2.10066374863934E+01,2.00852831325955E+01,2.02707134931377E+01,2.11367481560157E+01,2.47318299605342E+01,2.14523853825953E+01,1.22251792087995E+01,1.18614051899048E+01,1.34729467190496E+01,1.54968354453601E+01,1.91784592672446E+01,1.05059629465501E+01,8.01519294828141E+00,6.41854817960681E+00,7.35123600765276E+00,,
CMR,Cameroon,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.30023855995558E+01,1.23387501680027E+01,1.12239225597183E+01,1.85680713748206E+01,1.67845663403807E+01,1.72305054478960E+01,1.84251999227514E+01,1.72740047890606E+01,1.80000000000000E+01,1.46190302588407E+01,1.24462493715249E+01,9.59798076007403E+00,8.83114733925287E+00,8.72029243931174E+00,7.22350909608721E+00,1.00008637935266E+01,5.14780059494561E+00,1.01765811903088E+00,7.00000000000000E-01,1.40000000000000E+00,,
CMR,Cameroon,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.09184126127046E+00,4.85115530361406E+00,4.64990521511219E+00,4.34964521882523E+00,4.12942526700401E+00,4.19197572444072E+00,4.29530553960285E+00,4.35733788530837E+00,4.44884691723766E+00,4.61511126697977E+00,4.61934027786610E+00,4.75678276479753E+00,4.84205730637210E+00,4.85059323293513E+00,4.88940604825361E+00,4.98809945658213E+00,5.35177412615640E+00,5.10546704975387E+00,5.39555275754308E+00,,,
