Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,Canada,AG.LND.FRST.K2,Forest area (sq. km),3.10134000000000E+06,,,,,,,,,,3.10134000000000E+06,,,,,3.10134000000000E+06,,,,,3.10134000000000E+06,
CAN,Canada,AG.LND.FRST.ZS,Forest area (% of land area),3.41049825644883E+01,,,,,,,,,,3.41049825644883E+01,,,,,3.41049825644883E+01,,,,,3.41049825644883E+01,
CAN,Canada,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),1.62727000000000E+09,1.60464000000000E+09,1.74406000000000E+09,1.52703000000000E+09,1.22822000000000E+09,1.50590000000000E+09,1.06108000000000E+09,8.02910000000000E+08,7.46140000000000E+08,7.81500000000000E+08,9.35030000000000E+08,7.45150000000000E+08,1.02050000000000E+09,1.04909000000000E+09,1.43555000000000E+09,1.88159000000000E+09,1.76895000000000E+09,1.79447000000000E+09,2.12461000000000E+09,9.82920000000000E+08,,
CAN,Canada,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,7.80383945870000E+08,7.64769268990001E+08,5.52695527630000E+08,5.16521715480000E+08,4.42781118000000E+08,6.92360398590001E+08,5.01885677990001E+08,7.96899940199999E+08,1.19553010304000E+09,1.38825875968000E+09,1.48004325176000E+09,1.45493706362000E+09,2.12070813542000E+09,2.37204972950000E+09,2.76580961472001E+09,,
CAN,Canada,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,8.94041049200000E+07,4.80808770000000E+07,2.71347682100000E+07,4.66242426800000E+07,6.64319972800000E+07,1.26654838680000E+08,1.13158867290000E+08,1.90768550530000E+08,3.57468973350000E+08,3.98034756850000E+08,4.77714010170000E+08,4.41023604950000E+08,6.62246113700000E+08,3.83459629420000E+08,7.04413058710000E+08,,
CAN,Canada,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.14564254420084E+01,6.28697817101077E+00,4.90953279943406E+00,9.02657938334159E+00,1.50033491897909E+01,1.82931951246683E+01,2.25467416689771E+01,2.39388335858229E+01,2.99004577501667E+01,2.86715105577111E+01,3.22770303909649E+01,3.03122118459680E+01,3.12275933986005E+01,1.61657500115239E+01,2.54686025734027E+01,,
CAN,Canada,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",3.91120000000000E+08,4.03000000000000E+08,4.12900000000000E+08,2.71100000000000E+08,2.61320000000000E+08,2.52410000000000E+08,2.32470000000000E+08,2.75950000000000E+08,2.19970000000000E+08,2.08560000000000E+08,1.94880000000000E+08,1.98360000000000E+08,2.24510000000000E+08,4.87460000000000E+08,5.48280000000000E+08,7.20930000000000E+08,7.43990000000000E+08,1.17208000000000E+09,1.21905000000000E+09,1.15564000000000E+09,,
CAN,Canada,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),6.98260240834799E-02,7.03879722150903E-02,7.53443780028722E-02,5.09840428032761E-02,4.95700417272690E-02,4.60753111648797E-02,4.10772142958884E-02,4.61468222816558E-02,3.81216026961610E-02,3.38808022173406E-02,2.84708352100958E-02,2.81200958884496E-02,3.12604829344302E-02,5.71074889326563E-02,5.64925123310765E-02,6.47666264212152E-02,5.93384905608460E-02,8.31418841918136E-02,8.27353798140998E-02,8.75661015560070E-02,,
CAN,Canada,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",2.46988000000000E+09,2.60386000000000E+09,2.51518000000000E+09,2.39964000000000E+09,2.24961000000000E+09,2.06667000000000E+09,1.79547000000000E+09,2.04461000000000E+09,1.70664000000000E+09,1.70629000000000E+09,1.74360000000000E+09,1.53275000000000E+09,2.00416000000000E+09,2.03060000000000E+09,2.59913000000000E+09,3.75634000000000E+09,3.68316000000000E+09,4.07969000000000E+09,4.79471000000000E+09,4.00007000000000E+09,5.13184000000000E+09,
CAN,Canada,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",4.40000000000000E-01,4.50000000000000E-01,4.60000000000000E-01,4.50000000000000E-01,4.30000000000000E-01,3.80000000000000E-01,3.20000000000000E-01,3.40000000000000E-01,3.00000000000000E-01,2.80000000000000E-01,2.50000000000000E-01,2.20000000000000E-01,2.80000000000000E-01,2.40000000000000E-01,2.70000000000000E-01,3.40000000000000E-01,2.90000000000000E-01,2.90000000000000E-01,3.30000000000000E-01,3.00000000000000E-01,3.30000000000000E-01,
