Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CPV,Cape Verde,AG.LND.FRST.K2,Forest area (sq. km),5.80000000000000E+02,,,,,,,,,,8.20000000000000E+02,,,,,8.40000000000000E+02,,,,,8.50000000000000E+02,
CPV,Cape Verde,AG.LND.FRST.ZS,Forest area (% of land area),1.43920595533499E+01,,,,,,,,,,2.03473945409429E+01,,,,,2.08436724565757E+01,,,,,2.10918114143921E+01,
CPV,Cape Verde,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.05280000000000E+08,1.02000000000000E+08,1.16480000000000E+08,1.14960000000000E+08,1.19670000000000E+08,1.15730000000000E+08,1.16460000000000E+08,1.10830000000000E+08,1.29590000000000E+08,1.35620000000000E+08,9.37100000000000E+07,7.72000000000000E+07,9.15200000000000E+07,1.47220000000000E+08,1.43000000000000E+08,1.62220000000000E+08,1.38460000000000E+08,1.65170000000000E+08,2.21780000000000E+08,1.95940000000000E+08,,
CPV,Cape Verde,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.05280000000000E+08,1.02000000000000E+08,1.16480000000000E+08,1.14960000000000E+08,1.19670000000000E+08,1.15730000000000E+08,1.16460000000000E+08,1.10830000000000E+08,1.29590000000000E+08,1.35620000000000E+08,9.37100000000000E+07,7.72000000000000E+07,9.15200000000000E+07,1.47220000000000E+08,1.43000000000000E+08,1.62220000000000E+08,1.38460000000000E+08,1.65170000000000E+08,2.21780000000000E+08,1.95940000000000E+08,,
CPV,Cape Verde,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.09232145668738E+01,2.89994425952764E+01,2.94945466593700E+01,3.19758740039841E+01,2.93829690006386E+01,2.38473356409734E+01,2.35092118959677E+01,2.22402368247459E+01,2.42683791884400E+01,2.35836498778558E+01,1.80220920557894E+01,1.41888549823258E+01,1.51380870743690E+01,1.88503511527408E+01,1.57668536875020E+01,1.67985296142396E+01,1.30263066227524E+01,1.27071582440600E+01,1.47512963745443E+01,1.26939885950685E+01,,
CPV,Cape Verde,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.02385363261672E+02,2.86794787082988E+02,3.19362153062428E+02,3.06707219465343E+02,3.10749647495073E+02,2.93027401214343E+02,2.88148928905450E+02,2.68423053914695E+02,3.07666374645955E+02,3.15925810314062E+02,2.14322634354745E+02,1.73445728561928E+02,2.02146927596413E+02,3.20021911566829E+02,3.06351545897032E+02,3.43044685471882E+02,2.89503561817980E+02,3.41950590344559E+02,4.55053747555763E+02,3.98559052603530E+02,,
CPV,Cape Verde,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",9.08401260784062E+00,1.47422150197916E+01,1.88517483383182E+01,1.23530206325126E+01,1.43335755422236E+01,1.11548807836266E+01,7.63430806192469E+00,1.04784193231866E+01,1.60866352382306E+01,1.51221326151170E+01,1.04650926732728E+01,7.66004991097828E+00,1.12246095897803E+01,6.89422351747537E+00,7.54962816139739E+00,9.38129108082729E+00,6.28493011474973E+00,4.86532308378726E+00,4.17204671024384E+00,,,
CPV,Cape Verde,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",8.89426821916510E+00,1.45199426485923E+01,1.85857061658892E+01,1.20842752474092E+01,1.40277599769959E+01,1.02780829192034E+01,7.39477781399784E+00,1.04045417689195E+01,1.59624998170852E+01,1.47461472194154E+01,1.04650926732728E+01,7.66004991097828E+00,1.12246095897804E+01,6.89422351747537E+00,7.54962816139739E+00,9.38129108082729E+00,6.28493011474973E+00,4.86532308378726E+00,4.17204671024384E+00,5.39116923200987E+00,,
CPV,Cape Verde,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.95493989459508E+01,,,,,,,,,,,,,,1.28290891521295E+01,1.29044837067117E+01,1.37951543286587E+01,1.48428628658219E+01,,,,
CPV,Cape Verde,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",5.11524677952887E+01,,,,,,,,,,,,,,7.79478564800532E+01,7.74924454730329E+01,7.24892216626060E+01,6.73724475554283E+01,,,,
CPV,Cape Verde,EN.ATM.CO2E.KT,CO2 emissions (kt),8.79360000000000E+01,9.16000000000000E+01,1.02592000000000E+02,1.02592000000000E+02,1.09920000000000E+02,1.13584000000000E+02,1.39232000000000E+02,1.42896000000000E+02,1.53888000000000E+02,1.72208000000000E+02,1.86864000000000E+02,2.08848000000000E+02,2.45488000000000E+02,2.52816000000000E+02,2.67472000000000E+02,2.96784000000000E+02,3.07776000000000E+02,3.07776000000000E+02,,,,
CPV,Cape Verde,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2.52569902201542E-01,2.57552965654918E-01,2.81284357889600E-01,2.73710047489462E-01,2.85431614044108E-01,2.87593746993260E-01,3.44492114626168E-01,3.46084821006895E-01,3.65353523123055E-01,4.01157292011237E-01,4.27373650048715E-01,4.69220123299243E-01,5.42227326942616E-01,5.49562964235019E-01,5.73010214574621E-01,6.27605559937659E-01,6.43523387563850E-01,6.37187049063916E-01,,,,
CPV,Cape Verde,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),2.14609010012592E-01,2.13189604005794E-01,2.26463309257887E-01,2.06994882295609E-01,2.03268698825606E-01,1.90955983151106E-01,2.21147815729386E-01,2.11266947689281E-01,2.08905695425744E-01,2.12153555699443E-01,2.11382644437404E-01,2.22556633049234E-01,2.46099140324660E-01,2.33613880625281E-01,2.42068628035748E-01,2.32308261992612E-01,2.11839681495851E-01,1.89404584075288E-01,,,,
CPV,Cape Verde,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),7.03000000000000E+01,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,6.76666666666667E+00,,,,,,,,,,
CPV,Cape Verde,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,8.22533017846225E+02,,,,,7.26580494220052E+02,,,,,6.62631974201528E+02,,,,,6.21088436782513E+02,,,,
CPV,Cape Verde,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
CPV,Cape Verde,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.84386996146701E-03,2.42163517353865E-01,1.87943477187277E+00,4.51218787022171E+00,7.07869762927548E+00,9.48646021999382E+00,1.15953055337575E+01,1.40921711112635E+01,1.72814417096829E+01,2.27609264281249E+01,3.15123710465133E+01,5.69730246567810E+01,7.97362195675124E+01,,
CPV,Cape Verde,IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.36841727341921E+00,2.55725351815664E+00,3.18841215484458E+00,4.06915319353290E+00,4.79095094533642E+00,5.44707377717460E+00,6.24297936986288E+00,8.05075406945625E+00,9.49304729548460E+00,1.09171678958624E+01,1.24975413847836E+01,1.44085770260798E+01,1.55027167910942E+01,1.55893841936739E+01,1.53604236649071E+01,1.51411659966630E+01,1.49661172524970E+01,1.48572635257534E+01,1.47444144194053E+01,1.46861098285061E+01,,
CPV,Cape Verde,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,,2.42193498073351E-01,4.74830426184049E-01,1.16474638812145E+00,1.82966713780595E+00,2.69604759422686E+00,3.53403719574148E+00,4.34753310103015E+00,5.35579625694111E+00,6.13259516624620E+00,6.89991155567915E+00,8.43231067671726E+00,2.10927609562325E+01,3.05113085079767E+01,,
CPV,Cape Verde,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),2.29015003602602E+01,2.62223657251281E+01,3.44531911430717E+01,3.97420494336794E+01,4.33521990892120E+01,4.24349154484310E+01,2.41106195223686E+01,2.20000000000000E+01,1.98000000000000E+01,2.09000000000000E+01,1.97000000000000E+01,1.83000000000000E+01,2.09000000000000E+01,1.87000000000000E+01,3.74279107943471E+01,3.73156890858827E+01,4.06356050500409E+01,4.37868520782697E+01,4.78489396147711E+01,5.25099958418893E+01,,
CPV,Cape Verde,NE.TRD.GNFS.ZS,Trade (% of GDP),5.64163693448746E+01,5.25225977214927E+01,5.96185748596787E+01,6.25623849474070E+01,7.00914355017062E+01,7.82831363646008E+01,7.66052971031091E+01,8.14898091717984E+01,7.54595717360928E+01,7.70891823638998E+01,8.89182389937107E+01,9.40427728613569E+01,9.95360110803324E+01,9.80320924261874E+01,6.86460155292610E+01,6.72017223871944E+01,7.70462209553070E+01,8.08115466378249E+01,8.32142251274615E+01,8.69062225021147E+01,,
CPV,Cape Verde,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",3.34254668590051E+08,3.45629791967976E+08,3.89880997304736E+08,4.01443535706473E+08,4.26316803305471E+08,4.62611900021983E+08,4.99208994761338E+08,5.20893240011252E+08,5.34010040352378E+08,5.68326749080245E+08,5.74844091958037E+08,5.70258242758996E+08,5.71033907842479E+08,6.77959282795879E+08,8.07196513338979E+08,1.00119541582791E+09,1.11851284119588E+09,1.25181662572572E+09,1.41518576997978E+09,1.55179926754968E+09,1.61994969846271E+09,
