Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CYM,Cayman Islands,AG.LND.FRST.K2,Forest area (sq. km),1.30000000000000E+02,,,,,,,,,,1.30000000000000E+02,,,,,1.30000000000000E+02,,,,,1.30000000000000E+02,
CYM,Cayman Islands,AG.LND.FRST.ZS,Forest area (% of land area),5.41666666666667E+01,,,,,,,,,,5.41666666666667E+01,,,,,5.41666666666667E+01,,,,,5.41666666666667E+01,
CYM,Cayman Islands,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.99000000000000E+06,-2.90000000000000E+05,,-4.60000000000000E+05,-1.24000000000000E+06,-5.70000000000000E+05,-2.03000000000000E+06,-3.80000000000000E+06,1.60000000000000E+05,3.01000000000000E+06,-3.60000000000000E+06,-7.80000000000000E+05,-1.85000000000000E+06,-1.43000000000000E+06,3.90000000000000E+05,,,,,,,
CYM,Cayman Islands,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.99000000000000E+06,-2.90000000000000E+05,0.00000000000000E+00,-4.60000000000000E+05,-1.24000000000000E+06,-5.70000000000000E+05,-2.03000000000000E+06,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.14788083538084E+02,-1.05982531155210E+01,0.00000000000000E+00,-1.52956041763650E+01,-3.94439672996787E+01,-1.73822883630154E+01,-5.95377756921633E+01,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,EN.ATM.CO2E.KT,CO2 emissions (kt),2.52816000000000E+02,2.74800000000000E+02,2.78464000000000E+02,2.89456000000000E+02,2.89456000000000E+02,2.89456000000000E+02,2.85792000000000E+02,2.85792000000000E+02,2.85792000000000E+02,2.82128000000000E+02,4.54336000000000E+02,4.54336000000000E+02,4.68992000000000E+02,4.79984000000000E+02,4.94640000000000E+02,5.16624000000000E+02,5.34944000000000E+02,5.38608000000000E+02,,,,
CYM,Cayman Islands,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),9.70577395577395E+00,1.00427584694661E+01,9.69919888540578E+00,9.62479217929108E+00,9.20749435378694E+00,8.82703098316663E+00,8.38198029094322E+00,8.08212437431068E+00,7.78639930252834E+00,7.36934489604012E+00,1.13032964299042E+01,1.06900072939460E+01,1.03950173992065E+01,1.00383561643836E+01,9.83907863067651E+00,9.88413560878549E+00,9.95948763777182E+00,9.85036302785347E+00,,,,
CYM,Cayman Islands,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
