Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TCD,Chad,AG.LND.FRST.K2,Forest area (sq. km),1.31100000000000E+05,,,,,,,,,,1.23170000000000E+05,,,,,1.19210000000000E+05,,,,,1.15250000000000E+05,
TCD,Chad,AG.LND.FRST.ZS,Forest area (% of land area),1.04113722998729E+01,,,,,,,,,,9.78160736975858E+00,,,,,9.46712198221093E+00,,,,,9.15263659466328E+00,
TCD,Chad,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.40967822454009E+08
TCD,Chad,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00
TCD,Chad,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.40967822454009E+08
TCD,Chad,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.10580000000000E+08,2.62310000000000E+08,2.36700000000000E+08,2.23470000000000E+08,2.12290000000000E+08,2.35020000000000E+08,2.95770000000000E+08,2.27630000000000E+08,1.67500000000000E+08,1.87770000000000E+08,1.30150000000000E+08,1.82820000000000E+08,2.29230000000000E+08,2.52350000000000E+08,3.36760000000000E+08,3.80020000000000E+08,2.88070000000000E+08,3.57580000000000E+08,4.18700000000000E+08,5.61230000000000E+08,,
TCD,Chad,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.10580000000000E+08,2.62310000000000E+08,2.36700000000000E+08,2.23470000000000E+08,2.12290000000000E+08,2.35020000000000E+08,2.95770000000000E+08,2.27630000000000E+08,1.67500000000000E+08,1.87770000000000E+08,1.30150000000000E+08,1.82820000000000E+08,2.29230000000000E+08,2.52350000000000E+08,3.36760000000000E+08,3.80020000000000E+08,2.88070000000000E+08,3.57580000000000E+08,4.18700000000000E+08,5.61230000000000E+08,,
TCD,Chad,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.80488543141649E+01,1.39925959174426E+01,1.25591413602203E+01,1.53944352823444E+01,1.84290700089325E+01,1.63114464607864E+01,1.85178556213786E+01,1.48955771866365E+01,9.60450157446592E+00,1.22302498437212E+01,9.51678597276291E+00,1.08381727289646E+01,1.18887588864135E+01,1.10713433661477E+01,9.05148873167255E+00,8.88428871276256E+00,5.89324785006505E+00,6.14763230117106E+00,6.26101897761940E+00,9.16420673908531E+00,,
TCD,Chad,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),5.16666821931773E+01,4.23233145620535E+01,3.70546862671920E+01,3.39461215640888E+01,3.12842533026852E+01,3.35833628174930E+01,4.09705889156805E+01,3.05601667967809E+01,2.17819989919161E+01,2.36278375866461E+01,1.58288523431384E+01,2.14629257952389E+01,2.59568377974497E+01,2.75675059780576E+01,3.55427327586716E+01,3.88334156626543E+01,2.85667904293170E+01,3.44760461476504E+01,3.93006714435708E+01,5.13143853908476E+01,,
TCD,Chad,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",4.31043369089328E+00,4.30806820050105E+00,4.10664724722763E+00,6.70324376391760E+00,8.03625526085915E+00,,,,,,,,,6.03018166309413E+00,1.70578088837194E+00,1.68031991433286E+00,1.52744990243454E+00,1.79720014991724E+00,3.16065216435917E+00,2.76709597110529E+00,,
