Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,Chile,AG.LND.FRST.K2,Forest area (sq. km),1.52630000000000E+05,,,,,,,,,,1.58340000000000E+05,,,,,1.60430000000000E+05,,,,,1.62310000000000E+05,
CHL,Chile,AG.LND.FRST.ZS,Forest area (% of land area),2.05277527470311E+01,,,,,,,,,,2.12957110002286E+01,,,,,2.15768025499980E+01,,,,,2.18296504512259E+01,
CHL,Chile,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.03540000000000E+08,1.20860000000000E+08,1.31290000000000E+08,1.73630000000000E+08,1.50080000000000E+08,1.56550000000000E+08,1.95360000000000E+08,1.28920000000000E+08,1.06330000000000E+08,6.99000000000000E+07,4.88800000000000E+07,7.52700000000000E+07,-7.34000000000000E+06,8.56900000000000E+07,5.43700000000000E+07,1.67340000000000E+08,1.01390000000000E+08,1.04900000000000E+08,1.07850000000000E+08,7.96600000000000E+07,,
CHL,Chile,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.03540000000000E+08,1.20860000000000E+08,1.31290000000000E+08,1.73630000000000E+08,1.50080000000000E+08,1.56550000000000E+08,1.95360000000000E+08,1.28920000000000E+08,1.06330000000000E+08,6.99000000000000E+07,4.88800000000000E+07,7.52700000000000E+07,-7.34000000000000E+06,8.56900000000000E+07,5.43700000000000E+07,1.67340000000000E+08,1.01390000000000E+08,1.04900000000000E+08,1.07850000000000E+08,7.96600000000000E+07,,
CHL,Chile,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.47454673446223E-01,3.50681162242339E-01,3.08573582288406E-01,3.77558609339033E-01,2.85310865432889E-01,2.28083305500656E-01,2.66654652467743E-01,1.60798455904918E-01,1.37227778330136E-01,9.87718001140201E-02,6.75765667684977E-02,1.13929328627973E-01,-1.13952004146315E-02,1.23245629003064E-01,6.19134241380330E-02,1.55285899649709E-01,7.89816574366016E-02,7.20264863377299E-02,6.84500755882467E-02,5.33500680288025E-02,,
CHL,Chile,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),7.85118330010697E+00,8.99971443070626E+00,9.59836378200828E+00,1.24650110306338E+01,1.05877364833166E+01,1.08644236518676E+01,1.33526815986227E+01,8.68730929125653E+00,7.07020776822538E+00,4.58915657801760E+00,3.16994621208289E+00,4.82370131118545E+00,-4.65028141488423E-01,5.36911725609474E+00,3.37027619714076E+00,1.02651706941952E+01,6.15653582859145E+00,6.30664330623461E+00,6.42132730889585E+00,4.69811486224397E+00,,
CHL,Chile,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.58901063998730E+01,2.31832468826217E+01,2.08388716528305E+01,2.30805553736329E+01,1.88877963254313E+01,2.45411491911561E+01,2.83416541820104E+01,1.74033302316683E+01,1.75226802196190E+01,2.24560915301085E+01,2.48008529599559E+01,2.78368190592570E+01,3.26276809168714E+01,2.84954603973304E+01,2.35890255106147E+01,1.49167925215107E+01,2.08146250691741E+01,1.38101861465762E+01,1.90157865419946E+01,2.26097143009718E+01,,
