Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHN,China,AG.LND.FRST.K2,Forest area (sq. km),1.57141000000000E+06,,,,,,,,,,1.77000000000000E+06,,,,,1.93044000000000E+06,,,,,2.06861000000000E+06,
CHN,China,AG.LND.FRST.ZS,Forest area (% of land area),1.68472096249552E+01,,,,,,,,,,1.89761864941013E+01,,,,,2.06962652291937E+01,,,,,2.21775870867587E+01,
CHN,China,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CHN,China,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CHN,China,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CHN,China,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CHN,China,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.03037000000000E+09,1.93258000000000E+09,2.99363000000000E+09,3.19849000000000E+09,3.13824000000000E+09,3.47059000000000E+09,2.64004000000000E+09,2.04688000000000E+09,2.43855000000000E+09,2.37925000000000E+09,1.71175000000000E+09,1.54903000000000E+09,1.49678000000000E+09,1.35855000000000E+09,1.71566000000000E+09,1.81423000000000E+09,1.24787000000000E+09,1.48684000000000E+09,1.42379000000000E+09,1.13165000000000E+09,,
CHN,China,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.03037000000000E+09,1.93258000000000E+09,2.99363000000000E+09,3.19849000000000E+09,3.13824000000000E+09,3.47059000000000E+09,2.64004000000000E+09,2.04688000000000E+09,2.43855000000000E+09,2.37925000000000E+09,1.71175000000000E+09,1.54903000000000E+09,1.49678000000000E+09,1.35855000000000E+09,1.71566000000000E+09,1.81423000000000E+09,1.24787000000000E+09,1.48684000000000E+09,1.42379000000000E+09,1.13165000000000E+09,,
CHN,China,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),5.67155288610787E-01,5.08160928829515E-01,7.07864693785713E-01,7.28225622847345E-01,5.62218568936461E-01,4.84561453019542E-01,3.12931559852688E-01,2.17371936587818E-01,2.43170527168374E-01,2.23339809306641E-01,1.44596099650743E-01,1.18642305859675E-01,1.04023779553453E-01,8.31873498384473E-02,8.89809207691821E-02,8.00088000591059E-02,4.57412316880618E-02,4.22428465433410E-02,3.12696500514088E-02,2.24777026385089E-02,,
CHN,China,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.78858071591855E+00,1.67936530005735E+00,2.56970565765642E+00,2.71417297444079E+00,2.63311616121359E+00,2.88050429304771E+00,2.16832162950187E+00,1.66402861614129E+00,1.96350855721113E+00,1.89924445313654E+00,1.35568588162152E+00,1.21793450485513E+00,1.16899406435489E+00,1.05444737659112E+00,1.32373512335320E+00,1.39157948025650E+00,9.51831398453113E-01,1.12820162609029E+00,1.07483835413749E+00,8.49982724691673E-01,,
CHN,China,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.16854763126956E+01,1.19230662050936E+01,1.02093588589300E+01,1.11419762828522E+01,8.91413567300149E+00,9.88362097666981E+00,8.80223468680864E+00,8.66155652292333E+00,8.65454443025614E+00,1.17136937730599E+01,9.27360239349807E+00,7.94534014255320E+00,8.31668251731100E+00,7.38154924653348E+00,3.43805208591894E+00,3.12447917911900E+00,2.46156728576337E+00,2.25825841479017E+00,2.05513370739674E+00,2.90100094164722E+00,,
CHN,China,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.06108791045023E+01,1.08405188387894E+01,9.38400227455812E+00,1.02424793406545E+01,8.13425367040779E+00,8.98303530280044E+00,8.31916020469731E+00,7.89742755307609E+00,6.00612136633366E+00,6.45173270997060E+00,5.09071659894649E+00,4.15166662888564E+00,3.48202220865852E+00,2.68528959105511E+00,1.17588599392376E+00,1.00130989669647E+00,7.90447266798949E-01,6.28247974591636E-01,6.22203612461995E-01,5.95009365045448E-01,,
