Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
COL,Colombia,AG.LND.FRST.K2,Forest area (sq. km),6.25190000000000E+05,,,,,,,,,,6.15090000000000E+05,,,,,6.10040000000000E+05,,,,,6.04990000000000E+05,
COL,Colombia,AG.LND.FRST.ZS,Forest area (% of land area),5.63488057683641E+01,,,,,,,,,,5.54384858044164E+01,,,,,5.49833258224425E+01,,,,,5.45281658404687E+01,
COL,Colombia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),8.85400000000000E+07,1.13390000000000E+08,2.31640000000000E+08,8.34400000000000E+07,7.43700000000000E+07,1.68930000000000E+08,1.86860000000000E+08,1.94090000000000E+08,1.67080000000000E+08,3.01610000000000E+08,1.85940000000000E+08,3.84360000000000E+08,4.38400000000000E+08,8.00370000000000E+08,5.14750000000000E+08,6.20520000000000E+08,1.00524000000000E+09,7.22820000000000E+08,9.72010000000000E+08,1.06021000000000E+09,,
