Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ZAR,"Congo, Dem. Rep.",AG.LND.FRST.K2,Forest area (sq. km),1.60363000000000E+06,,,,,,,,,,1.57249000000000E+06,,,,,1.55692000000000E+06,,,,,1.54135000000000E+06,
ZAR,"Congo, Dem. Rep.",AG.LND.FRST.ZS,Forest area (% of land area),7.07364195761011E+01,,,,,,,,,,6.93628283452063E+01,,,,,6.86760327297589E+01,,,,,6.79892371143115E+01,
ZAR,"Congo, Dem. Rep.",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ZAR,"Congo, Dem. Rep.",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,9.49285004091101E+09
ZAR,"Congo, Dem. Rep.",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,5.14695455363942E+08
ZAR,"Congo, Dem. Rep.",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
ZAR,"Congo, Dem. Rep.",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.00075454962750E+10
ZAR,"Congo, Dem. Rep.",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),8.95790000000000E+08,4.75280000000000E+08,2.68520000000000E+08,1.77820000000000E+08,2.44810000000000E+08,1.94750000000000E+08,1.66110000000000E+08,1.57610000000000E+08,1.25460000000000E+08,1.32380000000000E+08,1.77120000000000E+08,2.45310000000000E+08,1.17495000000000E+09,5.41690000000000E+09,1.91881000000000E+09,1.88145000000000E+09,2.19707000000000E+09,1.35638000000000E+09,1.76852000000000E+09,2.35356000000000E+09,,
ZAR,"Congo, Dem. Rep.",DT.ODA.ODAT.CD,Net official development assistance received (current US$),8.95790000000000E+08,4.75280000000000E+08,2.68520000000000E+08,1.77820000000000E+08,2.44810000000000E+08,1.94750000000000E+08,1.66110000000000E+08,1.57610000000000E+08,1.25460000000000E+08,1.32380000000000E+08,1.77120000000000E+08,2.45310000000000E+08,1.17495000000000E+09,5.41690000000000E+09,1.91881000000000E+09,1.88145000000000E+09,2.19707000000000E+09,1.35638000000000E+09,1.76852000000000E+09,2.35356000000000E+09,,
ZAR,"Congo, Dem. Rep.",DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.04410944743150E+01,5.70436491441071E+00,3.57934695669642E+00,1.76601585213324E+00,4.77158220856467E+00,3.99271017470867E+00,3.07699153856211E+00,2.77246123632018E+00,2.15315207190331E+00,3.06628765603221E+00,4.52090784843949E+00,5.73178752314310E+00,2.23812157143984E+01,9.87548762369579E+01,3.05738367281569E+01,2.78339957880277E+01,2.69800171322226E+01,1.40980023765530E+01,1.71079278822970E+01,2.25758133504573E+01,,
