Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CRI,Costa Rica,AG.LND.FRST.K2,Forest area (sq. km),2.56400000000000E+04,,,,,,,,,,2.37600000000000E+04,,,,,2.49100000000000E+04,,,,,2.60500000000000E+04,
CRI,Costa Rica,AG.LND.FRST.ZS,Forest area (% of land area),5.02154328241285E+01,,,,,,,,,,4.65334900117509E+01,,,,,4.87857422640031E+01,,,,,5.10184097140619E+01,
CRI,Costa Rica,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.26980000000000E+08,1.74060000000000E+08,1.40280000000000E+08,9.89900000000000E+07,7.47500000000000E+07,2.96700000000000E+07,-1.28300000000000E+07,-7.95000000000000E+06,1.70900000000000E+07,-9.86000000000000E+06,9.62000000000000E+06,3.70000000000000E+05,-3.40000000000000E+05,2.90300000000000E+07,1.27700000000000E+07,2.58200000000000E+07,3.17100000000000E+07,5.81500000000000E+07,6.61200000000000E+07,1.09310000000000E+08,,
CRI,Costa Rica,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.26980000000000E+08,1.74060000000000E+08,1.40280000000000E+08,9.89900000000000E+07,7.47500000000000E+07,2.96700000000000E+07,-1.28300000000000E+07,-7.95000000000000E+06,1.70900000000000E+07,-9.86000000000000E+06,9.62000000000000E+06,3.70000000000000E+05,-3.40000000000000E+05,2.90300000000000E+07,1.27700000000000E+07,2.58200000000000E+07,3.17100000000000E+07,5.81500000000000E+07,6.61200000000000E+07,1.09310000000000E+08,,
CRI,Costa Rica,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.17412046900242E+00,2.49424190896585E+00,1.67800970617946E+00,1.05321184229888E+00,7.17473635134153E-01,2.58066316390612E-01,-1.10047712425358E-01,-6.31955480384372E-02,1.25409143631596E-01,-7.05642292826646E-02,6.54567549286268E-02,2.35381070340438E-03,-2.09411163818716E-03,1.72759215400827E-01,7.16707990175868E-02,1.34663234261268E-01,1.45541444643491E-01,2.28323481207745E-01,2.28514396994664E-01,3.79989306948250E-01,,
