Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CIV,Cote d'Ivoire,AG.LND.FRST.K2,Forest area (sq. km),1.02220000000000E+05,,,,,,,,,,1.03280000000000E+05,,,,,1.04050000000000E+05,,,,,1.04030000000000E+05,
CIV,Cote d'Ivoire,AG.LND.FRST.ZS,Forest area (% of land area),3.21446540880503E+01,,,,,,,,,,3.24779874213836E+01,,,,,3.27201257861635E+01,,,,,3.27138364779874E+01,
CIV,Cote d'Ivoire,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,3.24520877421543E+09
CIV,Cote d'Ivoire,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00
CIV,Cote d'Ivoire,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,3.24520877421543E+09
CIV,Cote d'Ivoire,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),6.86400000000000E+08,6.29900000000000E+08,7.55700000000000E+08,7.63030000000000E+08,1.59310000000000E+09,1.21184000000000E+09,9.64170000000000E+08,4.46320000000000E+08,9.67080000000000E+08,4.47360000000000E+08,3.50540000000000E+08,1.85910000000000E+08,1.06772000000000E+09,2.53670000000000E+08,1.60520000000000E+08,9.12100000000000E+07,2.47140000000000E+08,1.71020000000000E+08,6.26330000000000E+08,2.36902000000000E+09,,
CIV,Cote d'Ivoire,DT.ODA.ODAT.CD,Net official development assistance received (current US$),6.86400000000000E+08,6.29900000000000E+08,7.55700000000000E+08,7.63030000000000E+08,1.59310000000000E+09,1.21184000000000E+09,9.64170000000000E+08,4.46320000000000E+08,9.67080000000000E+08,4.47360000000000E+08,3.50540000000000E+08,1.85910000000000E+08,1.06772000000000E+09,2.53670000000000E+08,1.60520000000000E+08,9.12100000000000E+07,2.47140000000000E+08,1.71020000000000E+08,6.26330000000000E+08,2.36902000000000E+09,,
CIV,Cote d'Ivoire,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),7.45331735147935E+00,6.90562725905332E+00,7.70549640830815E+00,7.88379588454870E+00,2.11300699161473E+01,1.21031101246029E+01,8.59076124641223E+00,4.05642659752099E+00,8.04504411252591E+00,3.80972837798586E+00,3.60822722896095E+00,1.87565501465791E+00,9.88019171111050E+00,1.94864375586882E+00,1.08730485378213E+00,5.83089910964436E-01,1.48974949128930E+00,9.04259800164073E-01,2.79192551562811E+00,1.07303357278433E+01,,
CIV,Cote d'Ivoire,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),5.48342231379012E+01,4.86564065169768E+01,5.64722276877720E+01,5.52110967191644E+01,1.11765494930809E+02,8.25661570326765E+01,6.38950048217644E+01,2.88094720628097E+01,6.09047863612275E+01,2.75418984886248E+01,2.11402325208470E+01,1.10052386617213E+01,6.21466627948688E+01,1.45323815111351E+01,9.05264202699776E+00,5.06133251828178E+00,1.34857733930613E+01,9.17156948603494E+00,3.29872949433262E+01,1.22429809655036E+02,,
CIV,Cote d'Ivoire,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.54379511005310E+01,3.78612681930468E+01,3.20779883783670E+01,3.32231438082324E+01,3.51717934336155E+01,2.31122534008316E+01,2.65259742292168E+01,2.61878872593632E+01,2.56678888796204E+01,2.67830855132371E+01,2.26131186145754E+01,1.32640805050016E+01,1.38294662639204E+01,8.60824024847113E+00,4.96224428797336E+00,3.50144081801694E+00,2.80796346676087E+00,4.36933900466829E+00,9.00761982828473E+00,9.45870876064150E+00,,
CIV,Cote d'Ivoire,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.90614838729225E+01,2.23529039579678E+01,1.87129667283910E+01,1.93742977407772E+01,2.20539517356221E+01,1.91134985433787E+01,1.74203949987620E+01,1.57813188998019E+01,1.64852660908335E+01,1.85386657009904E+01,1.58001644323329E+01,7.98797347730822E+00,9.89740955031082E+00,4.40000000000000E+00,2.50000000000000E+00,1.40000000000000E+00,8.00000000000000E-01,2.50000000000000E+00,2.90000000000000E+00,4.40000000000000E+00,,
CIV,Cote d'Ivoire,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.53214760454173E+00,5.37646326800903E+00,4.96809945391592E+00,4.79581434250588E+00,4.71418253661445E+00,5.05904138557906E+00,4.84080565074542E+00,4.98105577696110E+00,5.22666508362056E+00,4.46035388246909E+00,4.45860239013491E+00,4.63024127874480E+00,4.25976911957530E+00,4.42811636762595E+00,3.18755818925146E+00,3.11636590662107E+00,3.16959401731674E+00,3.00466493540721E+00,3.06121183493283E+00,,,
CIV,Cote d'Ivoire,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.80761626674428E+02,1.85995876871360E+02,2.01284215277089E+02,2.08515161051353E+02,2.12125854744302E+02,1.97665906203204E+02,2.06577184078029E+02,2.00760650909653E+02,1.91326588560997E+02,2.24197457500039E+02,2.24285529970691E+02,2.15971466668598E+02,2.34754507093967E+02,2.25829656896784E+02,3.13719763100178E+02,3.20886580704592E+02,3.15497819132862E+02,3.32815811911645E+02,3.26668017086750E+02,,,
CIV,Cote d'Ivoire,EN.ATM.CO2E.KT,CO2 emissions (kt),5.79278400000000E+03,5.63156800000000E+03,4.62030400000000E+03,5.88804800000000E+03,5.24684800000000E+03,7.12648000000000E+03,8.37224000000000E+03,8.16705600000000E+03,6.90664000000000E+03,6.26177600000000E+03,6.78572800000000E+03,7.72004800000000E+03,7.28036800000000E+03,5.45569600000000E+03,7.65776000000000E+03,8.15972800000000E+03,6.87732800000000E+03,6.37902400000000E+03,,,,
CIV,Cote d'Ivoire,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),4.62766332234359E-01,4.35008512360689E-01,3.45267777523784E-01,4.26045617623268E-01,3.68097773866504E-01,4.85547652140735E-01,5.54823646420204E-01,5.27174609399988E-01,4.34966531904194E-01,3.85508760171913E-01,4.09231094149661E-01,4.57000541767222E-01,4.23753957140967E-01,3.12548806247383E-01,4.31864939002382E-01,4.52791324051468E-01,3.75277522690602E-01,3.42098361999091E-01,,,,
CIV,Cote d'Ivoire,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),3.35668935487988E-01,3.15469461745109E-01,2.54104825070828E-01,3.17491219847446E-01,2.75040399816962E-01,3.40793748408701E-01,3.65171581174528E-01,3.30580161047973E-01,2.63179525510596E-01,2.31487918494657E-01,2.54979802337058E-01,2.83717050253290E-01,2.67103059876635E-01,1.99031774498830E-01,2.66878327789994E-01,2.71781940772215E-01,2.20345210711880E-01,1.95193723035113E-01,,,,
CIV,Cote d'Ivoire,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),5.34000000000000E+01,,,,,5.43000000000000E+01,,,,,5.53000000000000E+01,,,,,5.62000000000000E+01,,5.66000000000000E+01,,,,
CIV,Cote d'Ivoire,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",1.43154606975534E+00,,,,1.60333159812598E+00,,,,,,1.83368037480479E+00,,,,,,,,,,,
CIV,Cote d'Ivoire,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,5.74212779612069E+03,,,,,4.95993868369398E+03,,,,,4.47247365335268E+03,,,,,4.12082446092226E+03,,,,
CIV,Cote d'Ivoire,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
