Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CUB,Cuba,AG.LND.FRST.K2,Forest area (sq. km),2.05800000000000E+04,,,,,,,,,,2.43500000000000E+04,,,,,2.69700000000000E+04,,,,,2.87000000000000E+04,
CUB,Cuba,AG.LND.FRST.ZS,Forest area (% of land area),1.91620111731844E+01,,,,,,,,,,2.26722532588454E+01,,,,,2.53382187147689E+01,,,,,2.69635475385194E+01,
CUB,Cuba,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.08100000000000E+07,3.69300000000000E+07,2.44000000000000E+07,4.35000000000000E+07,4.67200000000000E+07,6.32300000000000E+07,5.68200000000000E+07,6.53300000000000E+07,8.00800000000000E+07,5.84900000000000E+07,4.39900000000000E+07,5.37000000000000E+07,6.36800000000000E+07,7.50200000000000E+07,1.03540000000000E+08,8.83800000000000E+07,9.37100000000000E+07,9.28000000000000E+07,1.27480000000000E+08,1.16440000000000E+08,,
CUB,Cuba,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.08100000000000E+07,3.69300000000000E+07,2.44000000000000E+07,4.35000000000000E+07,4.67200000000000E+07,6.32300000000000E+07,5.68200000000000E+07,6.53300000000000E+07,8.00800000000000E+07,5.84900000000000E+07,4.39900000000000E+07,5.37000000000000E+07,6.36800000000000E+07,7.50200000000000E+07,1.03540000000000E+08,8.83800000000000E+07,9.37100000000000E+07,9.28000000000000E+07,1.27480000000000E+08,1.16440000000000E+08,,
