Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CYP,Cyprus,AG.LND.FRST.K2,Forest area (sq. km),1.61000000000000E+03,,,,,,,,,,1.72000000000000E+03,,,,,1.73000000000000E+03,,,,,1.73000000000000E+03,
CYP,Cyprus,AG.LND.FRST.ZS,Forest area (% of land area),1.74242424242424E+01,,,,,,,,,,1.86147186147186E+01,,,,,1.87229437229437E+01,,,,,1.87229437229437E+01,
CYP,Cyprus,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.81300000000000E+07,3.97600000000000E+07,2.61700000000000E+07,3.38000000000000E+07,4.40300000000000E+07,2.14300000000000E+07,2.25800000000000E+07,4.22200000000000E+07,3.45300000000000E+07,5.33100000000000E+07,5.44000000000000E+07,4.97000000000000E+07,3.42500000000000E+07,1.43900000000000E+07,5.98600000000000E+07,,,,,,,
