Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,Czech Republic,AG.LND.FRST.K2,Forest area (sq. km),2.62900000000000E+04,,,,,,,,,,2.63700000000000E+04,,,,,2.64700000000000E+04,,,,,2.65700000000000E+04,
CZE,Czech Republic,AG.LND.FRST.ZS,Forest area (% of land area),3.40235537724861E+01,,,,,,,,,,3.41270868383590E+01,,,,,3.42609370955216E+01,,,,,3.43948220064725E+01,
CZE,Czech Republic,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,2.00000000000000E+04,3.00000000000000E+05,4.00000000000000E+05,1.32000000000000E+06,1.73000000000000E+06,8.12000000000000E+06,9.46000000000000E+06,5.15000000000000E+06,9.93000000000000E+06,1.75900000000000E+07,5.23800000000000E+07,3.92100000000000E+07,,
CZE,Czech Republic,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,3.52733686067019E-05,5.66037735849057E-04,8.08080808080808E-04,2.39342894961107E-03,2.48871840928024E-03,9.98700090977642E-03,9.31003122403390E-03,4.34387827356565E-03,7.41584749432852E-03,1.07869308268897E-02,2.61038039342190E-02,2.18282534535793E-02,,
CZE,Czech Republic,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,2.00000000000000E+07,2.50000000000000E+07,,,,1.61600000000000E+07,1.48000000000000E+07,1.61600000000000E+07,2.64900000000000E+07,4.53900000000000E+07,9.05500000000000E+07,1.08170000000000E+08,1.35130000000000E+08,1.60860000000000E+08,1.78880000000000E+08,2.49210000000000E+08,2.14720000000000E+08,2.23610000000000E+08,
CZE,Czech Republic,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,3.00000000000000E-02,3.00000000000000E-02,3.00000000000000E-02,5.00000000000000E-02,7.00000000000000E-02,1.10000000000000E-01,1.10000000000000E-01,1.10000000000000E-01,1.20000000000000E-01,1.10000000000000E-01,1.20000000000000E-01,1.20000000000000E-01,1.20000000000000E-01,
CZE,Czech Republic,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,6.44600000000000E+07,7.16600000000000E+07,,,,3.55300000000000E+07,3.39000000000000E+07,4.07300000000000E+07,6.26500000000000E+07,8.98900000000000E+07,1.52670000000000E+08,1.59360000000000E+08,1.86130000000000E+08,2.06630000000000E+08,1.99670000000000E+08,2.33530000000000E+08,2.14720000000000E+08,2.24570000000000E+08,
CZE,Czech Republic,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.36800000000000E+07,2.31000000000000E+08,1.29820000000000E+08,9.91500000000000E+07,1.48270000000000E+08,1.47380000000000E+08,1.28530000000000E+08,1.15140000000000E+08,4.47830000000000E+08,3.17990000000000E+08,4.37370000000000E+08,3.13770000000000E+08,1.60200000000000E+08,2.63260000000000E+08,2.79050000000000E+08,,,,,,,
CZE,Czech Republic,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),3.46880347723073E+00,3.38581264753186E+00,3.46006317463088E+00,3.56893781732244E+00,3.77348087578641E+00,3.94033960930862E+00,3.97529841055222E+00,3.91947731840258E+00,4.02716382670101E+00,4.36645536650334E+00,4.30963882901971E+00,4.30856655284923E+00,4.33149124028995E+00,4.22661466688156E+00,4.30966396726103E+00,4.64156939153275E+00,4.85622679024784E+00,5.16105581632834E+00,5.42399014213731E+00,5.34271818640373E+00,,
CZE,Czech Republic,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.88283843856826E+02,2.95350069274791E+02,2.89012064095240E+02,2.80195411404012E+02,2.65007305699303E+02,2.53785231515987E+02,2.51553442464986E+02,2.55136059929429E+02,2.48313712337644E+02,2.29018715654662E+02,2.32038005891891E+02,2.32095753363426E+02,2.30867372118490E+02,2.36595970727043E+02,2.32036652415743E+02,2.15444371428384E+02,2.05921190091076E+02,1.93758803544856E+02,1.84366116787585E+02,1.87170643315012E+02,,
CZE,Czech Republic,EN.ATM.CO2E.KT,CO2 emissions (kt),,,1.30962352000000E+05,1.31947968000000E+05,1.27199424000000E+05,1.29196304000000E+05,1.32644128000000E+05,1.32651456000000E+05,1.27752688000000E+05,1.13107680000000E+05,1.25847408000000E+05,1.25044992000000E+05,1.22216384000000E+05,1.24323184000000E+05,1.24521040000000E+05,1.22707360000000E+05,1.23546416000000E+05,1.24861792000000E+05,,,,
CZE,Czech Republic,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,1.26926101957744E+01,1.27720422030781E+01,1.23064458204334E+01,1.25056919949666E+01,1.28593434803684E+01,1.28736576702478E+01,1.24093180118311E+01,1.09994826412526E+01,1.22499496753721E+01,1.22305352112676E+01,1.19763002955555E+01,1.21797565325889E+01,1.21888062822141E+01,1.19880248085450E+01,1.20308505079396E+01,1.20824326311960E+01,,,,
CZE,Czech Republic,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,1.20680971284425E+00,1.21636736119077E+00,1.10382878615108E+00,9.76378955553740E-01,9.42583900772359E-01,9.31094425491769E-01,8.88817610057862E-01,7.68538959012603E-01,8.17142967561406E-01,7.56187629825450E-01,7.10103477338157E-01,6.77335490806669E-01,6.31978601377715E-01,5.88736193765286E-01,5.38430682511021E-01,4.92127397342404E-01,,,,
CZE,Czech Republic,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,1.36349809885932E+01,,,,,,,,,,,
CZE,Czech Republic,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,1.27619103075475E+03,,,,,1.28860258937586E+03,,,,,1.27247884685354E+03,,,,
CZE,Czech Republic,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,1.20477252885828E-02,4.50765652258190E-02,1.35930694027684E-01,2.94398219814241E-01,4.73332688026329E-01,1.94197770237518E+00,5.10805407556215E+00,9.37819697131589E+00,1.89103666245259E+01,4.23039237635424E+01,6.79494424882629E+01,8.43733564804902E+01,9.51145163657368E+01,1.05545713710707E+02,1.15045680720700E+02,1.20810566889087E+02,1.28008768975901E+02,1.32192256657882E+02,1.35960350820783E+02,,
CZE,Czech Republic,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.56676831033485E+01,1.65622077796100E+01,1.76258771079667E+01,1.90910173264931E+01,2.10715073529412E+01,2.36584648146356E+01,2.73118274357731E+01,3.18297862016091E+01,3.63431602055387E+01,3.70138772731693E+01,3.76865369452854E+01,3.77625489045383E+01,3.60168833397208E+01,3.55262603599245E+01,3.35518855882763E+01,3.14321420797614E+01,2.81190507398190E+01,2.32507915495793E+01,2.17207983319033E+01,1.99475492835155E+01,,
CZE,Czech Republic,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,5.80776304326783E-01,1.25773993808050E+00,1.45194076081696E+00,1.93892389723703E+00,2.91146242757737E+00,3.88541899387075E+00,6.80735194009530E+00,9.73397058394089E+00,1.46713615023474E+01,2.38918483196181E+01,2.79142838276922E+01,3.14412291445119E+01,3.51283452594162E+01,4.77225732958592E+01,5.15990752997825E+01,6.23356058361895E+01,6.37047545106987E+01,,
CZE,Czech Republic,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),2.51517087192590E+01,2.30432475457681E+01,2.66296646197449E+01,2.68482490272374E+01,2.97526006439046E+01,3.25725764768616E+01,3.36850853805172E+01,3.04709750018497E+01,2.83947321364620E+01,2.70941374867419E+01,2.94685334937595E+01,2.95060313389853E+01,2.85646753491271E+01,2.71723752575559E+01,2.75109938246999E+01,2.56783658225481E+01,2.67890486781619E+01,2.70015217256029E+01,2.53121105818194E+01,2.15394671340494E+01,,
CZE,Czech Republic,NE.TRD.GNFS.ZS,Trade (% of GDP),8.77834557649313E+01,9.85141947466172E+01,1.08030231459613E+02,1.10136685623067E+02,1.03641239651534E+02,1.05805095320766E+02,1.03696277761144E+02,1.09368370719576E+02,1.09537271291566E+02,1.12079025488791E+02,1.29768875769756E+02,1.33203441523603E+02,1.22526245398534E+02,1.25843794017329E+02,1.40229902208428E+02,1.41245774771085E+02,1.49410138938154E+02,1.55137096728573E+02,1.49632921902620E+02,1.33365665848011E+02,,
CZE,Czech Republic,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,2.99234841673055E+10,3.07580348774399E+10,3.65227681398355E+10,4.61623225228457E+10,5.51570732314863E+10,5.81969532860885E+10,5.74957591809243E+10,5.75803838187975E+10,5.95904318888652E+10,5.88734046202345E+10,6.14209840023822E+10,7.48582282320662E+10,9.46588968993012E+10,1.15961578993139E+11,1.32354222003187E+11,1.48565033843602E+11,1.78659598719284E+11,1.82483377338339E+11,1.88269000882841E+11,
CZE,Czech Republic,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,2.90000000000000E+03,2.98000000000000E+03,3.53000000000000E+03,4.47000000000000E+03,5.35000000000000E+03,5.65000000000000E+03,5.58000000000000E+03,5.60000000000000E+03,5.80000000000000E+03,5.76000000000000E+03,6.02000000000000E+03,7.33000000000000E+03,9.27000000000000E+03,1.13300000000000E+04,1.28900000000000E+04,1.43800000000000E+04,1.71400000000000E+04,1.74000000000000E+04,1.78900000000000E+04,
CZE,Czech Republic,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",5.40554394900000E+00,7.10987058900000E+00,7.80320793900000E+00,9.23974066900000E+00,1.02641268800000E+01,1.10829890200000E+01,1.19616314200000E+01,1.27122579600000E+01,1.38901910900000E+01,1.41385055400000E+01,1.42145482500000E+01,1.42246010900000E+01,1.43188799700000E+01,1.40405675800000E+01,1.42856930200000E+01,1.43162362600000E+01,1.40434858100000E+01,1.39345807900000E+01,1.36854744300000E+01,1.35202141960000E+01,1.37816708710000E+01,
CZE,Czech Republic,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",6.12779871100000E+00,8.70931674300000E+00,9.41448396500000E+00,1.07222279700000E+01,1.17040282400000E+01,1.25010019500000E+01,1.31990287200000E+01,1.40596339800000E+01,1.51539958500000E+01,1.52148553400000E+01,1.52992881900000E+01,1.50899450100000E+01,1.55275586800000E+01,1.51375876700000E+01,1.53057436600000E+01,1.50356593500000E+01,1.49450353800000E+01,1.48812146000000E+01,1.49458963500000E+01,1.49415388060000E+01,1.48832623200000E+01,
CZE,Czech Republic,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,SE.ENR.PRIM.FM.ZS,Ratio of female to male primary enrollment (%),1.00101000000000E+02,1.00326000000000E+02,1.16362000000000E+02,1.00729000000000E+02,9.98270000000000E+01,9.93790000000000E+01,9.86850000000000E+01,9.95020000000000E+01,9.94210000000000E+01,9.90170000000000E+01,9.93560000000000E+01,9.89860000000000E+01,9.87050000000000E+01,9.84870000000000E+01,9.87540000000000E+01,9.87060000000000E+01,9.92350000000000E+01,9.93320000000000E+01,9.93170000000000E+01,9.95460000000000E+01,,
CZE,Czech Republic,SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (%),9.40420000000000E+01,9.79870000000000E+01,1.07814000000000E+02,1.04843000000000E+02,1.00722000000000E+02,1.01803000000000E+02,1.01796000000000E+02,1.01803000000000E+02,1.02478000000000E+02,1.01966000000000E+02,1.00731000000000E+02,1.01413000000000E+02,1.01182000000000E+02,1.01099000000000E+02,1.00462000000000E+02,1.00654000000000E+02,1.00746000000000E+02,1.00646000000000E+02,1.00619000000000E+02,1.00674000000000E+02,,
CZE,Czech Republic,SE.ENR.SECO.FM.ZS,Ratio of female to male secondary enrollment (%),9.14880000000000E+01,9.69990000000000E+01,1.04201000000000E+02,1.06711000000000E+02,1.01133000000000E+02,1.02917000000000E+02,1.03245000000000E+02,1.03261000000000E+02,1.04678000000000E+02,1.04136000000000E+02,1.01701000000000E+02,1.02988000000000E+02,1.02728000000000E+02,1.02622000000000E+02,1.01420000000000E+02,1.01687000000000E+02,1.01503000000000E+02,1.01311000000000E+02,1.01297000000000E+02,1.01283000000000E+02,,
CZE,Czech Republic,SE.ENR.TERT.FM.ZS,Ratio of female to male tertiary enrollment (%),7.87830000000000E+01,8.10660000000000E+01,8.27660000000000E+01,8.28710000000000E+01,9.68330000000000E+01,9.63270000000000E+01,9.19560000000000E+01,9.80870000000000E+01,9.69890000000000E+01,1.03341000000000E+02,1.03512000000000E+02,1.04853000000000E+02,1.09662000000000E+02,1.07245000000000E+02,1.09739000000000E+02,1.16090000000000E+02,1.22159000000000E+02,1.26953000000000E+02,1.31863000000000E+02,1.38239000000000E+02,,
CZE,Czech Republic,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",,,,9.16567100000000E+01,9.76609500000000E+01,1.00998530000000E+02,1.08340570000000E+02,,,1.00647240000000E+02,9.99056800000000E+01,9.95192200000000E+01,1.04875420000000E+02,1.01687400000000E+02,1.03960870000000E+02,1.02782160000000E+02,9.47835400000000E+01,9.43452300000000E+01,9.52802900000000E+01,9.88202500000000E+01,,
CZE,Czech Republic,SE.PRM.NENR,"School enrollment, primary (% net)",,,,,9.15653200000000E+01,9.16027700000000E+01,8.70846200000000E+01,8.95299300000000E+01,,9.64466200000000E+01,,,,,,,,,,,,
CZE,Czech Republic,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",,,,,,,,,,9.86169200000000E+01,9.86780400000000E+01,9.89185800000000E+01,9.81255500000000E+01,9.85865900000000E+01,9.86810600000000E+01,9.92003100000000E+01,9.85425600000000E+01,9.88530100000000E+01,9.97981400000000E+01,,,
