Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,Denmark,AG.LND.FRST.K2,Forest area (sq. km),4.45000000000000E+03,,,,,,,,,,4.86000000000000E+03,,,,,5.34000000000000E+03,,,,,5.44000000000000E+03,
DNK,Denmark,AG.LND.FRST.ZS,Forest area (% of land area),1.04977589054022E+01,,,,,,,,,,1.14541597925996E+01,,,,,1.25854348338440E+01,,,,,1.28211171341032E+01,
DNK,Denmark,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),5.62910000000000E+08,,,,,1.23084000000000E+09,1.23084000000000E+09,5.95280000000000E+08,4.94010000000000E+08,6.13730000000000E+08,8.14300000000000E+08,6.80740000000000E+08,6.81590000000000E+08,6.49790000000000E+08,1.40933000000000E+09,1.44937000000000E+09,1.29236000000000E+09,1.26749000000000E+09,1.36279000000000E+09,1.66775000000000E+09,,
DNK,Denmark,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,4.60447204490000E+08,1.11361198299000E+09,6.60527702450000E+08,3.02828021780000E+08,6.18266493790000E+08,6.94609915910000E+08,4.39095569010000E+08,5.67229810890000E+08,6.08920110760000E+08,1.19641213409000E+09,1.29139657450000E+09,7.43072690480000E+08,9.45537978039999E+08,1.01684702451000E+09,1.33527092482000E+09,,
DNK,Denmark,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,6.63493763000000E+07,1.40451346950000E+08,2.93669084400000E+07,3.39217765300000E+07,3.08328199000000E+06,7.11654302600000E+07,2.87792399600000E+07,5.01086969800000E+07,1.12352583400000E+08,3.08237664190000E+08,1.51129067260000E+08,1.70201749940000E+08,9.59045309100000E+07,1.28526366720000E+08,2.84791919960000E+08,,
DNK,Denmark,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.44097685148268E+01,1.26122338027375E+01,4.44597680476891E+00,1.12016636804647E+01,4.98697894996598E-01,1.02453806992903E+01,6.55420869422269E+00,8.83393221195092E+00,1.84511205024533E+01,2.57635020079805E+01,1.17027619744550E+01,2.29051278724906E+01,1.01428533953549E+01,1.26396954135687E+01,2.13283997027338E+01,,
DNK,Denmark,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",2.94920000000000E+08,3.07830000000000E+08,3.06520000000000E+08,3.13820000000000E+08,3.10280000000000E+08,3.30010000000000E+08,4.01810000000000E+08,3.35670000000000E+08,4.02010000000000E+08,4.12210000000000E+08,3.73390000000000E+08,3.96890000000000E+08,3.71060000000000E+08,4.48020000000000E+08,4.93520000000000E+08,5.53210000000000E+08,5.92020000000000E+08,7.16280000000000E+08,7.45640000000000E+08,7.95980000000000E+08,,
DNK,Denmark,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),2.37750761069272E-01,2.46557897013240E-01,2.25579735209485E-01,2.42145061728395E-01,2.20525941719972E-01,1.95777271540780E-01,2.36765782126691E-01,1.99801787484040E-01,2.34589679594648E-01,2.39850530544416E-01,2.38015254037412E-01,2.50152370519724E-01,2.17711339031520E-01,2.14754458652385E-01,2.05228025086124E-01,2.12915861575478E-01,2.11324210575463E-01,2.25762719813550E-01,2.17410383529714E-01,2.49396803323152E-01,,
DNK,Denmark,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",1.17116000000000E+09,1.20021000000000E+09,1.39161000000000E+09,1.33993000000000E+09,1.44601000000000E+09,1.62267000000000E+09,1.77241000000000E+09,1.63661000000000E+09,1.70426000000000E+09,1.73331000000000E+09,1.66418000000000E+09,1.63442000000000E+09,1.64324000000000E+09,1.74816000000000E+09,2.03713000000000E+09,2.10892000000000E+09,2.23612000000000E+09,2.56223000000000E+09,2.80328000000000E+09,2.80988000000000E+09,2.86663000000000E+09,
DNK,Denmark,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",9.40000000000000E-01,9.60000000000000E-01,1.02000000000000E+00,1.03000000000000E+00,1.03000000000000E+00,9.60000000000000E-01,1.04000000000000E+00,9.70000000000000E-01,9.90000000000000E-01,1.01000000000000E+00,1.06000000000000E+00,1.03000000000000E+00,9.60000000000000E-01,8.40000000000000E-01,8.50000000000000E-01,8.10000000000000E-01,8.00000000000000E-01,8.10000000000000E-01,8.20000000000000E-01,8.80000000000000E-01,9.00000000000000E-01,
