Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DJI,Djibouti,AG.LND.FRST.K2,Forest area (sq. km),6.00000000000000E+01,,,,,,,,,,6.00000000000000E+01,,,,,6.00000000000000E+01,,,,,6.00000000000000E+01,
DJI,Djibouti,AG.LND.FRST.ZS,Forest area (% of land area),2.58843830888697E-01,,,,,,,,,,2.58843830888697E-01,,,,,2.58843830888697E-01,,,,,2.58843830888697E-01,
DJI,Djibouti,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.93680000000000E+08,1.07160000000000E+08,1.12190000000000E+08,1.33640000000000E+08,1.28570000000000E+08,1.04730000000000E+08,9.68900000000000E+07,8.54700000000000E+07,8.09800000000000E+07,7.50500000000000E+07,7.13600000000000E+07,5.63600000000000E+07,7.41000000000000E+07,7.91800000000000E+07,6.41100000000000E+07,7.40100000000000E+07,1.14950000000000E+08,1.12430000000000E+08,1.20880000000000E+08,1.62170000000000E+08,,
DJI,Djibouti,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.93680000000000E+08,1.07160000000000E+08,1.12190000000000E+08,1.33640000000000E+08,1.28570000000000E+08,1.04730000000000E+08,9.68900000000000E+07,8.54700000000000E+07,8.09800000000000E+07,7.50500000000000E+07,7.13600000000000E+07,5.63600000000000E+07,7.41000000000000E+07,7.91800000000000E+07,6.41100000000000E+07,7.40100000000000E+07,1.14950000000000E+08,1.12430000000000E+08,1.20880000000000E+08,1.62170000000000E+08,,
DJI,Djibouti,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,2.21903525650605E+01,2.25260901894423E+01,2.73253336594627E+01,2.52926899326072E+01,2.03346289440821E+01,1.90075526592263E+01,1.66005259724367E+01,1.54290474539899E+01,1.36837636440908E+01,1.25851016708130E+01,9.63554786825520E+00,1.22192128849252E+01,1.17644495316529E+01,8.76931288228959E+00,9.53929329010570E+00,1.34622038405019E+01,1.20128249705408E+01,1.12704942396072E+01,1.44787747077470E+01,,
DJI,Djibouti,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.44448594141813E+02,1.84237356032329E+02,1.88733204696208E+02,2.21429115841030E+02,2.09664084120029E+02,1.67156927683441E+02,1.50348988414640E+02,1.28380560416369E+02,1.17542891978982E+02,1.05470556077873E+02,9.74956621534846E+01,7.51863650674223E+01,9.68269254641747E+01,1.01559694217844E+02,8.07697250226145E+01,9.15549496701374E+01,1.39556285071180E+02,1.33932453633497E+02,1.41275028166183E+02,1.85955577979337E+02,,
DJI,Djibouti,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,4.02490827040998E+00,4.70999993674888E+00,3.61699153053170E+00,4.66635654579732E+00,5.04965398694810E+00,5.42160941500525E+00,3.13218390160361E+00,2.20195721992006E+00,4.33106144651694E+00,6.07007403142709E+00,4.45441000550807E+00,4.93504414878207E+00,5.62953812040941E+00,6.31513456310679E+00,4.88459941589402E+00,6.19021950733235E+00,6.61705959264991E+00,6.15378218554431E+00,,,
DJI,Djibouti,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,4.02490827040998E+00,4.70999993674888E+00,3.61699153053170E+00,4.66635654579731E+00,5.04965398694810E+00,5.42160941500525E+00,3.13218390160361E+00,2.20195721992006E+00,4.33106144651694E+00,6.07007403142709E+00,4.45441000550807E+00,4.93504414878207E+00,5.62953812040941E+00,6.31513456310679E+00,4.88459941589402E+00,6.19021950733235E+00,6.61705959264991E+00,6.12785173290838E+00,6.71641509200398E+00,,
DJI,Djibouti,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.18307424870874E+01,,,,,,,,,,,,,,1.08412465094072E+01,1.07020706063641E+01,1.09020280867565E+01,1.14580382116477E+01,,,,
DJI,Djibouti,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",8.45255486789135E+01,,,,,,,,,,,,,,9.22403156438032E+01,9.34398619464667E+01,9.17260524410840E+01,8.72749751334785E+01,,,,
DJI,Djibouti,EN.ATM.CO2E.KT,CO2 emissions (kt),3.99376000000000E+02,3.99376000000000E+02,4.14032000000000E+02,4.28688000000000E+02,4.28688000000000E+02,4.28688000000000E+02,4.36016000000000E+02,4.39680000000000E+02,4.10368000000000E+02,4.43344000000000E+02,4.03040000000000E+02,3.84720000000000E+02,3.99376000000000E+02,4.06704000000000E+02,4.58000000000000E+02,4.72656000000000E+02,4.87312000000000E+02,4.87312000000000E+02,,,,
DJI,Djibouti,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),7.10266944103576E-01,6.86636602302795E-01,6.96511152569574E-01,7.10296354472159E-01,6.99078143371292E-01,6.84218170674677E-01,6.76587517108036E-01,6.60423128628399E-01,5.95651290388132E-01,6.23047810976527E-01,5.50653751041766E-01,5.13230985960587E-01,5.21867074010529E-01,5.21656148991842E-01,5.77016597416276E-01,5.84704719514775E-01,5.91626380083576E-01,5.80511356800202E-01,,,,
DJI,Djibouti,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),3.59699816222836E-01,3.63419802464725E-01,3.69053666253982E-01,4.00431681885091E-01,3.96154779416801E-01,4.01141094432190E-01,4.18102287434858E-01,4.16751804468452E-01,3.83196209820399E-01,3.99308149397448E-01,3.53847018213454E-01,3.23647718127152E-01,3.22170012284095E-01,3.11200899864621E-01,3.28231782244785E-01,3.17733175454454E-01,3.02735304619642E-01,2.79815286570510E-01,,,,
DJI,Djibouti,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,6.30000000000000E+00,,,,,,,,,,,
DJI,Djibouti,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,5.04679217478051E+02,,,,,4.50616217677674E+02,,,,,3.92011843984513E+02,,,,,3.57375576714837E+02,,,,
DJI,Djibouti,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),2.38478846713460E-01,2.38589392858194E-01,2.38699278802670E-01,2.38809281706173E-01,2.38919400757895E-01,2.39029634133517E-01,2.39139986495185E-01,2.39250455613178E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361040473985E-01,2.39361046149640E-01,,
DJI,Djibouti,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.70692421566832E-02,3.04916973961893E-02,3.19331146398816E-02,3.93494413082003E-02,3.14237700326534E-02,4.00211311572510E-01,1.96005921992256E+00,2.95007952388282E+00,4.34425465329870E+00,5.44962869587700E+00,5.44105613574171E+00,8.28384674305768E+00,1.31887858855869E+01,1.47663658567350E+01,,
DJI,Djibouti,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.01549022746270E+00,1.07110743568627E+00,1.14208906915283E+00,1.21766130822787E+00,1.22566326222769E+00,1.20599421901659E+00,1.26483084381023E+00,1.24415137700806E+00,1.15133393328882E+00,1.24105327211685E+00,1.32580984520378E+00,1.32496624884606E+00,1.32303997344773E+00,1.30431994253758E+00,1.39882429718623E+00,1.30856405568263E+00,1.37201007184812E+00,1.68121383805883E+00,1.74256342650379E+00,1.93122269490534E+00,,
