Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DMA,Dominica,AG.LND.FRST.K2,Forest area (sq. km),5.00000000000000E+02,,,,,,,,,,4.70000000000000E+02,,,,,4.60000000000000E+02,,,,,4.50000000000000E+02,
DMA,Dominica,AG.LND.FRST.ZS,Forest area (% of land area),6.66666666666667E+01,,,,,,,,,,6.26666666666667E+01,,,,,6.13333333333333E+01,,,,,6.00000000000000E+01,
DMA,Dominica,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.96400000000000E+07,1.76300000000000E+07,1.27000000000000E+07,8.91000000000000E+06,1.71400000000000E+07,2.50000000000000E+07,4.31300000000000E+07,1.45600000000000E+07,1.92600000000000E+07,9.84000000000000E+06,1.51900000000000E+07,1.96900000000000E+07,2.96000000000000E+07,1.11700000000000E+07,2.94400000000000E+07,2.11200000000000E+07,1.95100000000000E+07,1.94100000000000E+07,2.22100000000000E+07,3.62300000000000E+07,,
DMA,Dominica,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.96400000000000E+07,1.76300000000000E+07,1.27000000000000E+07,8.91000000000000E+06,1.71400000000000E+07,2.50000000000000E+07,4.31300000000000E+07,1.45600000000000E+07,1.92600000000000E+07,9.84000000000000E+06,1.51900000000000E+07,1.96900000000000E+07,2.96000000000000E+07,1.11700000000000E+07,2.94400000000000E+07,2.11200000000000E+07,1.95100000000000E+07,1.94100000000000E+07,2.22100000000000E+07,3.62300000000000E+07,,
DMA,Dominica,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.21699224023354E+01,1.02040777880161E+01,6.88720185699029E+00,4.59164414321093E+00,8.38400005438222E+00,1.18662543407800E+01,1.98123424513966E+01,6.40907801773451E+00,7.90057832292898E+00,4.06282025128191E+00,6.55170221957471E+00,8.16861819533703E+00,1.30439042617004E+01,4.73669339772065E+00,1.16895838767936E+01,7.81418293936280E+00,6.48915333160871E+00,5.97687122931469E+00,6.27874104787034E+00,1.00707270368769E+01,,
DMA,Dominica,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.76908326988692E+02,2.48863668445273E+02,1.78969025675714E+02,1.25173852573018E+02,2.40224246671338E+02,3.50316686284401E+02,6.05894583052371E+02,2.05516190046015E+02,2.73505729987645E+02,1.40565404339814E+02,2.18021586864164E+02,2.83525566259162E+02,4.27122263747998E+02,1.61416184971098E+02,4.26129373109268E+02,3.06420021762786E+02,2.83988355167394E+02,2.83630943682965E+02,3.25855719714198E+02,5.33405965666500E+02,,
DMA,Dominica,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",6.17045049328421E+00,5.99245356037152E+00,5.64874856741472E+00,7.11489188388623E+00,7.15766606822263E+00,6.14637816868438E+00,5.60418213681051E+00,7.51211682673334E+00,6.66104105432824E+00,6.57856700392316E+00,7.22457795431977E+00,1.28465370772047E+01,9.58198090558028E+00,1.24249086471273E+01,1.22283615023077E+01,1.19999952363372E+01,1.18187915210820E+01,1.23620457184296E+01,1.07707851655920E+01,1.20257874947180E+01,,
DMA,Dominica,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",6.00998454772377E+00,5.80959752321981E+00,5.47406558467968E+00,6.99992594786727E+00,6.93177737881509E+00,5.78700421376497E+00,4.86235779843762E+00,6.80168398894884E+00,6.18360671280932E+00,5.94301053066279E+00,6.51539225422047E+00,1.20910469329076E+01,9.03949972533233E+00,1.12627415964053E+01,1.06980477036814E+01,1.09022994789169E+01,1.11049760884643E+01,1.13593720330117E+01,9.69626059149878E+00,1.16462741337580E+01,,
DMA,Dominica,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.97367423121303E+01,,,,,,,,,,,,,,1.28675803322351E+01,1.26529433670892E+01,1.31237737598509E+01,1.34411371190515E+01,,,,
DMA,Dominica,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",5.06669228480222E+01,,,,,,,,,,,,,,7.77146887122874E+01,7.90329942202255E+01,7.61975951657490E+01,7.43984672682638E+01,,,,
DMA,Dominica,EN.ATM.CO2E.KT,CO2 emissions (kt),5.86240000000000E+01,5.86240000000000E+01,5.86240000000000E+01,6.22880000000000E+01,6.96160000000000E+01,8.06080000000000E+01,7.32800000000000E+01,8.06080000000000E+01,7.69440000000000E+01,8.06080000000000E+01,1.02592000000000E+02,1.13584000000000E+02,1.02592000000000E+02,1.13584000000000E+02,1.06256000000000E+02,1.13584000000000E+02,1.17248000000000E+02,1.20912000000000E+02,,,,
DMA,Dominica,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),8.26551617178468E-01,8.27531690240253E-01,8.26132296158507E-01,8.75064975204057E-01,9.75697266993693E-01,1.12953309792052E+00,1.02944481906046E+00,1.13779183016684E+00,1.09265965151451E+00,1.15149350742111E+00,1.47249971294064E+00,1.63554941178165E+00,1.48038267846063E+00,1.64138728323699E+00,1.53800280805361E+00,1.64793616249547E+00,1.70666666666667E+00,1.76684104392553E+00,,,,
DMA,Dominica,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.94423712044220E-01,1.86895540135335E-01,1.79369297419265E-01,1.83408185298488E-01,1.98060454065788E-01,2.19779271982845E-01,1.91268103235745E-01,2.03384431742471E-01,1.82370253253079E-01,1.87017071903512E-01,2.31415885579062E-01,2.60293195654110E-01,2.41011731428359E-01,2.55619557856745E-01,2.18795296226999E-01,2.18948380866100E-01,2.06013991584492E-01,1.96822875427812E-01,,,,
DMA,Dominica,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),1.66000000000000E+01,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.24788202351308E-01,1.24847225277582E-01,1.24905072640296E-01,1.24962934275027E-01,1.25020809974560E-01,1.25078699738895E-01,1.25136603360814E-01,1.25194521228849E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252453187588E-01,1.25252444406800E-01,,
DMA,Dominica,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.47617442121825E-01,7.84800835615278E-01,9.23046336926114E-01,1.14280816536434E+00,1.72235618325870E+00,1.11019914467148E+01,1.75654030966364E+01,3.43728323699422E+01,6.05584263320162E+01,7.54443235400798E+01,1.04075691411936E+02,1.30052313177660E+02,1.46715767543538E+02,1.56061364506346E+02,,
DMA,Dominica,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.64001917491470E+01,1.75093870867564E+01,1.93061074941518E+01,2.23374215029292E+01,2.34057463209530E+01,2.49425480634494E+01,2.63219262755675E+01,2.71010360500240E+01,2.85008307417032E+01,3.04729797294402E+01,3.25812377999770E+01,3.34787679813383E+01,3.42101845572214E+01,3.24682080924856E+01,3.03429009799239E+01,2.75661951396445E+01,2.54730713245997E+01,2.54990209544963E+01,2.56752593201191E+01,2.57648479137835E+01,,
DMA,Dominica,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,5.28277562916877E-01,1.12384805574286E+00,,2.84014257515727E+00,2.85702041341085E+00,8.61178091629349E+00,1.29595230895503E+01,1.80372577596283E+01,2.31213872832370E+01,2.96727314834918E+01,3.77221617700399E+01,3.85735080058224E+01,3.94540725370430E+01,4.03468360744729E+01,4.12237566620535E+01,,
DMA,Dominica,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),4.07931933714319E+01,3.16043351533314E+01,2.95470777928474E+01,2.67699082074890E+01,2.69106458879557E+01,3.23590693263188E+01,2.74592731829574E+01,3.10573981706123E+01,2.69722988743845E+01,2.77009268225204E+01,2.80584579662637E+01,2.39044822643715E+01,2.06943657264100E+01,2.50278306207285E+01,2.72695399239050E+01,2.87280783178010E+01,2.90244989909419E+01,2.89140558620764E+01,3.14677428927533E+01,2.96327327208926E+01,,
DMA,Dominica,NE.TRD.GNFS.ZS,Trade (% of GDP),1.35079158792022E+02,1.21168767190771E+02,1.17286334569616E+02,1.09576257374790E+02,1.11854092241670E+02,1.14222188882642E+02,1.12711463659148E+02,1.26128298247465E+02,1.25285544941270E+02,1.26020196431042E+02,1.20807211636960E+02,1.07463018883678E+02,1.09258694104140E+02,1.04528993165645E+02,1.06255113038736E+02,1.08269904330499E+02,1.07869479513775E+02,1.08412652319341E+02,1.08513858389222E+02,1.04444466348618E+02,,
DMA,Dominica,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",1.63428044624101E+08,1.69572862498688E+08,1.83886507794965E+08,1.95948167080923E+08,2.02145926653806E+08,2.12613692013280E+08,2.19304723211260E+08,2.23773897808338E+08,2.36758099869927E+08,2.33346440800139E+08,2.27940669964870E+08,2.36356282647046E+08,2.23193997574983E+08,2.38839007979144E+08,2.62330880444487E+08,2.83587526458134E+08,3.14316038363985E+08,3.27334770442721E+08,3.50266281236556E+08,3.61049282621721E+08,3.66842312267954E+08,
DMA,Dominica,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2.30000000000000E+03,2.39000000000000E+03,2.59000000000000E+03,2.75000000000000E+03,2.83000000000000E+03,2.98000000000000E+03,3.08000000000000E+03,3.16000000000000E+03,3.36000000000000E+03,3.33000000000000E+03,3.27000000000000E+03,3.40000000000000E+03,3.22000000000000E+03,3.45000000000000E+03,3.80000000000000E+03,4.11000000000000E+03,4.58000000000000E+03,4.78000000000000E+03,5.14000000000000E+03,5.32000000000000E+03,5.41000000000000E+03,
DMA,Dominica,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",1.48931938247949E+00,1.55314835635802E+00,1.58413715558019E+00,1.59336739622463E+00,1.65507490930484E+00,1.64927146920264E+00,1.66628762425900E+00,1.67437404164129E+00,1.65387991395745E+00,1.67718639935302E+00,1.65150441191038E+00,1.64679262333603E+00,1.61652548457159E+00,1.59705961432102E+00,1.58571816811709E+00,1.55750900000000E+00,1.49752323918217E+00,1.51353001640884E+00,1.55538255852581E+00,1.56112040583743E+00,1.54921571749551E+00,
DMA,Dominica,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",2.02985465063417E+00,2.05560096260539E+00,2.10434310414120E+00,2.07608197715790E+00,2.02363122593148E+00,1.99434361685655E+00,1.97004596989352E+00,1.97194420261115E+00,1.96120348125949E+00,1.94184729543644E+00,1.89451289726858E+00,1.86646581997386E+00,1.84044972980217E+00,1.82575193442314E+00,1.82071752317375E+00,1.79059000000000E+00,1.77960764411083E+00,1.78627193568400E+00,1.82920294271393E+00,1.83627930113869E+00,1.86569054377278E+00,
DMA,Dominica,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
