Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DOM,Dominican Republic,AG.LND.FRST.K2,Forest area (sq. km),1.97200000000000E+04,,,,,,,,,,1.97200000000000E+04,,,,,1.97200000000000E+04,,,,,1.97200000000000E+04,
DOM,Dominican Republic,AG.LND.FRST.ZS,Forest area (% of land area),4.08112582781457E+01,,,,,,,,,,4.08112582781457E+01,,,,,4.08112582781457E+01,,,,,4.08112582781457E+01,
DOM,Dominican Republic,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.01660000000000E+08,6.77200000000000E+07,6.55800000000000E+07,-1.86000000000000E+06,6.12700000000000E+07,1.19360000000000E+08,9.95100000000000E+07,7.10100000000000E+07,1.18230000000000E+08,1.89640000000000E+08,5.60000000000000E+07,1.06860000000000E+08,1.44960000000000E+08,6.88600000000000E+07,8.45300000000000E+07,8.06300000000000E+07,5.38000000000000E+07,1.23120000000000E+08,1.55970000000000E+08,1.19830000000000E+08,,
DOM,Dominican Republic,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.01660000000000E+08,6.77200000000000E+07,6.55800000000000E+07,-1.86000000000000E+06,6.12700000000000E+07,1.19360000000000E+08,9.95100000000000E+07,7.10100000000000E+07,1.18230000000000E+08,1.89640000000000E+08,5.60000000000000E+07,1.06860000000000E+08,1.44960000000000E+08,6.88600000000000E+07,8.45300000000000E+07,8.06300000000000E+07,5.38000000000000E+07,1.23120000000000E+08,1.55970000000000E+08,1.19830000000000E+08,,
DOM,Dominican Republic,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.50408541603069E+00,7.23168208304865E-01,6.04645238048987E-01,-1.51473100331873E-02,4.43046923491065E-01,7.65643734058948E-01,5.71666145014901E-01,3.77751949619540E-01,5.82955511035126E-01,9.14624095080363E-01,2.43951455886189E-01,4.48930718706761E-01,5.70290985714993E-01,3.46466755496976E-01,4.18162848979706E-01,2.51169530094095E-01,1.57771975447319E-01,3.13812115529401E-01,3.57043281402640E-01,2.67307351075435E-01,,
