Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EAS,East Asia & Pacific (all income levels),AG.LND.FRST.K2,Forest area (sq. km),6.55157000000000E+06,,,,,,,,,,6.48196000000000E+06,,,,,6.58037000000000E+06,,,,,6.60030000000000E+06,
EAS,East Asia & Pacific (all income levels),AG.LND.FRST.ZS,Forest area (% of land area),2.69535953856629E+01,,,,,,,,,,2.66830998033128E+01,,,,,2.70915965604664E+01,,,,,2.71733693322942E+01,
EAS,East Asia & Pacific (all income levels),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),8.42762000000000E+09,8.05667000000000E+09,1.03407500000000E+10,9.92340000000000E+09,1.00990800000000E+10,1.07869100000000E+10,8.65512000000000E+09,7.47669000000000E+09,9.12817000000000E+09,1.04937600000000E+10,9.13331000000000E+09,8.03739000000000E+09,8.04072000000000E+09,7.74155000000000E+09,8.12916000000000E+09,9.66498000000000E+09,7.86314000000000E+09,8.78173000000000E+09,9.02445000000000E+09,1.02765300000000E+10,,
EAS,East Asia & Pacific (all income levels),DT.ODA.ODAT.CD,Net official development assistance received (current US$),8.42762000000000E+09,8.05667000000000E+09,1.03407500000000E+10,9.92340000000000E+09,1.00990800000000E+10,1.07869100000000E+10,8.63707000000000E+09,7.45940000000000E+09,9.04292000000000E+09,1.04764100000000E+10,8.56252000000000E+09,7.45157000000000E+09,7.36314000000000E+09,7.20668000000000E+09,7.06258000000000E+09,9.66498000000000E+09,7.86314000000000E+09,8.78173000000000E+09,9.02445000000000E+09,1.02765300000000E+10,,
EAS,East Asia & Pacific (all income levels),DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.81474555359907E-01,1.54482889258734E-01,1.81398605265248E-01,1.55034707883798E-01,1.41411307154826E-01,1.33883243786555E-01,1.11527133764323E-01,1.00151632700543E-01,1.36164778870246E-01,1.41740026511361E-01,1.07053815116769E-01,1.00007220505872E-01,9.73334353819376E-02,8.64487664162456E-02,7.53105655696791E-02,9.65446536723815E-02,7.36902282883779E-02,7.32930263639978E-02,6.53829176232269E-02,7.22835679954940E-02,,
EAS,East Asia & Pacific (all income levels),DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.62682276756050E+00,4.36194129994610E+00,5.52699364838856E+00,5.23952062815778E+00,5.26829704513183E+00,5.56021629255862E+00,4.40091634274259E+00,3.75851480456927E+00,4.50800137766499E+00,5.17106458517764E+00,4.18707816047074E+00,3.61156090463998E+00,3.53901737675296E+00,3.43661197284352E+00,3.34256765421336E+00,4.54067838810413E+00,3.66800937863304E+00,4.06855412398909E+00,4.15309044122482E+00,4.69850683408497E+00,,
EAS,East Asia & Pacific (all income levels),DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),3.84184690142255E+00,3.99044600310825E+00,4.02861027181438E+00,4.04089734127906E+00,4.07689765791207E+00,4.08452271786083E+00,4.15902536307650E+00,4.25846818997144E+00,4.29884893098063E+00,4.38570495061168E+00,4.53867233171180E+00,4.67422190266580E+00,4.66592283814901E+00,4.58505011194246E+00,4.43482082568559E+00,4.48217810454996E+00,4.55380049065821E+00,4.72353750042453E+00,4.73101520871522E+00,,,
EAS,East Asia & Pacific (all income levels),EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.60291475860145E+02,2.50598554452579E+02,2.48224556988389E+02,2.47469785927170E+02,2.45284548180720E+02,2.44826646606026E+02,2.40440947746537E+02,2.34826222808232E+02,2.32620409801627E+02,2.28013514648433E+02,2.20328749668263E+02,2.13939350938748E+02,2.14319875121789E+02,2.18100124444736E+02,2.25488252920660E+02,2.23105815225164E+02,2.19596796577150E+02,2.11705739588206E+02,2.11371123508090E+02,,,
EAS,East Asia & Pacific (all income levels),EN.ATM.CO2E.KT,CO2 emissions (kt),5.01348390371614E+06,5.24673843847026E+06,5.47494055490108E+06,5.75397271313820E+06,6.07373869015220E+06,6.44010474247260E+06,6.73617837592799E+06,6.83473515203432E+06,6.34308419229494E+06,6.34490639822942E+06,6.57910732735147E+06,6.72665706578392E+06,7.03081616404993E+06,7.77457165085314E+06,8.64218922865453E+06,9.18793548592220E+06,9.69841199078039E+06,1.02412288787991E+07,,,,
