Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EAP,East Asia & Pacific (developing only),AG.LND.FRST.K2,Forest area (sq. km),4.60248000000000E+06,,,,,,,,,,4.52445000000000E+06,,,,,4.63199000000000E+06,,,,,4.69828000000000E+06,
EAP,East Asia & Pacific (developing only),AG.LND.FRST.ZS,Forest area (% of land area),2.90029069199567E+01,,,,,,,,,,2.85370357989386E+01,,,,,2.92174782965770E+01,,,,,2.96353205728649E+01,
EAP,East Asia & Pacific (developing only),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),7.67493000000000E+09,7.30019000000000E+09,9.65932000000000E+09,9.08085000000000E+09,9.37915000000000E+09,9.79358000000000E+09,7.95803000000000E+09,6.91179000000000E+09,8.38383000000000E+09,9.86506000000000E+09,8.56252000000000E+09,7.45157000000000E+09,7.36314000000000E+09,7.20668000000000E+09,7.06258000000000E+09,9.66498000000000E+09,7.86314000000000E+09,8.78173000000000E+09,9.02445000000000E+09,1.02765300000000E+10,,
EAP,East Asia & Pacific (developing only),DT.ODA.ODAT.CD,Net official development assistance received (current US$),7.67493000000000E+09,7.30019000000000E+09,9.65932000000000E+09,9.08085000000000E+09,9.37915000000000E+09,9.79358000000000E+09,7.95803000000000E+09,6.91179000000000E+09,8.38383000000000E+09,9.86506000000000E+09,8.56252000000000E+09,7.45157000000000E+09,7.36314000000000E+09,7.20668000000000E+09,7.06258000000000E+09,9.66498000000000E+09,7.86314000000000E+09,8.78173000000000E+09,9.02445000000000E+09,1.02765300000000E+10,,
EAP,East Asia & Pacific (developing only),DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.16027936859851E+00,1.02937717952271E+00,1.21667491459208E+00,1.04551208286560E+00,8.91852386223518E-01,7.59315788354162E-01,5.36651261555021E-01,4.48746702488712E-01,5.97100537116086E-01,6.44968024087717E-01,5.07554904142326E-01,4.16016345315511E-01,3.71563275231593E-01,3.18037211033551E-01,2.68319499915528E-01,3.16620213038572E-01,2.13776289967255E-01,1.88462369837879E-01,1.53108342773300E-01,1.61284122072915E-01,,
EAP,East Asia & Pacific (developing only),DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.78366200489805E+00,4.48264619029497E+00,5.85029121662536E+00,5.42864667302467E+00,5.53566558930117E+00,5.70891001512330E+00,4.58317164199326E+00,3.93374670382903E+00,4.71780635509370E+00,5.49292453260925E+00,4.72079603348292E+00,4.07011330510015E+00,3.98649034159405E+00,3.86913391509566E+00,3.76115973512333E+00,5.10641335725531E+00,4.12310239917620E+00,4.57177977796892E+00,4.66523968560439E+00,5.27578324151260E+00,,
EAP,East Asia & Pacific (developing only),DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.76784201158459E+01,1.56945636018779E+01,1.53067376040075E+01,1.56606125109834E+01,1.35520359453903E+01,1.27061693359180E+01,1.33113680792283E+01,1.22386124978932E+01,1.27209543334551E+01,1.41362506082513E+01,1.14802666276844E+01,1.24396121385592E+01,1.23882774460325E+01,1.06091298566333E+01,7.05000510225038E+00,6.28558925447651E+00,5.48293542630830E+00,4.81580599460881E+00,3.93793066060539E+00,4.84350849454831E+00,,
EAP,East Asia & Pacific (developing only),DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.45046860477368E+01,1.16151321637727E+01,1.11870025992823E+01,1.09599535922058E+01,9.22019359506388E+00,8.30877862172161E+00,8.21982370415897E+00,6.84314839855745E+00,6.11884624536104E+00,7.27030376904404E+00,5.85673027612344E+00,6.26249656835064E+00,6.24815747600712E+00,5.04734943576872E+00,3.43090028763300E+00,2.53675193953853E+00,2.53337963041532E+00,1.59308116772278E+00,1.35372343702869E+00,1.64105381891175E+00,,
EAP,East Asia & Pacific (developing only),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.01652355635732E+00,2.16415832093242E+00,2.31188370124532E+00,2.43396687772808E+00,2.58166813357356E+00,2.64669617368504E+00,2.77651876807448E+00,2.93468925107195E+00,3.00806145513289E+00,3.16703951797978E+00,3.34751472318719E+00,3.54403448544376E+00,3.57187145351607E+00,3.48711481446881E+00,3.34565197008946E+00,3.41837577004645E+00,3.51879787266262E+00,3.72991175403425E+00,3.77421884079309E+00,,,
EAP,East Asia & Pacific (developing only),EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",4.95902959748418E+02,4.62073403007389E+02,4.32547709671270E+02,4.10851934408171E+02,3.87346455183530E+02,3.77829540822467E+02,3.60163241645761E+02,3.40751580302661E+02,3.32440016574004E+02,3.15752296213181E+02,2.98729081928546E+02,2.82164297245766E+02,2.79965282349571E+02,2.86770024276453E+02,2.98895404823969E+02,2.92536592601232E+02,2.84187963102102E+02,2.68102857639569E+02,2.64955489382769E+02,,,
EAP,East Asia & Pacific (developing only),EN.ATM.CO2E.KT,CO2 emissions (kt),3.09121630162129E+06,3.28698587966014E+06,3.44798986016074E+06,3.68577240409809E+06,3.89177460093864E+06,4.21917926339895E+06,4.42210204028779E+06,4.46141963431400E+06,4.04569060888180E+06,4.07537401763054E+06,4.22363142394077E+06,4.37011818767031E+06,4.61154878617629E+06,5.31934115039049E+06,6.15090919917945E+06,6.71026605266358E+06,7.21115708671094E+06,7.69378511289361E+06,,,,
EAP,East Asia & Pacific (developing only),EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.92670603783842E+00,2.01835770452713E+00,2.08831934276033E+00,2.20340123435947E+00,2.29696323651208E+00,2.45945964115459E+00,2.54676756295811E+00,2.53915335692792E+00,2.27661878465158E+00,2.26919267809837E+00,2.32862550663045E+00,2.38699712684670E+00,2.49674659124797E+00,2.85585640696407E+00,3.27565167606645E+00,3.54531434126695E+00,3.78122977399034E+00,4.00539428964058E+00,,,,
EAP,East Asia & Pacific (developing only),EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.43684448338581E+06,1.52773451603563E+06,1.64003139464286E+06,1.78875167645835E+06,1.93297876449053E+06,2.11665645916041E+06,2.23045445768141E+06,2.27878068565369E+06,2.28871440111881E+06,2.31645486973070E+06,2.39866810311134E+06,2.49568070508898E+06,2.67102200930145E+06,3.16863527854244E+06,3.74447879668057E+06,4.17784459036563E+06,4.61623395395012E+06,5.02161157548249E+06,,,,
EAP,East Asia & Pacific (developing only),EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
EAP,East Asia & Pacific (developing only),ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,1.08278237435866E+01,,,,
EAP,East Asia & Pacific (developing only),ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,5.31584980287003E+03,,,,,4.99526975981789E+03,,,,,4.75194823857388E+03,,,,,4.56933990473338E+03,,,,
EAP,East Asia & Pacific (developing only),ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
