Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ECU,Ecuador,AG.LND.FRST.K2,Forest area (sq. km),1.38170000000000E+05,,,,,,,,,,1.18410000000000E+05,,,,,1.08530000000000E+05,,,,,9.86500000000000E+04,
ECU,Ecuador,AG.LND.FRST.ZS,Forest area (% of land area),4.99096951307614E+01,,,,,,,,,,4.76767595425994E+01,,,,,4.36986632307940E+01,,,,,3.97205669189886E+01,
ECU,Ecuador,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.59320000000000E+08,2.37470000000000E+08,2.39780000000000E+08,2.33190000000000E+08,2.09460000000000E+08,2.22860000000000E+08,2.50190000000000E+08,1.52020000000000E+08,1.76350000000000E+08,1.48230000000000E+08,1.46140000000000E+08,1.83570000000000E+08,2.19970000000000E+08,1.74930000000000E+08,1.53290000000000E+08,2.25810000000000E+08,1.87770000000000E+08,2.17290000000000E+08,2.30610000000000E+08,2.08620000000000E+08,,
ECU,Ecuador,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.59320000000000E+08,2.37470000000000E+08,2.39780000000000E+08,2.33190000000000E+08,2.09460000000000E+08,2.22860000000000E+08,2.50190000000000E+08,1.52020000000000E+08,1.76350000000000E+08,1.48230000000000E+08,1.46140000000000E+08,1.83570000000000E+08,2.19970000000000E+08,1.74930000000000E+08,1.53290000000000E+08,2.25810000000000E+08,1.87770000000000E+08,2.17290000000000E+08,2.30610000000000E+08,2.08620000000000E+08,,
ECU,Ecuador,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.74208100886122E+00,2.32110472669484E+00,2.16950355454619E+00,1.64188152123019E+00,1.18731696304285E+00,1.15583839636931E+00,1.23521277841079E+00,6.72061790678557E-01,7.98141090836956E-01,9.64118248108949E-01,1.00575584504006E+00,9.21787048349353E-01,9.32285354072230E-01,6.45301889888275E-01,4.98669464490827E-01,6.40681246234040E-01,4.71627459702859E-01,4.96748094680594E-01,4.34394486630422E-01,3.71931811954339E-01,,
ECU,Ecuador,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.55273767475487E+01,2.26302039605859E+01,2.23565238057632E+01,2.12897037591451E+01,1.87458937981484E+01,1.95757286262575E+01,2.15977556773204E+01,1.29114944320136E+01,1.47454936985277E+01,1.22018197281767E+01,1.18379690341606E+01,1.46247190495630E+01,1.72290162104075E+01,1.34685946834584E+01,1.16050814040173E+01,1.68183553568558E+01,1.37664237386900E+01,1.56891247123318E+01,1.64056530888385E+01,1.46281270934763E+01,,
ECU,Ecuador,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.29717979920901E+01,3.21626236183828E+01,2.60295763389289E+01,2.40078983209495E+01,2.12202601315637E+01,2.65537958844472E+01,2.30292793979700E+01,3.04511792036509E+01,3.41490171433925E+01,4.12340526808101E+01,3.14241947015722E+01,3.49364622384561E+01,3.47949611467127E+01,3.28618550994835E+01,4.15393509374636E+01,3.63049578886916E+01,2.92526875399937E+01,2.25811397124952E+01,1.31407870430055E+01,4.08055942137439E+01,,
ECU,Ecuador,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",3.09879221174323E+01,3.06107038976149E+01,2.38996802557954E+01,2.07824438519827E+01,1.89566490192638E+01,2.48060930579558E+01,1.90591174021649E+01,2.77723148278604E+01,2.95538112040969E+01,2.74252009615899E+01,1.81818137401767E+01,2.14615938340120E+01,2.04216094197624E+01,1.90393325645040E+01,2.13011767896339E+01,1.54007333700179E+01,1.66587268016578E+01,1.09426153105344E+01,7.83488235800796E+00,2.47044121929043E+01,,
ECU,Ecuador,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.42267232625754E+00,9.55361173512974E+00,9.66239775235286E+00,1.01203678491977E+01,1.01743004377382E+01,9.02655764086184E+00,8.45819671060691E+00,8.63617687472681E+00,8.66612425601476E+00,8.54452962518186E+00,8.41223615134662E+00,8.08792201573193E+00,8.09295095503983E+00,7.73682861698169E+00,7.79114166769625E+00,8.16080816122162E+00,8.48983358450982E+00,8.34946456544017E+00,9.85124106247995E+00,,,
ECU,Ecuador,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.06127005734177E+02,1.04672455582728E+02,1.03493980027524E+02,9.88106376073350E+01,9.82868558009971E+01,1.10784203656237E+02,1.18228510664213E+02,1.15791977689391E+02,1.15391837280194E+02,1.17033943805738E+02,1.18874456447579E+02,1.23641152579721E+02,1.23564322279410E+02,1.29251926015924E+02,1.28350894214415E+02,1.22536883632651E+02,1.17787938956136E+02,1.19768159043296E+02,1.01510052759612E+02,,,
ECU,Ecuador,EN.ATM.CO2E.KT,CO2 emissions (kt),1.68214240000000E+04,1.64733440000000E+04,2.22844480000000E+04,2.41677440000000E+04,1.36264160000000E+04,2.27937440000000E+04,2.38709600000000E+04,1.82613760000000E+04,2.22111680000000E+04,2.12548640000000E+04,2.09251040000000E+04,2.34276160000000E+04,2.46697120000000E+04,2.59264640000000E+04,2.62122560000000E+04,2.63221760000000E+04,2.92643680000000E+04,2.99641920000000E+04,,,,
ECU,Ecuador,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.63942121440031E+00,1.56986202313090E+00,2.07774957131659E+00,2.20645872587528E+00,1.21951373620448E+00,2.00217242627831E+00,2.06067053784359E+00,1.55099101792466E+00,1.85718535741956E+00,1.74963245547402E+00,1.69502349246332E+00,1.86643951626652E+00,1.93224015981309E+00,1.99618724742054E+00,1.98444363404619E+00,1.96047876415439E+00,2.14552745557310E+00,2.16352314967211E+00,,,,
ECU,Ecuador,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),4.12531799424001E-01,3.71423056719004E-01,4.84752622108671E-01,5.12926963459448E-01,2.70702224555147E-01,4.34899185803479E-01,4.37030751842186E-01,3.15231395651513E-01,3.70276057782022E-01,3.72693426500975E-01,3.49349070168531E-01,3.63081566198389E-01,3.60895585056400E-01,3.58460497874865E-01,3.26314686448561E-01,2.99150196389367E-01,3.04293766475638E-01,2.96618233332542E-01,,,,
ECU,Ecuador,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,2.15000000000000E+01,,,,,,
ECU,Ecuador,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,3.93287037040000E+00,,,3.53009259259259E+00,,,,,,,,,,,
ECU,Ecuador,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,4.02786649599204E+04,,,,,3.66909985174968E+04,,,,,3.38361367590855E+04,,,,,3.11919640836086E+04,,,,
ECU,Ecuador,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),5.47325594096777E-02,5.47134882739046E-02,5.46943432921882E-02,5.46748267088296E-02,5.46545159862520E-02,7.19436973450531E-02,1.29810534386778E+01,1.29810926080024E+01,1.29811299914066E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811330888621E+01,1.29811441485455E+01,1.29811441485455E+01,,
ECU,Ecuador,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.69326988762040E-01,4.77666751635952E-01,5.16044700681297E-01,1.07444323320739E+00,2.03027094750604E+00,3.15425642079296E+00,3.90613286018179E+00,6.84472224267043E+00,1.22253486708155E+01,1.84644477760688E+01,2.68317749233488E+01,4.65227541972898E+01,6.22084431719506E+01,7.17702327721981E+01,8.31789447624414E+01,9.56049847541287E+01,,
ECU,Ecuador,IT.MLT.MAIN.P2,Telephone lines (per 100 people),4.78050622249975E+00,4.68284265170680E+00,4.95417322865480E+00,5.46222093269335E+00,5.88988537046141E+00,6.13051633509614E+00,6.91261986068114E+00,7.64721944656895E+00,8.28491889267739E+00,9.29791340074750E+00,9.91841813498444E+00,1.06418751507724E+01,1.10520023043036E+01,1.17855015617503E+01,1.20430825682350E+01,1.25094422169096E+01,1.30151759847058E+01,1.31635864722473E+01,1.35463628124302E+01,1.40533515043159E+01,,
ECU,Ecuador,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,5.12807077036024E-03,1.64335806708955E-02,3.49035547659596E-02,4.39193409006943E-02,8.63254153935826E-02,1.10412727020245E-01,1.25422401745345E-01,8.23168031314629E-01,1.45807747786294E+00,2.65295606226751E+00,4.21292015650780E+00,4.38656722301646E+00,4.72848205247550E+00,5.83179320863475E+00,7.16290993912773E+00,8.31717837492900E+00,9.31656273076119E+00,1.43893524736344E+01,,
ECU,Ecuador,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),2.09158538276787E+01,1.89808694440121E+01,1.82386794456446E+01,2.04303931987248E+01,2.18704569753512E+01,2.15587241393857E+01,1.97022422074797E+01,2.14598913995094E+01,2.52688071665472E+01,1.47275692626322E+01,2.01119986334671E+01,2.42715330942450E+01,2.64538244793134E+01,2.14895011714138E+01,2.33820059753892E+01,2.37853249670274E+01,2.34401318786716E+01,2.42520437943372E+01,2.84806091295645E+01,3.54478919159046E+01,2.38268418829224E+01,
