Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EGY,"Egypt, Arab Rep.",AG.LND.FRST.K2,Forest area (sq. km),4.40000000000000E+02,,,,,,,,,,5.90000000000000E+02,,,,,6.70000000000000E+02,,,,,7.00000000000000E+02,
EGY,"Egypt, Arab Rep.",AG.LND.FRST.ZS,Forest area (% of land area),4.42011150735848E-02,,,,,,,,,,5.92696770304887E-02,,,,,6.73062434075041E-02,,,,,7.03199557988849E-02,
EGY,"Egypt, Arab Rep.",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.42506000000000E+09,5.00884000000000E+09,3.59254000000000E+09,2.38261000000000E+09,2.67757000000000E+09,2.01047000000000E+09,2.18950000000000E+09,1.98426000000000E+09,1.95285000000000E+09,1.57990000000000E+09,1.32696000000000E+09,1.26226000000000E+09,1.23075000000000E+09,9.81970000000000E+08,1.50627000000000E+09,9.93630000000000E+08,8.73170000000000E+08,1.10716000000000E+09,1.34434000000000E+09,9.25110000000000E+08,,
EGY,"Egypt, Arab Rep.",DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.42506000000000E+09,5.00884000000000E+09,3.59254000000000E+09,2.38261000000000E+09,2.67757000000000E+09,2.01047000000000E+09,2.18950000000000E+09,1.98426000000000E+09,1.95285000000000E+09,1.57990000000000E+09,1.32696000000000E+09,1.26226000000000E+09,1.23075000000000E+09,9.81970000000000E+08,1.50627000000000E+09,9.93630000000000E+08,8.73170000000000E+08,1.10716000000000E+09,1.34434000000000E+09,9.25110000000000E+08,,
EGY,"Egypt, Arab Rep.",DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.29090333475349E+01,1.36824194898718E+01,8.65043131738569E+00,5.17885164463255E+00,5.17145171921746E+00,3.33411030980777E+00,3.21190264233113E+00,2.49894603029270E+00,2.26964455276371E+00,1.72261703049789E+00,1.31681602629019E+00,1.27884005798386E+00,1.39943064461955E+00,1.18571809983916E+00,1.91543617150263E+00,1.11104619656957E+00,8.08380451836981E-01,8.40988140741462E-01,8.18831370652463E-01,4.89120038914237E-01,,
EGY,"Egypt, Arab Rep.",DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),9.54389063613946E+01,8.64302636305604E+01,6.08859967190228E+01,3.96966545870561E+01,4.38715173418386E+01,3.23935962036491E+01,3.46876223948677E+01,3.09076749838332E+01,2.99016060539464E+01,2.37732182741068E+01,1.96155360260526E+01,1.83233569511755E+01,1.75383890862442E+01,1.37341471525677E+01,2.06777409754339E+01,1.33906596904191E+01,1.15546893622396E+01,1.43896202172734E+01,1.71639861232605E+01,1.16050434564727E+01,,
EGY,"Egypt, Arab Rep.",DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.85792680091150E+01,2.20849157279580E+01,2.17862775384115E+01,1.75518167330677E+01,1.65558241594763E+01,1.60456732713304E+01,1.45824399724155E+01,1.24115947306290E+01,1.30187937422808E+01,1.28470517011745E+01,9.77906058179877E+00,1.13111384839983E+01,1.21221456457420E+01,1.29939870243765E+01,7.99885190708938E+00,7.06187696787923E+00,6.29067162752768E+00,6.15862242438217E+00,5.61109218469797E+00,6.45076423762637E+00,,
EGY,"Egypt, Arab Rep.",DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.37210621773706E+01,1.80338019818752E+01,1.78908625315015E+01,1.49571952191235E+01,1.39507363879798E+01,1.45781843914274E+01,1.25053664347063E+01,1.03980512959058E+01,1.11975024015370E+01,9.91329458772248E+00,8.47006672004270E+00,9.50305093638085E+00,1.09867472762180E+01,1.11312582672358E+01,7.25338152124156E+00,6.79097544584521E+00,5.99604235420038E+00,5.79186282935418E+00,5.39238547166255E+00,6.17866494155830E+00,,
EGY,"Egypt, Arab Rep.",EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.78224751247497E+00,5.74409564030180E+00,5.85210896600749E+00,5.64962723461387E+00,6.24964033061012E+00,6.16038056071725E+00,6.09543847039578E+00,6.20326688944826E+00,6.01003642026852E+00,5.79806073933471E+00,6.20180672866457E+00,6.24251154839041E+00,5.76257761652860E+00,5.60094944873047E+00,5.70531320938584E+00,5.47660264731266E+00,5.57776779185372E+00,5.66883741509141E+00,5.77770527003364E+00,,,
EGY,"Egypt, Arab Rep.",EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.72943132898158E+02,1.74091808810387E+02,1.70878568018571E+02,1.77002828411979E+02,1.60009208066278E+02,1.62327633844032E+02,1.64057106778582E+02,1.61205380619847E+02,1.66388342777351E+02,1.72471459847926E+02,1.61243335007205E+02,1.60191934327754E+02,1.73533454392308E+02,1.78541157915050E+02,1.75275215102108E+02,1.82594952454821E+02,1.79283189497507E+02,1.76403012959558E+02,1.73079095118706E+02,,,
EGY,"Egypt, Arab Rep.",EN.ATM.CO2E.KT,CO2 emissions (kt),7.58814400000000E+04,7.86514240000000E+04,8.11979040000000E+04,9.30802560000000E+04,8.52429600000000E+04,9.56450560000000E+04,1.01947136000000E+05,1.08128304000000E+05,1.22165088000000E+05,1.25092624000000E+05,1.41214224000000E+05,1.25722832000000E+05,1.26583872000000E+05,1.31852704000000E+05,1.43936576000000E+05,1.63220208000000E+05,1.78253600000000E+05,1.84508048000000E+05,,,,
