Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SLV,El Salvador,AG.LND.FRST.K2,Forest area (sq. km),3.77000000000000E+03,,,,,,,,,,3.32000000000000E+03,,,,,3.09000000000000E+03,,,,,2.87000000000000E+03,
SLV,El Salvador,AG.LND.FRST.ZS,Forest area (% of land area),1.81949806949807E+01,,,,,,,,,,1.60231660231660E+01,,,,,1.49131274131274E+01,,,,,1.38513513513514E+01,
SLV,El Salvador,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.47300000000000E+08,2.94920000000000E+08,4.03720000000000E+08,3.99460000000000E+08,3.05120000000000E+08,2.95960000000000E+08,3.00770000000000E+08,2.78540000000000E+08,1.80940000000000E+08,1.83090000000000E+08,1.79660000000000E+08,2.37520000000000E+08,2.33290000000000E+08,1.92150000000000E+08,2.16400000000000E+08,2.04460000000000E+08,1.62920000000000E+08,8.80700000000000E+07,2.33350000000000E+08,2.76690000000000E+08,,
