Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ERI,Eritrea,AG.LND.FRST.K2,Forest area (sq. km),1.62100000000000E+04,,,,,,,,,,1.57600000000000E+04,,,,,1.55400000000000E+04,,,,,1.53200000000000E+04,
ERI,Eritrea,AG.LND.FRST.ZS,Forest area (% of land area),1.60495049504950E+01,,,,,,,,,,1.56039603960396E+01,,,,,1.53861386138614E+01,,,,,1.51683168316832E+01,
ERI,Eritrea,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00
ERI,Eritrea,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,6.67700000000000E+07,1.53940000000000E+08,1.48240000000000E+08,1.57490000000000E+08,1.23320000000000E+08,1.67310000000000E+08,1.48680000000000E+08,1.75780000000000E+08,2.80580000000000E+08,2.25790000000000E+08,3.16570000000000E+08,2.64850000000000E+08,3.49210000000000E+08,1.25790000000000E+08,1.58250000000000E+08,1.43610000000000E+08,1.44770000000000E+08,,
ERI,Eritrea,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,6.67700000000000E+07,1.53940000000000E+08,1.48240000000000E+08,1.57490000000000E+08,1.23320000000000E+08,1.67310000000000E+08,1.48680000000000E+08,1.75780000000000E+08,2.80580000000000E+08,2.25790000000000E+08,3.16570000000000E+08,2.64850000000000E+08,3.49210000000000E+08,1.25790000000000E+08,1.58250000000000E+08,1.43610000000000E+08,1.44770000000000E+08,,
ERI,Eritrea,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,1.42708662306875E+01,2.89421663565732E+01,2.53156936935975E+01,2.29632172296926E+01,1.80471952441609E+01,2.23129427789823E+01,2.13922092260883E+01,2.77222438430618E+01,4.09463852792982E+01,3.37313478275158E+01,3.67861706539517E+01,2.42149002975040E+01,3.20672281923991E+01,1.04608200213785E+01,1.20729297435160E+01,1.04950252096447E+01,7.87043515503556E+00,,
ERI,Eritrea,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,2.09932838469933E+01,4.83166842589114E+01,4.61447039893815E+01,4.82651632722610E+01,3.69757705559289E+01,4.88031260136326E+01,4.20013644511050E+01,4.79281138277707E+01,7.35952752976874E+01,5.68171952854234E+01,7.63647328428416E+01,6.13313949355111E+01,7.78417152327550E+01,2.70758530701787E+01,3.29786367204668E+01,2.90266579970050E+01,2.83974218899262E+01,,
ERI,Eritrea,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,1.05342723542227E-01,,2.22674423495460E-01,2.92473322420949E+00,4.25542503721459E+00,2.78121917637102E+00,,,,,,,,,,,
ERI,Eritrea,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.05342723542227E-01,0.00000000000000E+00,2.22674423495460E-01,2.92473322420949E+00,4.25542503721459E+00,2.78121917637102E+00,,,,,,,,,,,
ERI,Eritrea,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,1.81992189057348E+00,1.96614453440164E+00,2.31063208760220E+00,2.26236950931272E+00,2.35615568544163E+00,2.55715076290261E+00,4.00174296225821E+00,3.86525706488798E+00,3.32491940397857E+00,3.45420775026007E+00,3.52006927030938E+00,3.19644896455711E+00,3.51399116801034E+00,3.50036887625447E+00,3.78917153154887E+00,3.72595563630889E+00,3.55847100948832E+00,,,
ERI,Eritrea,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,5.49474131378730E+02,5.08609607535455E+02,4.32782010327625E+02,4.42014443654603E+02,4.24420171459325E+02,3.91060243497299E+02,2.49891112305648E+02,2.58715004775234E+02,3.00759169922558E+02,2.89501984912375E+02,2.84085318557413E+02,3.12847166054646E+02,2.84576697034276E+02,2.85684176540284E+02,2.63909931676077E+02,2.68387521916565E+02,2.81019571982910E+02,,,
ERI,Eritrea,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,1.83200000000000E+02,2.96784000000000E+02,3.48080000000000E+02,5.27616000000000E+02,5.89904000000000E+02,6.19216000000000E+02,6.08224000000000E+02,6.33872000000000E+02,6.41200000000000E+02,7.21808000000000E+02,7.58448000000000E+02,7.32800000000000E+02,5.60592000000000E+02,5.78912000000000E+02,,,,
ERI,Eritrea,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,5.75004323517771E-02,9.23840382405869E-02,1.06674316031549E-01,1.58198249737569E-01,1.72070762345024E-01,1.74925456617941E-01,1.65838144867346E-01,1.66262685663610E-01,1.61349863222523E-01,1.74118441683753E-01,1.75634033702279E-01,1.63347008741339E-01,1.20665447367181E-01,1.20642834383058E-01,,,,
ERI,Eritrea,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,1.05059276824874E-01,1.61704513352292E-01,1.70559865771198E-01,2.35054501350484E-01,2.54647537944832E-01,2.63404423277110E-01,2.91494498269442E-01,2.72831360016164E-01,2.63649778847533E-01,2.98457855674828E-01,3.00584964472311E-01,2.74017492890995E-01,2.04986260674010E-01,2.02745041761902E-01,,,,
ERI,Eritrea,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),6.99000000000000E+01,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,1.47642857142857E+01,,,,2.07857142857143E+01,,,,,,,
ERI,Eritrea,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,8.39540687289984E+02,,,,,7.04584555556870E+02,,,,,5.83508264248386E+02,,,,
ERI,Eritrea,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
ERI,Eritrea,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.63140607404275E-01,9.01395515759041E-01,1.33444199613546E+00,1.75777696688653E+00,2.19566526347235E+00,2.76834161174641E+00,,
