Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,Estonia,AG.LND.FRST.K2,Forest area (sq. km),2.09000000000000E+04,,,,,,,,,,2.24300000000000E+04,,,,,2.25200000000000E+04,,,,,2.21700000000000E+04,
EST,Estonia,AG.LND.FRST.ZS,Forest area (% of land area),4.93040811512149E+01,,,,,,,,,,5.29134229771172E+01,,,,,5.31257372021703E+01,,,,,5.23000707714083E+01,
EST,Estonia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,1.53700000000000E+07,1.04370000000000E+08,4.23100000000000E+07,4.38100000000000E+07,5.80500000000000E+07,5.93700000000000E+07,6.59100000000000E+07,9.09900000000000E+07,8.36200000000000E+07,6.38300000000000E+07,6.87800000000000E+07,5.44100000000000E+07,8.45000000000000E+07,1.35430000000000E+08,,,,,,,
EST,Estonia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.66329494114802E+00,1.67878502509537E+00,1.83252527113253E+00,2.19300860196703E+00,2.07182926947966E+00,2.23150424117530E+00,2.14181356121211E+00,2.43098130508387E+00,2.68350574196722E+00,2.85747061320893E+00,3.19564967929052E+00,3.32320325766562E+00,3.74788035013977E+00,3.65985516129189E+00,3.85289806665784E+00,4.31354765975278E+00,4.89035013742730E+00,4.69207611310381E+00,4.63108723417700E+00,,,
EST,Estonia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",6.01216281767676E+02,5.95668882585601E+02,5.45695066667202E+02,4.55994563406201E+02,4.82665253711348E+02,4.48128209459873E+02,4.66894046293215E+02,4.11356515950459E+02,3.72646864272003E+02,3.49959854487183E+02,3.12925414347049E+02,3.00914485953667E+02,2.66817482570570E+02,2.73234856552905E+02,2.59544888730327E+02,2.31827738761396E+02,2.04484335865177E+02,2.13125272458230E+02,2.15932015406683E+02,,,
EST,Estonia,EN.ATM.CO2E.KT,CO2 emissions (kt),,,2.49958080000000E+04,2.01776480000000E+04,2.01886400000000E+04,1.81734400000000E+04,1.91627200000000E+04,1.91553920000000E+04,1.76641440000000E+04,1.59787040000000E+04,1.59750400000000E+04,1.63817440000000E+04,1.59567200000000E+04,1.83529760000000E+04,1.87230400000000E+04,1.82357280000000E+04,1.75359040000000E+04,2.04561120000000E+04,,,,
