Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ETH,Ethiopia,AG.LND.FRST.K2,Forest area (sq. km),1.51140000000000E+05,,,,,,,,,,1.37050000000000E+05,,,,,1.30000000000000E+05,,,,,1.22960000000000E+05,
ETH,Ethiopia,AG.LND.FRST.ZS,Forest area (% of land area),1.51140000000000E+01,,,,,,,,,,1.37050000000000E+01,,,,,1.30000000000000E+01,,,,,1.22960000000000E+01,
ETH,Ethiopia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.73543036703358E+09
ETH,Ethiopia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.86152776459431E+09
ETH,Ethiopia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
ETH,Ethiopia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,4.59695813162790E+09
ETH,Ethiopia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.00915000000000E+09,1.09187000000000E+09,1.16251000000000E+09,1.08167000000000E+09,1.06272000000000E+09,8.76480000000000E+08,8.15980000000000E+08,5.78310000000000E+08,6.60140000000000E+08,6.43080000000000E+08,6.86060000000000E+08,1.09573000000000E+09,1.32405000000000E+09,1.62630000000000E+09,1.82820000000000E+09,1.92747000000000E+09,1.98045000000000E+09,2.57779000000000E+09,3.32775000000000E+09,3.81997000000000E+09,,
ETH,Ethiopia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.00915000000000E+09,1.09187000000000E+09,1.16251000000000E+09,1.08167000000000E+09,1.06272000000000E+09,8.76480000000000E+08,8.15980000000000E+08,5.78310000000000E+08,6.60140000000000E+08,6.43080000000000E+08,6.86060000000000E+08,1.09573000000000E+09,1.32405000000000E+09,1.62630000000000E+09,1.82820000000000E+09,1.92747000000000E+09,1.98045000000000E+09,2.57779000000000E+09,3.32775000000000E+09,3.81997000000000E+09,,
ETH,Ethiopia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),8.39871411041594E+00,8.21696856853823E+00,8.29672765169264E+00,1.24800518328590E+01,1.56379667796431E+01,1.16161576895832E+01,9.66871599074547E+00,6.57630057467223E+00,8.24855323353830E+00,8.27132954367259E+00,8.44960398297310E+00,1.34985499328935E+01,1.70848331521835E+01,1.91551704467267E+01,1.82994842124328E+01,1.57077391479611E+01,1.30929442220819E+01,1.31742334113673E+01,1.24811358444380E+01,1.19671291487891E+01,,
ETH,Ethiopia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.08789967637400E+01,2.18379044555929E+01,2.24725213205850E+01,2.02172953188794E+01,1.92239460557319E+01,1.53654670769431E+01,1.38832604915019E+01,9.56172903692468E+00,1.06175923117656E+01,1.00687650243532E+01,1.04617566495004E+01,1.62803753034137E+01,1.91778269124246E+01,2.29755272984527E+01,2.52072963003101E+01,2.59543467582436E+01,2.60608147788828E+01,3.31683205771151E+01,4.18867211623472E+01,4.70510631585299E+01,,
ETH,Ethiopia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.89838444976077E+01,3.06260963312594E+01,2.38258757257568E+01,1.89237480578463E+01,1.58222937436764E+01,1.84971519995635E+01,4.16243015189322E+01,9.96523218386501E+00,1.22316241626705E+01,1.62716511656909E+01,1.36759647883230E+01,1.83638669305028E+01,7.91633271428452E+00,7.24352146721571E+00,5.88608467787048E+00,4.73478957747118E+00,6.15885325906291E+00,4.87434735652078E+00,3.13805060550111E+00,3.06219215476826E+00,,
ETH,Ethiopia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",3.76467631578948E+01,2.90272977901738E+01,2.27166332573524E+01,1.79277718019202E+01,1.52162267988011E+01,1.83343369623344E+01,4.14840931439097E+01,9.86356139789309E+00,9.70000000000000E+00,1.39000000000000E+01,1.45151453547469E+01,1.99907478561901E+01,1.03083341813371E+01,7.58998297737922E+00,5.38048170033929E+00,2.14377959535084E+00,1.97111881864001E+00,3.45668026322173E+00,1.20000000000000E+00,1.60000000000000E+00,,
ETH,Ethiopia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.77272377342475E+00,1.59491649259208E+00,1.43406879983501E+00,1.64932046385662E+00,1.64299835579249E+00,1.68818690333953E+00,1.84498544174760E+00,1.86533592760063E+00,1.74566222516027E+00,1.79642850797003E+00,1.85522438553512E+00,1.93520686917685E+00,1.91619891818984E+00,1.82171610620124E+00,2.01777549414738E+00,2.19952122580466E+00,2.36567994361185E+00,1.90055186640106E+00,2.03911337758473E+00,,,
