Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EMU,Euro area,AG.LND.FRST.K2,Forest area (sq. km),8.59113000000000E+05,,,,,,,,,,9.24223000000000E+05,,,,,9.34703000000000E+05,,,,,9.52000000000000E+05,
EMU,Euro area,AG.LND.FRST.ZS,Forest area (% of land area),3.36445271196397E+01,,,,,,,,,,3.62031509510827E+01,,,,,3.66152454000948E+01,,,,,3.73091920913918E+01,
EMU,Euro area,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.02800000000000E+07,1.91630000000000E+08,1.98530000000000E+08,1.61720000000000E+08,2.40590000000000E+08,2.39190000000000E+08,3.33910000000000E+08,2.97560000000000E+08,3.41970000000000E+08,5.11790000000000E+08,3.13270000000000E+08,4.09880000000000E+08,3.06580000000000E+08,3.47770000000000E+08,4.98980000000000E+08,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
EMU,Euro area,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.34400000000000E+07,6.15600000000000E+07,3.08000000000000E+07,6.88900000000000E+07,1.18390000000000E+08,8.31800000000000E+07,1.76950000000000E+08,1.19010000000000E+08,6.16300000000000E+07,5.61500000000000E+07,8.20500000000000E+07,1.27360000000000E+08,6.38000000000000E+07,,,,,,,,,
EMU,Euro area,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),7.65785250151163E-04,1.04644218750430E-03,4.75061032461129E-04,1.15887022050614E-03,1.88893843523214E-03,1.14757372012329E-03,2.40982233564397E-03,1.77355511077385E-03,8.97148912040720E-04,8.19502670128682E-04,1.31473790619300E-03,2.01786827480784E-03,9.31217194136186E-04,,,,,,,,,
