Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ECS,Europe & Central Asia (all income levels),AG.LND.FRST.K2,Forest area (sq. km),1.01521210000000E+07,,,,,,,,,,1.02453710000000E+07,,,,,1.02807410000000E+07,,,,,1.03252200000000E+07,
ECS,Europe & Central Asia (all income levels),AG.LND.FRST.ZS,Forest area (% of land area),3.71632854105204E+01,,,,,,,,,,3.74238022177832E+01,,,,,3.75523210775483E+01,,,,,3.83005923723464E+01,
ECS,Europe & Central Asia (all income levels),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.64920000000000E+09,8.98657000000000E+09,8.48541000000000E+09,9.93443000000000E+09,9.86697000000000E+09,1.17604300000000E+10,8.87899000000000E+09,7.36095000000000E+09,9.06996000000000E+09,1.16575100000000E+10,1.10997800000000E+10,1.00392400000000E+10,1.14304700000000E+10,1.07288300000000E+10,1.20428700000000E+10,5.00419000000000E+09,6.21360000000000E+09,5.78794000000000E+09,7.43889000000000E+09,8.27061000000000E+09,,
ECS,Europe & Central Asia (all income levels),DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.36163000000000E+09,2.34522000000000E+09,2.45996000000000E+09,3.94286000000000E+09,2.98608000000000E+09,3.32571000000000E+09,3.38539000000000E+09,2.82272000000000E+09,3.09792000000000E+09,4.62715000000000E+09,4.58861000000000E+09,4.57325000000000E+09,6.40662000000000E+09,4.64591000000000E+09,4.84118000000000E+09,5.00419000000000E+09,6.21360000000000E+09,5.78794000000000E+09,7.43889000000000E+09,8.27061000000000E+09,,
ECS,Europe & Central Asia (all income levels),DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.60512781191268E-02,2.68464727359911E-02,2.62685266592624E-02,4.57798574084518E-02,3.31404437734570E-02,3.21834916352138E-02,3.20964749392350E-02,2.82091842690987E-02,3.01988979627195E-02,4.55494418114169E-02,4.79950237016992E-02,4.73885520705687E-02,6.06480220573329E-02,3.59563622505937E-02,3.20338996466841E-02,3.11310998343088E-02,3.57464828916952E-02,2.85767904838830E-02,3.35546664533223E-02,4.23167428091312E-02,,
ECS,Europe & Central Asia (all income levels),DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.61636106157843E+00,2.77158890744695E+00,2.89647474318964E+00,4.62602632427195E+00,3.49540305222879E+00,3.88662178530292E+00,3.95114601412291E+00,3.28925651371460E+00,3.60594415119161E+00,5.37923107141005E+00,5.32356647726455E+00,5.29613437854737E+00,7.40283898403676E+00,5.35326109606287E+00,5.56102524357632E+00,5.72959170435993E+00,7.09096396439809E+00,6.57974067659042E+00,8.42030772587901E+00,9.32483922000366E+00,,
ECS,Europe & Central Asia (all income levels),DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.22896941108115E+00,4.21034334817832E+00,4.36715683736874E+00,4.43885796392564E+00,4.67878635693878E+00,4.74501706824539E+00,4.75620462887968E+00,4.98345062317916E+00,5.09848564883008E+00,5.24529775563718E+00,5.42066086744898E+00,5.44979683230175E+00,5.55471879805245E+00,5.52016712154063E+00,5.67548125179160E+00,5.82488230000218E+00,6.00109481486272E+00,6.26243494652160E+00,6.32077363244048E+00,,,
