Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ECA,Europe & Central Asia (developing only),AG.LND.FRST.K2,Forest area (sq. km),8.73486000000000E+06,,,,,,,,,,8.75419000000000E+06,,,,,8.76337000000000E+06,,,,,8.78390000000000E+06,
ECA,Europe & Central Asia (developing only),AG.LND.FRST.ZS,Forest area (% of land area),3.83896448349366E+01,,,,,,,,,,3.84895742078845E+01,,,,,3.85322145700408E+01,,,,,3.86309262028323E+01,
ECA,Europe & Central Asia (developing only),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.13914000000000E+09,5.36157000000000E+09,6.40397000000000E+09,8.38241000000000E+09,7.35333000000000E+09,7.68612000000000E+09,6.86663000000000E+09,5.78080000000000E+09,7.01811000000000E+09,9.24686000000000E+09,8.47746000000000E+09,7.74966000000000E+09,9.69594000000000E+09,8.52505000000000E+09,9.30700000000000E+09,4.88073000000000E+09,6.00978000000000E+09,5.62503000000000E+09,7.19731000000000E+09,8.10122000000000E+09,,
