Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FJI,Fiji,AG.LND.FRST.K2,Forest area (sq. km),9.53000000000000E+03,,,,,,,,,,9.80000000000000E+03,,,,,9.97000000000000E+03,,,,,1.01400000000000E+04,
FJI,Fiji,AG.LND.FRST.ZS,Forest area (% of land area),5.21620142309798E+01,,,,,,,,,,5.36398467432950E+01,,,,,5.45703338806787E+01,,,,,5.55008210180624E+01,
FJI,Fiji,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.95800000000000E+07,4.48100000000000E+07,6.34200000000000E+07,6.12200000000000E+07,4.06100000000000E+07,4.44000000000000E+07,4.67900000000000E+07,4.44400000000000E+07,3.68200000000000E+07,3.48700000000000E+07,2.91200000000000E+07,2.59300000000000E+07,3.44200000000000E+07,5.11200000000000E+07,6.55600000000000E+07,6.61400000000000E+07,5.56500000000000E+07,5.08100000000000E+07,4.52500000000000E+07,7.11200000000000E+07,,
FJI,Fiji,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.95800000000000E+07,4.48100000000000E+07,6.34200000000000E+07,6.12200000000000E+07,4.06100000000000E+07,4.44000000000000E+07,4.67900000000000E+07,4.44400000000000E+07,3.68200000000000E+07,3.48700000000000E+07,2.91200000000000E+07,2.59300000000000E+07,3.44200000000000E+07,5.11200000000000E+07,6.55600000000000E+07,6.61400000000000E+07,5.56500000000000E+07,5.08100000000000E+07,4.52500000000000E+07,7.11200000000000E+07,,
