Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FIN,Finland,AG.LND.FRST.K2,Forest area (sq. km),2.18890000000000E+05,,,,,,,,,,2.24590000000000E+05,,,,,2.21570000000000E+05,,,,,2.21570000000000E+05,
FIN,Finland,AG.LND.FRST.ZS,Forest area (% of land area),7.18638169342395E+01,,,,,,,,,,7.37351850027906E+01,,,,,7.27436882366460E+01,,,,,7.29088515959197E+01,
FIN,Finland,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),5.84380000000000E+08,7.42890000000000E+08,4.72580000000000E+08,2.19770000000000E+08,1.56390000000000E+08,1.42500000000000E+08,1.33860000000000E+08,1.29140000000000E+08,1.33530000000000E+08,1.75130000000000E+08,1.25030000000000E+08,1.58930000000000E+08,1.53040000000000E+08,2.23790000000000E+08,,6.27450000000000E+08,4.16730000000000E+08,3.68410000000000E+08,6.10570000000000E+08,7.90500000000000E+08,,
FIN,Finland,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,1.25918572980000E+08,1.63022232830000E+08,1.43214945990000E+08,1.75082839200000E+08,1.21021790600000E+08,1.47456719060000E+08,2.05309361200000E+08,2.19524761630000E+08,2.74630702870000E+08,2.88605852330000E+08,4.78226868190000E+08,3.93771523970000E+08,3.86921635960000E+08,6.77151838700000E+08,9.25708756230000E+08,,
FIN,Finland,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.64223397700000E+07,9.42664895000000E+06,1.04651835300000E+07,1.34173947400000E+07,1.74322629600000E+07,1.68981818900000E+07,2.56711272600000E+07,3.68070870400000E+07,3.03516089000000E+07,5.35878022500000E+07,4.74934377700000E+07,4.04127565800000E+07,5.39393894600000E+07,7.49264710700000E+07,5.32530504400000E+07,,
FIN,Finland,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.30420313551428E+01,5.78243150419252E+00,7.30732638109624E+00,7.66345508292397E+00,1.44042348684271E+01,1.14597571393977E+01,1.25036321334577E+01,1.67667131337270E+01,1.10517901249983E+01,1.85678155232716E+01,9.93115212237110E+00,1.02629962097206E+01,1.39406495907549E+01,1.10649439000039E+01,5.75267869960267E+00,,
FIN,Finland,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.94610000000000E+08,1.97440000000000E+08,1.47760000000000E+08,6.05700000000000E+07,7.57200000000000E+07,6.63300000000000E+07,6.53700000000000E+07,5.40600000000000E+07,6.79700000000000E+07,6.48100000000000E+07,6.55700000000000E+07,7.05800000000000E+07,7.83100000000000E+07,9.92800000000000E+07,1.24450000000000E+08,1.37970000000000E+08,1.61580000000000E+08,2.07950000000000E+08,2.32580000000000E+08,2.68000000000000E+08,,
FIN,Finland,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),1.48721719966195E-01,1.69372648650578E-01,1.46730334550327E-01,7.69964445871576E-02,8.07013127392223E-02,5.32564389467477E-02,5.27632715326935E-02,4.50218613366646E-02,5.40078822744176E-02,5.13220516150490E-02,5.49589676866918E-02,5.87167552146061E-02,5.96199731097248E-02,6.18939884653246E-02,6.71392905872117E-02,7.05519590096033E-02,7.66587779638132E-02,8.35051054166122E-02,8.74866022269550E-02,1.12642777347218E-01,,
FIN,Finland,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",8.46300000000000E+08,9.30100000000000E+08,6.43760000000000E+08,3.55120000000000E+08,2.90070000000000E+08,3.88320000000000E+08,4.08180000000000E+08,3.78880000000000E+08,3.96340000000000E+08,4.16490000000000E+08,3.70840000000000E+08,3.89000000000000E+08,4.62190000000000E+08,5.58490000000000E+08,6.79870000000000E+08,9.01940000000000E+08,8.34400000000000E+08,9.81340000000000E+08,1.16573000000000E+09,1.29018000000000E+09,1.33536000000000E+09,
FIN,Finland,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",6.50000000000000E-01,8.00000000000000E-01,6.40000000000000E-01,4.50000000000000E-01,3.10000000000000E-01,3.10000000000000E-01,3.30000000000000E-01,3.20000000000000E-01,3.10000000000000E-01,3.30000000000000E-01,3.10000000000000E-01,3.20000000000000E-01,3.50000000000000E-01,3.50000000000000E-01,3.70000000000000E-01,4.60000000000000E-01,4.00000000000000E-01,3.90000000000000E-01,4.40000000000000E-01,5.40000000000000E-01,5.50000000000000E-01,
FIN,Finland,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",1.02731000000000E+09,1.17454000000000E+09,8.90730000000000E+08,6.15390000000000E+08,4.52730000000000E+08,4.83880000000000E+08,5.35910000000000E+08,5.51840000000000E+08,5.74290000000000E+08,6.24400000000000E+08,6.27160000000000E+08,6.56350000000000E+08,7.32190000000000E+08,7.42380000000000E+08,8.17720000000000E+08,1.08057000000000E+09,9.79210000000000E+08,1.02637000000000E+09,1.13666000000000E+09,1.29018000000000E+09,1.37969000000000E+09,
FIN,Finland,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),1.60350000000000E+08,2.06240000000000E+08,2.39040000000000E+08,1.29620000000000E+08,7.34800000000000E+07,1.07970000000000E+08,8.05400000000000E+07,9.92200000000000E+07,1.04890000000000E+08,1.48280000000000E+08,1.11840000000000E+08,1.39050000000000E+08,1.26250000000000E+08,1.92070000000000E+08,,5.96670000000000E+08,3.60660000000000E+08,3.34300000000000E+08,5.63690000000000E+08,7.14140000000000E+08,,
FIN,Finland,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),2.74393374174339E+01,2.77618489951406E+01,5.05819120572178E+01,5.89798425626792E+01,4.69851013491911E+01,7.57684210526316E+01,6.01673390109069E+01,7.68313458262351E+01,7.85516363364038E+01,8.46685319476960E+01,8.94505318723506E+01,8.74913483923740E+01,8.24947726084684E+01,8.58259975870236E+01,,9.50944298350466E+01,8.65452451227413E+01,9.07412936673815E+01,9.23219286895851E+01,9.03402909550917E+01,,
FIN,Finland,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.06519763253858E+00,3.76608341422946E+00,3.85739443236949E+00,3.64790547305263E+00,3.53960879652216E+00,3.86695302918653E+00,3.72395559514846E+00,3.81340381672773E+00,3.96727801423880E+00,4.13567851705091E+00,4.40425069959175E+00,4.39648704888313E+00,4.25661622579234E+00,4.08978587947383E+00,4.23561880556091E+00,4.72169393570559E+00,4.52750633617265E+00,4.83316418907429E+00,5.06783137290808E+00,4.96978161327859E+00,,
FIN,Finland,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.45990500436146E+02,2.65527841529394E+02,2.59242350641785E+02,2.74129910269627E+02,2.82517096517148E+02,2.58601537813446E+02,2.68531665979797E+02,2.62232915279897E+02,2.52061992230174E+02,2.41798291592811E+02,2.27053378249493E+02,2.27454326347677E+02,2.34928390758050E+02,2.44511578226842E+02,2.36093011648524E+02,2.11788399167081E+02,2.20872137054888E+02,2.06903792397653E+02,1.97323061170871E+02,2.01216085094793E+02,,
FIN,Finland,EN.ATM.CO2E.KT,CO2 emissions (kt),5.09002880000000E+04,5.48464160000000E+04,4.90866080000000E+04,5.18932320000000E+04,5.93641280000000E+04,5.22852800000000E+04,6.13353600000000E+04,6.00346400000000E+04,5.69422240000000E+04,5.53776960000000E+04,5.20984160000000E+04,5.63779680000000E+04,6.10275840000000E+04,6.88319040000000E+04,6.69156320000000E+04,5.45606240000000E+04,6.60216160000000E+04,6.41236640000000E+04,,,,
FIN,Finland,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.02086417970317E+01,1.09386549660949E+01,9.73554303847679E+00,1.02434330833004E+01,1.16651853016310E+01,1.02359592795615E+01,1.19678751219512E+01,1.16802660007568E+01,1.10503054531341E+01,1.07207951899819E+01,1.00649973616632E+01,1.08670042141445E+01,1.17347268883436E+01,1.32039057837186E+01,1.27991200330661E+01,1.04002336213443E+01,1.25366988539132E+01,1.21246093572736E+01,,,,
FIN,Finland,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),5.80611243681979E-01,6.42858541161856E-01,5.82314391066021E-01,6.07255555950365E-01,6.56706230488377E-01,5.45037751089049E-01,6.21970604200129E-01,5.57999262733230E-01,4.90014735915016E-01,4.54378962464241E-01,3.92397237850792E-01,4.09792384292576E-01,4.26543082858863E-01,4.78537172597732E-01,4.28773020224908E-01,3.38944832057873E-01,3.78806798251398E-01,3.35404704094864E-01,,,,
FIN,Finland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,2.13644859813084E+00,,,,,,,,,,,
FIN,Finland,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,2.12217374057914E+04,,,,,2.08177888978926E+04,,,,,2.05745614483569E+04,,,,,2.02317384924897E+04,,,,
FIN,Finland,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
