Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,France,AG.LND.FRST.K2,Forest area (sq. km),1.45370000000000E+05,,,,,,,,,,1.53530000000000E+05,,,,,1.57140000000000E+05,,,,,1.59540000000000E+05,
FRA,France,AG.LND.FRST.ZS,Forest area (% of land area),2.65433564007523E+01,,,,,,,,,,2.80333047272993E+01,,,,,2.86929846985356E+01,,,,,2.91312127962605E+01,
FRA,France,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),8.06107000000000E+09,5.92982000000000E+09,5.82042000000000E+09,5.17469000000000E+09,7.41144000000000E+09,3.87320000000000E+09,2.81534000000000E+09,3.16695000000000E+09,3.25911000000000E+09,2.80225000000000E+09,1.92933000000000E+09,1.76775000000000E+09,2.95856000000000E+09,5.01302000000000E+09,4.29056000000000E+09,6.18867000000000E+09,6.79661000000000E+09,5.20907000000000E+09,6.58325000000000E+09,6.26920000000000E+09,,
FRA,France,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,1.82785814294000E+09,2.15111666416000E+09,2.01882365754000E+09,1.88578261915000E+09,1.73341752598000E+09,1.41374139259000E+09,1.94881408986000E+09,1.92857768044000E+09,2.62928999464000E+09,3.23100328028001E+09,3.07866562533999E+09,4.21513422655000E+09,5.13184701021000E+09,6.60562743937002E+09,6.31445203314999E+09,,
FRA,France,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.09548970090000E+08,3.07343914700000E+07,6.79783461500000E+07,2.99097469300000E+07,4.47670866900000E+07,5.22260899000000E+07,7.05955579100000E+07,7.64960507300000E+07,1.14725038420000E+08,1.80473822260000E+08,8.02827330500000E+07,1.86433336730000E+08,3.06088665740000E+08,6.76678799120000E+08,7.08933562660000E+08,,
FRA,France,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,5.99329715564234E+00,1.42876451017600E+00,3.36722555712636E+00,1.58606546832432E+00,2.58259109643481E+00,3.69417562318953E+00,3.62248806991494E+00,3.96644903162768E+00,4.36334670781372E+00,5.58568984938819E+00,2.60771200318755E+00,4.42295136310741E+00,5.96449319574464E+00,1.02439746311901E+01,1.12271588878686E+01,,
FRA,France,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.85064000000000E+09,1.75279000000000E+09,1.65038000000000E+09,1.51031000000000E+09,1.44625000000000E+09,1.41717000000000E+09,1.23691000000000E+09,1.26378000000000E+09,9.05310000000000E+08,8.90370000000000E+08,8.41730000000000E+08,6.42750000000000E+08,1.10557000000000E+09,2.24374000000000E+09,2.26464000000000E+09,9.99800000000000E+08,1.23762000000000E+09,1.40979000000000E+09,1.30783000000000E+09,1.10473000000000E+09,,
FRA,France,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),1.55434983453999E-01,1.46118192352260E-01,1.25037313150139E-01,1.20644316103110E-01,1.05412191735393E-01,9.16169847987060E-02,8.00360544336536E-02,8.76411413639724E-02,6.05108036625576E-02,6.02362444439934E-02,6.25094221222147E-02,4.73752874579869E-02,7.55492778342682E-02,1.24713539712581E-01,1.09997736552157E-01,4.72256612661272E-02,5.46024950536921E-02,5.41428734259950E-02,4.61892914530270E-02,4.12558442869630E-02,,
FRA,France,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",7.16348000000000E+09,7.38552000000000E+09,8.26999000000000E+09,7.91514000000000E+09,8.46604000000000E+09,8.44337000000000E+09,7.45127000000000E+09,6.30661000000000E+09,5.74159000000000E+09,5.63934000000000E+09,4.10471000000000E+09,4.19803000000000E+09,5.48615000000000E+09,7.25309000000000E+09,8.47256000000000E+09,1.00262200000000E+10,1.06005900000000E+10,9.88359000000000E+09,1.09075500000000E+10,1.26015500000000E+10,1.29156200000000E+10,
FRA,France,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",6.00000000000000E-01,6.20000000000000E-01,6.30000000000000E-01,6.30000000000000E-01,6.20000000000000E-01,5.50000000000000E-01,4.80000000000000E-01,4.40000000000000E-01,3.80000000000000E-01,3.80000000000000E-01,3.00000000000000E-01,3.10000000000000E-01,3.70000000000000E-01,4.00000000000000E-01,4.10000000000000E-01,4.70000000000000E-01,4.70000000000000E-01,3.80000000000000E-01,3.90000000000000E-01,4.70000000000000E-01,5.00000000000000E-01,
