Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PYF,French Polynesia,AG.LND.FRST.K2,Forest area (sq. km),5.50000000000000E+02,,,,,,,,,,1.05000000000000E+03,,,,,1.30000000000000E+03,,,,,1.55000000000000E+03,
PYF,French Polynesia,AG.LND.FRST.ZS,Forest area (% of land area),1.50273224043716E+01,,,,,,,,,,2.86885245901639E+01,,,,,3.55191256830601E+01,,,,,4.23497267759563E+01,
PYF,French Polynesia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.59660000000000E+08,3.11470000000000E+08,3.26790000000000E+08,3.33490000000000E+08,3.67910000000000E+08,4.50930000000000E+08,4.04070000000000E+08,3.67390000000000E+08,3.70370000000000E+08,3.51500000000000E+08,4.02590000000000E+08,3.88330000000000E+08,4.18390000000000E+08,5.18540000000000E+08,5.79750000000000E+08,,,,,,,
PYF,French Polynesia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.59660000000000E+08,3.11470000000000E+08,3.26790000000000E+08,3.33490000000000E+08,3.67910000000000E+08,4.50930000000000E+08,4.04070000000000E+08,3.67390000000000E+08,3.70370000000000E+08,3.51500000000000E+08,,,,,,,,,,,,
