Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GEO,Georgia,AG.LND.FRST.K2,Forest area (sq. km),2.77900000000000E+04,,,,,,,,,,2.76800000000000E+04,,,,,2.75500000000000E+04,,,,,2.74200000000000E+04,
GEO,Georgia,AG.LND.FRST.ZS,Forest area (% of land area),3.99913656641243E+01,,,,,,,,,,3.98330695064038E+01,,,,,3.96459922290977E+01,,,,,3.94589149517916E+01,
GEO,Georgia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,2.10000000000000E+05,2.10400000000000E+07,1.16890000000000E+08,1.76980000000000E+08,2.09060000000000E+08,3.09370000000000E+08,2.41880000000000E+08,2.08520000000000E+08,2.44340000000000E+08,1.69150000000000E+08,2.91350000000000E+08,3.14440000000000E+08,2.30010000000000E+08,3.13420000000000E+08,2.92090000000000E+08,3.56140000000000E+08,3.80140000000000E+08,8.87710000000000E+08,9.07910000000000E+08,,
GEO,Georgia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,2.10000000000000E+05,2.10400000000000E+07,1.16890000000000E+08,1.76980000000000E+08,2.09060000000000E+08,3.09370000000000E+08,2.41880000000000E+08,2.08520000000000E+08,2.44340000000000E+08,1.69150000000000E+08,2.91350000000000E+08,3.14440000000000E+08,2.30010000000000E+08,3.13420000000000E+08,2.92090000000000E+08,3.56140000000000E+08,3.80140000000000E+08,8.87710000000000E+08,9.07910000000000E+08,,
GEO,Georgia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,3.31370638096659E-03,5.73863893291775E-01,4.40170007058037E+00,7.16754756028838E+00,8.12149101468519E+00,1.02311544501932E+01,6.64870239257030E+00,5.47990276121400E+00,8.29600396448294E+00,5.32795013563515E+00,8.95919384029976E+00,9.22804883727166E+00,5.74317548727751E+00,6.02185007619940E+00,4.51223497103195E+00,4.50294982412862E+00,3.72327250879444E+00,7.02199845617467E+00,8.50173277406986E+00,,
GEO,Georgia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,4.34252155751773E-02,4.31722581307069E+00,2.38011850705545E+01,3.64036531183150E+01,4.41613857203211E+01,6.70197786009835E+01,5.33762909347692E+01,4.64689234060571E+01,5.48770353733857E+01,3.82839553674490E+01,6.64212110158672E+01,7.21689235712646E+01,5.31335905195315E+01,7.25794872982424E+01,6.69746858662753E+01,8.09777171441564E+01,8.66238264515541E+01,2.02502452266350E+02,2.05837943230253E+02,,
GEO,Georgia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,6.09788464065169E+00,2.33926920537090E+01,1.43194774346793E+01,1.39482227488152E+01,8.52682013437603E+00,1.09915210064590E+01,1.23281236473110E+01,1.23106144128105E+01,7.64091538347522E+00,9.25595802815427E+00,4.93414656962014E+00,4.55140003983744E+00,7.26120888898918E+00,,
GEO,Georgia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,6.00762054920510E+00,2.32554479418886E+01,1.40365531802586E+01,1.34041469194313E+01,7.64775856371847E+00,8.70967124803055E+00,9.86183037930356E+00,1.14572548896135E+01,6.47199373325176E+00,8.31072920650861E+00,4.08246917080245E+00,2.89634139480580E+00,4.72672485692953E+00,,
GEO,Georgia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.43458081128853E+00,2.35362267642104E+00,1.49680368281726E+00,1.19835902071687E+00,1.74530140467575E+00,2.23642559812342E+00,2.47296005360187E+00,3.11485953128814E+00,3.47832191617676E+00,3.90223864499957E+00,3.85481127557873E+00,4.50850980564621E+00,4.80389813915851E+00,5.01757497738794E+00,5.16817583512365E+00,5.54658680804607E+00,5.68271923175767E+00,5.80050728359803E+00,6.62592764496573E+00,,,
GEO,Georgia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",4.10748328978547E+02,4.24876939714320E+02,6.68090285639743E+02,8.34474462754733E+02,5.72966937012112E+02,4.47142082812456E+02,4.04373697239265E+02,3.21041764469698E+02,2.87494954204573E+02,2.56263158400480E+02,2.59416072152552E+02,2.21802778103677E+02,2.08164280555534E+02,1.99299463287857E+02,1.93491868679053E+02,1.80291057294797E+02,1.75972093502620E+02,1.72398714648231E+02,1.50922263807059E+02,,,
GEO,Georgia,EN.ATM.CO2E.KT,CO2 emissions (kt),,,1.53228480000000E+04,9.94409600000000E+03,6.07857600000000E+03,2.30099200000000E+03,4.06337600000000E+03,4.43344000000000E+03,4.95739200000000E+03,4.34184000000000E+03,4.53236800000000E+03,3.76659200000000E+03,3.38553600000000E+03,3.77025600000000E+03,3.92414400000000E+03,4.76686400000000E+03,5.49966400000000E+03,6.02728000000000E+03,,,,
GEO,Georgia,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,3.14411572791628E+00,2.02482050864368E+00,1.25032417311173E+00,4.86056611744825E-01,8.80261692770954E-01,9.78338776591050E-01,1.10476054643104E+00,9.75146546883773E-01,1.02581716949958E+00,8.58697793178917E-01,7.77033738811108E-01,8.70950125898034E-01,9.08724266493759E-01,1.09301660093552E+00,1.25049204183720E+00,1.37345729650898E+00,,,,
