Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,Germany,AG.LND.FRST.K2,Forest area (sq. km),1.07410000000000E+05,,,,,,,,,,1.10760000000000E+05,,,,,1.10760000000000E+05,,,,,1.10760000000000E+05,
DEU,Germany,AG.LND.FRST.ZS,Forest area (% of land area),3.07650445392834E+01,,,,,,,,,,3.17409370970053E+01,,,,,3.17582291547196E+01,,,,,3.17700714224249E+01,
DEU,Germany,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),5.69586000000000E+09,5.79482000000000E+09,6.41459000000000E+09,5.71595000000000E+09,6.05889000000000E+09,4.37302000000000E+09,4.38376000000000E+09,2.66361000000000E+09,2.02589000000000E+09,2.40068000000000E+09,1.14445000000000E+09,1.61945000000000E+09,2.55364000000000E+09,3.03097000000000E+09,3.24556000000000E+09,7.01090000000000E+09,6.10875000000000E+09,5.88351000000000E+09,7.78681000000000E+09,4.44454000000000E+09,,
DEU,Germany,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,2.86925122114000E+09,3.02296537522000E+09,2.13233597580000E+09,1.77066529667000E+09,3.31858199788000E+09,2.29971138903000E+09,2.65438889191001E+09,2.76412999700001E+09,3.67020406728001E+09,4.22077085118999E+09,4.61419790006002E+09,5.67658454320000E+09,5.97695815340001E+09,8.34577576012999E+09,8.27745943570002E+09,,
DEU,Germany,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,2.27557571510000E+08,2.05755300080000E+08,5.02709656780000E+08,5.04606217380000E+08,2.47415669750000E+08,2.68178060320000E+08,2.31923261380000E+08,3.21864367050000E+08,3.82099220360000E+08,6.07725605670000E+08,4.25135583130000E+08,6.46705410900000E+08,5.99372574600000E+08,6.41185269230000E+08,7.22248156970000E+08,,
DEU,Germany,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,7.93090440576994E+00,6.80640611257500E+00,2.35755369925415E+01,2.84981141455128E+01,7.45546350543864E+00,1.16613789712593E+01,8.73735050982359E+00,1.16443281393903E+01,1.04108440118201E+01,1.43984505934185E+01,9.21363999416821E+00,1.13925091043467E+01,1.00280537225954E+01,7.68275218096697E+00,8.72548108004011E+00,,
DEU,Germany,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.15445000000000E+09,1.15426000000000E+09,1.14819000000000E+09,1.12416000000000E+09,1.10952000000000E+09,1.08928000000000E+09,1.10579000000000E+09,7.95960000000000E+08,8.81610000000000E+08,7.73410000000000E+08,6.62850000000000E+08,5.99730000000000E+08,8.18400000000000E+08,1.54920000000000E+09,9.60170000000000E+08,1.02895000000000E+09,1.22364000000000E+09,1.26745000000000E+09,1.75836000000000E+09,1.64179000000000E+09,,
DEU,Germany,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),7.69014532972468E-02,6.48752248201439E-02,5.64748413752398E-02,5.72441185456768E-02,5.32297063903281E-02,4.45567963349286E-02,4.65968564325144E-02,3.77267987486966E-02,4.11586476064202E-02,3.69995057515500E-02,3.55918797785394E-02,3.25745683485412E-02,4.11794331052261E-02,6.48565376694051E-02,3.51820617558058E-02,3.67761284179300E-02,4.17510283857246E-02,3.78310046503616E-02,4.81477043948036E-02,4.82403240039461E-02,,
DEU,Germany,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",6.31967000000000E+09,6.88973000000000E+09,7.58312000000000E+09,6.95396000000000E+09,6.81796000000000E+09,7.52358000000000E+09,7.60089000000000E+09,5.85678000000000E+09,5.58068000000000E+09,5.51533000000000E+09,5.03000000000000E+09,4.98950000000000E+09,5.32443000000000E+09,6.78418000000000E+09,7.53421000000000E+09,1.00821600000000E+10,1.04348100000000E+10,1.22907000000000E+10,1.39808700000000E+10,1.20791500000000E+10,1.27230500000000E+10,
DEU,Germany,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",4.20000000000000E-01,3.90000000000000E-01,3.70000000000000E-01,3.50000000000000E-01,3.30000000000000E-01,3.10000000000000E-01,3.20000000000000E-01,2.80000000000000E-01,2.60000000000000E-01,2.60000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,2.80000000000000E-01,2.80000000000000E-01,3.60000000000000E-01,3.60000000000000E-01,3.70000000000000E-01,3.80000000000000E-01,3.50000000000000E-01,3.80000000000000E-01,
