Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GIB,Gibraltar,AG.LND.FRST.K2,Forest area (sq. km),0.00000000000000E+00,,,,,,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,
GIB,Gibraltar,AG.LND.FRST.ZS,Forest area (% of land area),0.00000000000000E+00,,,,,,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,
GIB,Gibraltar,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.60000000000000E+05,2.57000000000000E+06,3.14000000000000E+06,-1.00000000000000E+04,5.70000000000000E+05,2.10000000000000E+05,-2.40000000000000E+05,3.70000000000000E+05,2.20000000000000E+05,3.00000000000000E+04,4.00000000000000E+04,7.30000000000000E+05,1.00000000000000E+04,3.00000000000000E+04,1.90000000000000E+05,,,,,,,
GIB,Gibraltar,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.60000000000000E+05,2.57000000000000E+06,3.14000000000000E+06,-1.00000000000000E+04,5.70000000000000E+05,2.10000000000000E+05,-2.40000000000000E+05,3.70000000000000E+05,2.20000000000000E+05,3.00000000000000E+04,,,,,,,,,,,,
GIB,Gibraltar,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.08721580320537E+01,9.54645072619888E+01,1.16158626812666E+02,-3.68391969055075E-01,2.09304887452723E+01,7.69710075871422E+00,-8.79797646541295E+00,1.35874554735412E+01,8.09180520818008E+00,1.10237377820240E+00,,,,,,,,,,,,
GIB,Gibraltar,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,EN.ATM.CO2E.KT,CO2 emissions (kt),9.52640000000000E+01,1.06256000000000E+02,9.16000000000000E+01,3.33424000000000E+02,3.99376000000000E+02,3.48080000000000E+02,1.94192000000000E+02,1.20912000000000E+02,3.11440000000000E+02,3.22432000000000E+02,3.33424000000000E+02,3.44416000000000E+02,3.44416000000000E+02,3.55408000000000E+02,3.66400000000000E+02,3.77392000000000E+02,3.92048000000000E+02,4.06704000000000E+02,,,,
GIB,Gibraltar,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),3.55065225493850E+00,3.94695590802719E+00,3.38857650192365E+00,1.22830723890219E+01,1.46651489002313E+01,1.27581277718726E+01,7.11873602404780E+00,4.44023355734273E+00,1.14550537001618E+01,1.18480194017785E+01,1.21918970308615E+01,1.24720622849900E+01,1.23054056950945E+01,1.25099612812390E+01,1.27253151807731E+01,1.29799484092863E+01,1.34093101207374E+01,1.38825778263244E+01,,,,
GIB,Gibraltar,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
