Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,Greece,AG.LND.FRST.K2,Forest area (sq. km),3.29900000000000E+04,,,,,,,,,,3.60100000000000E+04,,,,,3.75200000000000E+04,,,,,3.90300000000000E+04,
GRC,Greece,AG.LND.FRST.ZS,Forest area (% of land area),2.55934833204034E+01,,,,,,,,,,2.79363847944143E+01,,,,,2.91078355314197E+01,,,,,3.02792862684251E+01,
GRC,Greece,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,5.42600000000000E+07,7.65100000000000E+07,6.67000000000000E+07,8.26700000000000E+07,9.56700000000000E+07,9.05600000000000E+07,9.99100000000000E+07,8.12400000000000E+07,8.76600000000000E+07,9.76900000000000E+07,8.43400000000000E+07,,
GRC,Greece,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,9.77347056099999E+07,1.91405086420000E+08,1.29848698170000E+08,1.38540737900000E+08,1.48940831090000E+08,2.05274254950000E+08,2.24730232160000E+08,2.21357656650000E+08,,
GRC,Greece,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,2.20225023000000E+06,4.38570905700000E+07,1.96572961800000E+07,2.63138388100000E+07,3.03730889900000E+07,3.06996030000000E+07,8.23622962000000E+06,2.47951957000000E+07,,
GRC,Greece,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,2.25329397193649E+00,2.29132315082601E+01,1.51386162949931E+01,1.89935748927464E+01,2.03927215711899E+01,1.49554083182412E+01,3.66494064498456E+00,1.12014176854090E+01,,
GRC,Greece,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,5.69000000000000E+06,2.50000000000000E+05,1.51000000000000E+06,5.60000000000000E+05,1.75000000000000E+06,2.31000000000000E+06,9.70000000000000E+06,1.07900000000000E+07,1.52500000000000E+07,2.37600000000000E+07,1.76100000000000E+07,2.72700000000000E+07,2.59600000000000E+07,2.89500000000000E+07,,
GRC,Greece,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,4.61659540287706E-03,2.08703782547355E-04,1.25080246018762E-03,4.46735916051939E-04,1.56367275456592E-03,1.97110748935517E-03,7.27371491641714E-03,6.24087763281603E-03,7.46451625945405E-03,1.06092268124096E-02,7.18457131058290E-03,8.84218480237571E-03,7.78177061480514E-03,9.00198099552768E-03,,
GRC,Greece,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,1.83520000000000E+08,1.72640000000000E+08,1.79420000000000E+08,1.94140000000000E+08,2.26000000000000E+08,2.01540000000000E+08,2.76130000000000E+08,3.62160000000000E+08,3.20830000000000E+08,3.84220000000000E+08,4.23990000000000E+08,5.00820000000000E+08,7.03160000000000E+08,6.07270000000000E+08,5.00030000000000E+08,
GRC,Greece,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,1.50000000000000E-01,1.40000000000000E-01,1.50000000000000E-01,1.50000000000000E-01,2.00000000000000E-01,1.70000000000000E-01,2.10000000000000E-01,2.10000000000000E-01,1.60000000000000E-01,1.70000000000000E-01,1.70000000000000E-01,1.60000000000000E-01,2.10000000000000E-01,1.90000000000000E-01,1.70000000000000E-01,
