Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRD,Grenada,AG.LND.FRST.K2,Forest area (sq. km),1.70000000000000E+02,,,,,,,,,,1.70000000000000E+02,,,,,1.70000000000000E+02,,,,,1.70000000000000E+02,
GRD,Grenada,AG.LND.FRST.ZS,Forest area (% of land area),5.00000000000000E+01,,,,,,,,,,5.00000000000000E+01,,,,,5.00000000000000E+01,,,,,5.00000000000000E+01,
GRD,Grenada,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.38000000000000E+07,1.64500000000000E+07,1.29300000000000E+07,7.87000000000000E+06,1.81500000000000E+07,1.08200000000000E+07,1.18500000000000E+07,8.88000000000000E+06,6.22000000000000E+06,1.02900000000000E+07,1.65000000000000E+07,1.09900000000000E+07,1.01200000000000E+07,1.07800000000000E+07,1.56400000000000E+07,5.25000000000000E+07,2.67400000000000E+07,2.30500000000000E+07,3.31000000000000E+07,4.81500000000000E+07,,
GRD,Grenada,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.38000000000000E+07,1.64500000000000E+07,1.29300000000000E+07,7.87000000000000E+06,1.81500000000000E+07,1.08200000000000E+07,1.18500000000000E+07,8.88000000000000E+06,6.22000000000000E+06,1.02900000000000E+07,1.65000000000000E+07,1.09900000000000E+07,1.01200000000000E+07,1.07800000000000E+07,1.56400000000000E+07,5.25000000000000E+07,2.67400000000000E+07,2.30500000000000E+07,3.31000000000000E+07,4.81500000000000E+07,,
GRD,Grenada,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),6.60696863213412E+00,7.02780101899540E+00,5.29668792296892E+00,3.26882561315021E+00,7.17170826096299E+00,4.11569118916298E+00,4.23892736878121E+00,3.08337291332863E+00,1.95862104597322E+00,2.91229658564856E+00,4.16844444217917E+00,2.88538927966654E+00,2.59718430493573E+00,2.50853484739726E+00,3.86997713478680E+00,9.98896911761917E+00,4.99297311946291E+00,4.06333042161519E+00,5.23265788838338E+00,8.33050335424238E+00,,
GRD,Grenada,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.43451143451143E+02,1.70699817366761E+02,1.33143863334466E+02,8.01327739991040E+01,1.82755530494497E+02,1.08023921008756E+02,1.17668086627543E+02,8.78868555706213E+01,6.14509133660676E+01,1.01525346804270E+02,1.62526348968696E+02,1.08030000688089E+02,9.92604507915334E+01,1.05484612750135E+02,1.52652383973452E+02,5.11028481320692E+02,2.59518425419995E+02,2.22989706679050E+02,3.19119192464545E+02,4.62549353007291E+02,,
