Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GTM,Guatemala,AG.LND.FRST.K2,Forest area (sq. km),4.74800000000000E+04,,,,,,,,,,4.20800000000000E+04,,,,,3.93800000000000E+04,,,,,3.65700000000000E+04,
GTM,Guatemala,AG.LND.FRST.ZS,Forest area (% of land area),4.43075774542740E+01,,,,,,,,,,3.92683837252706E+01,,,,,3.67487868607689E+01,,,,,3.41265397536394E+01,
GTM,Guatemala,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.01370000000000E+08,1.96430000000000E+08,1.95730000000000E+08,2.12430000000000E+08,2.18200000000000E+08,2.08410000000000E+08,1.92340000000000E+08,2.64410000000000E+08,2.33400000000000E+08,2.93140000000000E+08,2.63130000000000E+08,2.34300000000000E+08,2.49550000000000E+08,2.46780000000000E+08,2.17120000000000E+08,2.56590000000000E+08,4.84290000000000E+08,4.54380000000000E+08,5.36030000000000E+08,3.76200000000000E+08,,
